Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917419171,-0.280470,0.098998,0.132726,-0.462357,-0.411200,0.787104
917439206,-0.134641,-0.023402,0.130579,-0.460736,-0.409020,0.789585
917459241,-0.241241,0.007607,0.092670,-0.460085,-0.408297,0.789140
917479277,-0.156559,0.084186,0.092916,-0.460792,-0.408477,0.787580
917499312,-0.034044,0.061128,0.099721,-0.459997,-0.407932,0.789595
917519347,-0.186834,0.054369,0.000549,-0.459721,-0.409943,0.788332
917539383,-0.132718,0.083666,0.092413,-0.459664,-0.408402,0.785417
917559418,-0.056053,-0.122047,0.020931,-0.460438,-0.410487,0.787229
917579454,0.333914,-0.106192,0.042454,-0.461198,-0.410658,0.789126
917599488,0.157231,-0.144294,0.034866,-0.461558,-0.409560,0.789389
917619524,0.133736,-0.088964,-0.079140,-0.461200,-0.407553,0.790937
917639560,0.056867,-0.087389,-0.193317,-0.461904,-0.407369,0.789377
917659595,0.049193,-0.041858,-0.146452,-0.461364,-0.408377,0.789299
917679630,0.056821,-0.042677,-0.069682,-0.458242,-0.407768,0.788171
917699665,-0.035268,0.088466,-0.159525,-0.459908,-0.407658,0.789869
917719701,-0.073317,-0.118789,-0.130543,-0.462258,-0.409559,0.787466
917739736,-0.095985,-0.050253,-0.075898,-0.463610,-0.407907,0.787345
917759772,-0.141464,-0.135284,-0.007583,-0.459885,-0.410402,0.786874
917779807,-0.018921,0.049173,-0.029047,-0.458893,-0.407852,0.788978
917799842,-0.355170,0.193999,-0.041441,-0.460433,-0.408480,0.787951
917819878,-0.002585,-0.036903,0.069564,-0.460888,-0.408567,0.787852
917839913,-0.239459,0.093284,0.041084,-0.459897,-0.408026,0.788960
917859948,0.082044,-0.066226,-0.030720,-0.459823,-0.408388,0.789873
917879984,0.104868,0.063400,0.016484,-0.458632,-0.409861,0.788716
917900020,0.073812,0.025692,-0.037360,-0.459093,-0.410130,0.788890
917920055,0.043190,0.040205,0.016511,-0.458273,-0.407489,0.790354
917940090,0.203715,-0.028474,0.007442,-0.460172,-0.408662,0.788684
917960126,0.012026,-0.051947,0.030899,-0.458074,-0.407493,0.789265
917980161,0.287268,-0.182301,0.097146,-0.459625,-0.407662,0.789237
918000196,0.072396,-0.004260,-0.053242,-0.459043,-0.408860,0.786339
918020231,0.056933,-0.043568,0.030628,-0.459689,-0.408580,0.786964
918040267,0.041634,0.055029,0.108097,-0.461154,-0.408749,0.787302
918060302,0.011023,0.069376,0.161569,-0.460262,-0.409666,0.788048
918080338,0.164003,-0.008359,0.259190,-0.459279,-0.411771,0.788254
918100373,0.033520,0.039006,0.137152,-0.461103,-0.407555,0.790575
918120408,-0.066048,0.162091,0.062072,-0.460700,-0.406378,0.788668
918140444,-0.073533,0.154216,0.046543,-0.461044,-0.405922,0.787569
918160479,-0.233841,0.016048,0.038021,-0.457556,-0.409501,0.790099
918180514,-0.225567,0.006859,0.152487,-0.456532,-0.408966,0.789025
918200550,-0.072115,-0.092445,0.158091,-0.461818,-0.409651,0.788475
918220585,-0.071931,0.038381,0.113215,-0.461354,-0.409109,0.788209
918240621,-0.117688,-0.032055,0.227075,-0.460165,-0.408207,0.788501
918260656,-0.201457,0.052895,0.158846,-0.460536,-0.407381,0.789311
918280692,-0.224230,0.078489,-0.062945,-0.460198,-0.409571,0.789869
918300727,-0.468271,0.101844,-0.130323,-0.461094,-0.407557,0.789938
918320762,-0.099934,-0.006127,-0.048404,-0.458735,-0.412323,0.788175
918340798,0.060737,-0.050757,-0.125943,-0.460635,-0.408200,0.789402
918360833,-0.084812,0.002777,-0.132086,-0.462436,-0.410837,0.786465
918380868,0.481344,-0.128214,0.002278,-0.460535,-0.409207,0.788315
918400904,0.174340,-0.105426,0.011339,-0.460644,-0.406738,0.790763
918420939,0.135775,0.024135,0.066347,-0.460799,-0.409572,0.787492
918440974,0.234756,-0.022273,0.111197,-0.459884,-0.409763,0.787146
918461010,-0.048721,0.614149,-0.019058,-0.460741,-0.408653,0.790130
918481045,0.180664,0.866157,-0.086007,-0.461180,-0.407831,0.789482
918501081,-0.163938,1.179626,-0.272362,-0.463197,-0.408725,0.789721
918521116,0.050342,2.918194,-0.529797,-0.461685,-0.403725,0.788916
918541152,0.654499,3.757709,-0.905975,-0.465729,-0.411720,0.786680
918561187,0.822842,2.991466,-0.861060,-0.462959,-0.407549,0.786719
918581222,0.578273,2.144524,-0.539796,-0.458941,-0.410689,0.784617
918601258,0.723939,1.237376,-0.258971,-0.464294,-0.412367,0.787891
918621293,0.593747,0.371826,-0.267499,-0.464734,-0.404256,0.785313
918641328,0.563284,-0.204721,-0.105001,-0.464067,-0.405346,0.788786
918661364,0.111562,-0.103579,-0.278222,-0.463935,-0.403528,0.787145
918681399,-0.011310,0.797606,-0.689327,-0.463499,-0.406450,0.786797
918701436,0.065217,0.790059,-0.689707,-0.465364,-0.407523,0.788950
918721471,-0.317752,0.470890,-0.928826,-0.463509,-0.407727,0.786801
918741506,-0.501256,0.384625,-0.791222,-0.463314,-0.409557,0.784989
918761542,-0.699943,1.316761,-0.635266,-0.458207,-0.407410,0.786078
918781577,-0.462245,2.485370,-0.356085,-0.460648,-0.407849,0.784487
918801613,-0.653066,1.521682,0.116839,-0.461603,-0.408198,0.787110
918821648,-0.606956,0.492445,0.350854,-0.466532,-0.412629,0.785030
918841683,-1.074151,0.204274,0.074118,-0.471133,-0.402463,0.787284
918861719,-1.433938,-0.255148,0.024808,-0.468511,-0.411247,0.783989
918881754,-1.280579,-0.710363,0.302669,-0.466285,-0.405338,0.784741
918901790,-1.348889,-1.406232,0.808527,-0.453608,-0.418214,0.783644
918921825,-1.669853,-1.740978,1.196677,-0.475012,-0.403898,0.783759
918941860,-1.716491,-2.032677,0.642684,-0.466960,-0.409252,0.785013
918961896,-1.349460,-1.377397,0.349555,-0.464625,-0.408460,0.781868
918981931,-1.280391,1.871375,0.253089,-0.459680,-0.413055,0.783974
919001967,-0.223725,4.074918,0.547512,-0.466228,-0.420306,0.778869
919022002,0.802087,3.712581,0.845873,-0.467807,-0.419649,0.781114
919042037,1.108013,2.986588,0.752885,-0.469942,-0.415166,0.780061
919062073,1.452668,3.980879,0.899697,-0.464784,-0.417394,0.781435
919082108,1.973601,5.118391,1.246330,-0.473274,-0.417867,0.781828
919102143,2.769599,5.701076,1.287556,-0.468277,-0.415458,0.778363
919122179,3.849269,9.974180,1.458068,-0.466060,-0.414934,0.776765
919142214,4.286067,9.087110,1.998213,-0.477889,-0.404154,0.780977
919162250,3.352399,7.476092,2.099880,-0.482856,-0.399372,0.780418
919182285,2.525843,6.340811,2.144857,-0.487595,-0.411749,0.773542
919202320,2.571871,9.621060,1.979920,-0.477767,-0.404800,0.778615
919222355,2.922680,14.494651,0.628656,-0.498476,-0.396053,0.778031
919242391,1.528798,13.008673,-0.116220,-0.492082,-0.402684,0.773707
919282462,1.642799,7.550607,-0.326772,-0.489442,-0.397609,0.770829
919302497,1.313558,5.106233,-0.274462,-0.504991,-0.389448,0.772343
919322533,0.417057,4.495465,-1.126972,-0.500180,-0.402907,0.766462
919342568,0.737322,5.343359,-2.114473,-0.514018,-0.413399,0.753408
919362603,0.873047,3.378585,-3.582247,-0.512950,-0.390046,0.761825
919382638,-1.845641,1.470321,-4.992268,-0.494961,-0.367728,0.778198
919402674,-5.609112,-0.438394,-3.481782,-0.491685,-0.309535,0.798297
919422709,-12.969239,-3.442441,-1.761906,-0.492666,-0.278487,0.813662
919442744,-20.062170,-5.565462,-0.630938,-0.486732,-0.356191,0.788963
919462780,-18.890459,-6.131970,0.078064,-0.492074,-0.456190,0.744192
919482815,-15.875045,-4.213252,0.101545,-0.497742,-0.463550,0.735191
919502851,-14.312696,4.204052,-5.726025,-0.500446,-0.484866,0.733472
919522886,-11.636683,6.724664,-7.891787,-0.483692,-0.493954,0.730163
919542921,-7.503049,4.687349,-6.834733,-0.499768,-0.488090,0.723211
919562957,-4.173184,0.466220,-5.789670,-0.491008,-0.461946,0.742953
919582992,-1.138711,-6.945328,-2.044083,-0.487754,-0.431581,0.755303
919603027,0.465628,-11.792503,2.254432,-0.474368,-0.424281,0.766447
919623063,1.945923,-12.813200,4.978286,-0.474105,-0.425028,0.760721
919643117,3.302529,-12.456684,6.599442,-0.478331,-0.434299,0.757758
919663133,3.287982,-11.996793,7.170743,-0.489848,-0.422508,0.765978
919683168,2.669019,-11.110008,7.833082,-0.486206,-0.422448,0.766317
919703203,2.318048,-10.822309,8.656509,-0.476635,-0.419333,0.768303
919723238,2.603167,-10.596664,10.211626,-0.486669,-0.421013,0.755658
919743274,4.545062,-7.983040,8.478381,-0.491953,-0.427618,0.757764
919763309,3.296962,-5.041379,7.694980,-0.464461,-0.429823,0.771466
919783345,1.597200,1.427794,6.521546,-0.477892,-0.405797,0.780254
919803380,-2.589958,7.980210,5.152098,-0.478427,-0.412063,0.787997
919823415,-7.441549,14.947123,4.838274,-0.464271,-0.401823,0.809975
919843451,-15.745856,27.036156,3.083590,-0.471061,-0.392869,0.829482
919863486,-27.310001,42.920673,1.235945,-0.473872,-0.403590,0.834556
919883521,-39.849422,61.780697,2.584564,-0.459593,-0.441034,0.822637
919903557,-51.433983,88.094933,8.087182,-0.424793,-0.500850,0.863843
919923592,-48.858196,123.469765,21.160816,-0.452106,-0.604507,0.846526
919943628,-47.062149,160.027863,47.056000,-0.442060,-0.561806,0.856782
919963663,-54.870461,204.453186,78.383461,-0.518554,-0.600582,0.805172
919983699,-63.522224,252.416138,126.491768,-0.527869,-0.752553,0.711880
920003734,-63.959118,309.937500,182.712570,-0.621592,-0.802923,0.701302
920023770,-35.251427,388.648560,233.383240,-0.768954,-0.766062,0.715526
920043805,53.443455,370.850098,270.692444,-1.592055,-2.033687,0.847098
920063840,145.461227,250.605011,231.474915,-1.883137,-1.474007,0.924940
920083875,45.480686,135.625015,175.585052,-1.226247,-1.431190,1.967553
920103911,-30.603542,-26.007133,59.385063,-0.082232,-1.771121,1.808478
920123946,25.042793,-134.067963,-9.552725,0.153419,-1.460541,1.320516
920143981,2.265467,-184.137985,-32.260918,0.629182,-0.593814,0.954227
920164016,-29.233006,-201.694290,-42.807098,0.406530,-0.611010,0.865765
920184052,-42.989174,-225.962677,-62.579220,0.130193,-0.582073,0.878021
920204087,-57.600731,-253.759735,-86.816841,-0.121541,-0.549386,0.905458
920224122,-73.126518,-281.692017,-107.760803,-0.286512,-0.509093,0.850738
920244158,-83.161682,-291.417145,-115.018196,-0.389285,-0.508835,0.821471
920264193,-97.748596,-285.136444,-116.051025,-0.492946,-0.547596,0.858726
920284229,-101.208000,-264.769165,-111.775391,-0.576974,-0.786722,0.868963
920304264,-107.712799,-221.240356,-115.076477,-0.731054,-0.988854,0.918494
920324299,-72.249413,-130.008499,-146.335831,-0.973306,-1.188091,0.778587
920344335,-40.150890,-17.348051,-201.852798,-1.716386,-0.951325,1.150652
920364371,-10.522862,-40.438076,-264.151520,-3.259062,-0.990483,1.395329
920384406,14.492961,-101.734589,-309.317474,-2.992683,-0.151890,0.574489
920404441,46.668758,-56.217010,-273.336578,-2.391942,0.588731,-0.214677
920424476,24.645945,-12.101986,-177.259872,-2.779892,1.483066,-0.156101
920444512,-22.889587,-35.604794,-50.114304,-2.876219,1.757231,-0.564935
920464547,-0.604975,-0.837341,57.133995,-2.273654,1.353207,-0.450525
920484583,29.398251,23.958191,107.611481,-2.105295,0.571051,0.129938
920504618,-28.348139,152.236191,319.358337,3.141572,-2.731484,1.885381
920524653,91.464111,92.695374,24.083696,-3.054329,-0.039006,0.004943
920544689,8.158938,208.569290,60.496254,-1.267780,-0.512550,1.384745
920564724,63.948944,56.915382,97.608490,-0.822271,-0.101312,1.300091
920584760,89.594208,6.722950,89.841537,-1.199526,-1.423595,0.560723
920604795,78.129860,-11.280557,23.532351,-0.690288,-0.114555,0.998965
920624830,38.436153,-24.481560,19.493780,-0.601752,-0.436282,0.813204
920644866,17.346558,-17.430412,1.784637,-0.547526,-0.230372,0.867216
920664901,0.619106,-14.740587,2.820092,-0.492310,-0.379237,0.813222
920684936,-7.724539,-9.923923,0.767617,-0.528160,-0.362968,0.781219
920704972,-9.953307,-7.892305,-0.832817,-0.493981,-0.470129,0.742103
920725007,-7.273850,-7.392535,-0.087994,-0.463667,-0.465208,0.736181
920745043,-3.278570,-7.346222,0.325420,-0.466348,-0.426176,0.765689
920765078,-2.104143,-7.472839,3.174636,-0.440838,-0.439797,0.765737
920785113,0.006085,-10.288195,7.959312,-0.507654,-0.456622,0.737174
920805149,2.917748,-11.516891,10.935616,-0.468852,-0.419116,0.772266
920825184,1.724908,-10.171754,11.627965,-0.487327,-0.412830,0.779282
920845219,0.928918,-9.972537,11.533670,-0.477020,-0.414396,0.772286
920865255,0.983848,-11.266686,12.721705,-0.471129,-0.429232,0.766611
920885290,1.154391,-12.837393,14.587657,-0.482644,-0.429311,0.768221
920905326,1.570474,-12.996082,16.865429,-0.473611,-0.427838,0.768655
920925361,2.927166,-13.506781,18.622963,-0.470309,-0.426849,0.773899
