Timestamp (us),Percentage (%),Voltage (V),Charging Status
917422822,100.000000,4.031604,0.000000
918423354,100.000000,4.031544,0.000000
919423886,100.000000,4.031524,0.000000
920424418,100.000000,4.031504,0.000000
921424951,100.000000,4.031423,0.000000
922425481,100.000000,4.031443,0.000000
923426022,100.000000,4.031423,0.000000
924426554,100.000000,4.031383,0.000000
925427085,100.000000,4.031343,0.000000
926427616,100.000000,4.031262,0.000000
927428147,100.000000,4.031181,0.000000
928428676,100.000000,4.031101,0.000000
929429208,100.000000,4.031121,0.000000
930429739,100.000000,4.031081,0.000000
931430272,100.000000,4.030940,0.000000
932430801,100.000000,4.031020,0.000000
933431333,100.000000,4.030879,0.000000
934431883,100.000000,4.030778,0.000000
935432414,100.000000,4.030759,0.000000
