Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917435500,0.947959,-0.483123,0.072595
917485156,0.947752,-0.482994,0.082804
917534804,0.947476,-0.492222,0.082934
917584467,0.947652,-0.492340,0.072722
917634129,0.956841,-0.483207,0.093142
917683787,0.966249,-0.483643,0.083053
917733443,0.956534,-0.492424,0.093270
917783097,0.946919,-0.491859,0.113564
917832755,0.948234,-0.473894,0.072466
917882407,0.947576,-0.482877,0.093015
917932071,0.956534,-0.492424,0.093270
917981725,0.956841,-0.483207,0.093142
918031383,0.947508,-0.492235,0.082938
918081042,0.956841,-0.483207,0.093142
918130692,0.956841,-0.483207,0.093142
918180350,0.947157,-0.492000,0.103365
918230023,0.947433,-0.482771,0.103232
918279668,0.956777,-0.483183,0.093133
918329322,0.956709,-0.492541,0.083057
918378975,0.938375,-0.482570,0.092897
918428634,0.956841,-0.483207,0.093142
918478283,0.957323,-0.474108,0.082803
918577592,0.956697,-0.483102,0.103361
918627245,0.947301,-0.492105,0.093147
918676891,0.938232,-0.482464,0.103116
918726540,0.947301,-0.492105,0.093147
918776183,0.938407,-0.482582,0.092902
918825838,0.947947,-0.473684,0.092897
918875486,0.947596,-0.473449,0.113325
918925136,0.938476,-0.473224,0.102976
918974786,0.947640,-0.482901,0.093024
919024429,0.956490,-0.482973,0.113567
919074082,0.956183,-0.492190,0.113694
919123730,0.947389,-0.473320,0.123530
919173384,0.937574,-0.491447,0.123670
919223032,0.946106,-0.491297,0.164648
919272681,0.936973,-0.481632,0.174596
919322324,0.927390,-0.481079,0.194898
919371974,0.945505,-0.481482,0.215569
919421632,0.907465,-0.498301,0.245995
919471289,0.907289,-0.498183,0.256209
919520947,0.897254,-0.506742,0.286887
919570596,0.906776,-0.507271,0.266522
919620254,0.896566,-0.515712,0.307410
919669913,0.868604,-0.533424,0.286869
919719573,0.867990,-0.551858,0.287123
919769231,0.848735,-0.569537,0.297346
919818892,0.838815,-0.578187,0.317742
919868545,0.809889,-0.614098,0.317883
919918197,0.780174,-0.668325,0.328490
919967848,0.703488,-0.729839,0.369291
920017510,0.599184,-0.781031,0.419724
920067168,0.447952,-0.848961,0.480052
920116830,0.383983,-0.762372,0.600597
920166488,0.385254,-0.734957,0.579791
920216144,0.480145,-0.721016,0.468484
920265806,0.623656,-0.644355,0.336362
920315459,0.787714,-0.522615,0.173269
920365115,0.890026,-0.296917,0.038552
920414771,0.906988,-0.123399,-0.076076
920464441,0.889913,-0.076565,-0.066762
920514102,0.887427,-0.112607,0.005250
920563774,0.867195,-0.139039,0.056449
920613434,0.856091,-0.156328,0.128067
920663098,0.826829,-0.182565,0.168962
920712753,0.825602,-0.200628,0.199802
920762410,0.825324,-0.209851,0.199949
920812075,0.815594,-0.209187,0.230488
920861734,0.795828,-0.235959,0.251025
