Timestamp (us),Percentage (%),Power (dBm)
917953430,98.000000,-51.000000
918954644,98.000000,-51.000000
919953927,100.000000,-46.000000
920955521,100.000000,-48.000000
921954454,100.000000,-49.000000
922953415,100.000000,-48.000000
923954988,100.000000,-50.000000
924953896,100.000000,-46.000000
925955479,88.000000,-56.000000
926954407,94.000000,-53.000000
927953396,90.000000,-55.000000
928954987,90.000000,-55.000000
929953872,84.000000,-58.000000
930955504,100.000000,-49.000000
931954406,100.000000,-44.000000
932953407,100.000000,-49.000000
933954965,100.000000,-47.000000
934953858,100.000000,-47.000000
