Timestamp (us),Percentage (%),Voltage (V),Charging Status
918235573,100.000000,4.046469,0.000000
919236104,100.000000,4.046388,0.000000
920236637,100.000000,4.046389,0.000000
921237166,100.000000,4.046308,0.000000
922237697,100.000000,4.046268,0.000000
923238228,100.000000,4.046227,0.000000
924238758,100.000000,4.046207,0.000000
925239291,100.000000,4.046167,0.000000
926239823,100.000000,4.046106,0.000000
927240354,100.000000,4.046025,0.000000
928240885,100.000000,4.046006,0.000000
929241421,100.000000,4.045966,0.000000
930241964,100.000000,4.045966,0.000000
931242495,100.000000,4.045885,0.000000
932243025,100.000000,4.045825,0.000000
933243557,100.000000,4.045825,0.000000
934244089,100.000000,4.045764,0.000000
935244619,100.000000,4.045684,0.000000
