Timestamp (us),X (g),Y (g),Z (g)
917428337,-0.920854,0.086738,-0.336805
917448393,-0.972442,0.087449,-0.338112
917468451,-0.973089,0.036728,-0.337354
917488507,-0.973366,0.037398,-0.288528
917508563,-0.973089,0.036728,-0.337354
917528620,-1.024030,0.088160,-0.339420
917548676,-0.921501,0.036017,-0.336047
917568733,-1.024954,0.038109,-0.289835
917588789,-0.973089,0.036728,-0.337354
917608845,-0.973089,0.036728,-0.337354
917628901,-0.920577,0.086067,-0.385632
917648958,-0.921501,0.036017,-0.336047
917669014,-0.971796,0.138170,-0.338870
917689070,-0.973089,0.036728,-0.337354
917729185,-0.920854,0.086738,-0.336805
917749241,-1.024677,0.037439,-0.338662
917769297,-0.972442,0.087449,-0.338112
917789353,-1.076265,0.038150,-0.339969
917809410,-0.973089,0.036728,-0.337354
917829468,-1.024677,0.037439,-0.338662
917849524,-1.024677,0.037439,-0.338662
917869581,-1.024030,0.088160,-0.339420
917889638,-0.973089,0.036728,-0.337354
917909694,-0.972442,0.087449,-0.338112
917929750,-0.972442,0.087449,-0.338112
917949807,-1.024030,0.088160,-0.339420
917969865,-1.023753,0.087489,-0.388246
917989923,-0.973089,0.036728,-0.337354
918009980,-1.024030,0.088160,-0.339420
918030039,-1.024677,0.037439,-0.338662
918050096,-1.024677,0.037439,-0.338662
918070154,-0.972442,0.087449,-0.338112
918090211,-1.076265,0.038150,-0.339969
918110269,-0.972442,0.087449,-0.338112
918130326,-1.024030,0.088160,-0.339420
918150382,-1.024677,0.037439,-0.338662
918170439,-0.972442,0.087449,-0.338112
918190497,-1.024677,0.037439,-0.338662
918210553,-0.972720,0.088119,-0.289285
918230611,-1.024308,0.088831,-0.290593
918250668,-0.972720,0.088119,-0.289285
918270725,-0.972442,0.087449,-0.338112
918290783,-0.972442,0.087449,-0.338112
918310841,-1.024030,0.088160,-0.339420
918330900,-0.972442,0.087449,-0.338112
918350958,-0.972442,0.087449,-0.338112
918371016,-1.024677,0.037439,-0.338662
918391074,-0.972442,0.087449,-0.338112
918411131,-0.972442,0.087449,-0.338112
918431188,-0.973089,0.036728,-0.337354
918451245,-0.973089,0.036728,-0.337354
918471302,-1.024954,0.038109,-0.289835
918491360,-0.972442,0.087449,-0.338112
918511418,-0.972442,0.087449,-0.338112
918531475,-0.973089,0.036728,-0.337354
918551532,-1.024308,0.088831,-0.290593
918571589,-0.973089,0.036728,-0.337354
918591647,-0.920854,0.086738,-0.336805
918611705,-0.973089,0.036728,-0.337354
918631762,-1.024677,0.037439,-0.338662
918651820,-0.972442,0.087449,-0.338112
918671878,-0.921501,0.036017,-0.336047
918691935,-0.920854,0.086738,-0.336805
918711993,-0.972442,0.087449,-0.338112
918732051,-0.972442,0.087449,-0.338112
918752108,-0.972720,0.088119,-0.289285
918772165,-1.024677,0.037439,-0.338662
918792222,-0.920854,0.086738,-0.336805
918812280,-0.972442,0.087449,-0.338112
918832337,-0.972442,0.087449,-0.338112
918852395,-0.920854,0.086738,-0.336805
918872453,-0.973089,0.036728,-0.337354
918892510,-0.972811,0.036057,-0.386181
918912567,-0.972442,0.087449,-0.338112
918932625,-0.972442,0.087449,-0.338112
918952683,-0.972811,0.036057,-0.386181
918972740,-0.972442,0.087449,-0.338112
918992799,-0.972442,0.087449,-0.338112
919012856,-0.973089,0.036728,-0.337354
919032914,-0.973089,0.036728,-0.337354
919052971,-0.972442,0.087449,-0.338112
919073029,-1.025323,-0.013282,-0.337904
919093087,-1.024954,0.038109,-0.289835
919113145,-0.972442,0.087449,-0.338112
919133202,-1.024677,0.037439,-0.338662
919153259,-0.972720,0.088119,-0.289285
919173316,-0.973089,0.036728,-0.337354
919193373,-0.973366,0.037398,-0.288528
919213430,-0.973735,-0.013993,-0.336597
919233485,-0.973089,0.036728,-0.337354
919253540,-0.973366,0.037398,-0.288528
919273596,-0.973366,0.037398,-0.288528
919293653,-0.921501,0.036017,-0.336047
919313709,-0.973089,0.036728,-0.337354
919333764,-1.024677,0.037439,-0.338662
919353820,-0.972720,0.088119,-0.289285
919373876,-0.972720,0.088119,-0.289285
919393933,-1.023292,0.190943,-0.243281
919413989,-0.816293,0.238820,-0.238810
919434046,-0.919747,0.240913,-0.192598
919454103,-0.973089,0.036728,-0.337354
919474160,-0.977060,-0.319661,-0.429704
919494217,-0.979924,-0.521875,-0.377845
919514275,-0.927689,-0.471865,-0.377296
919534331,-0.924456,-0.218260,-0.381085
919554387,-0.974105,-0.065385,-0.384666
919574445,-0.921501,0.036017,-0.336047
919594501,-0.971796,0.138170,-0.338870
919614558,-0.920208,0.137459,-0.337563
919634614,-1.024308,0.088831,-0.290593
919654671,-1.024677,0.037439,-0.338662
919674727,-1.024677,0.037439,-0.338662
919694784,-0.922147,-0.014704,-0.335289
919714841,-0.921501,0.036017,-0.336047
919734898,-1.026617,-0.114725,-0.336388
919754956,-0.870282,-0.016086,-0.382809
919775014,-1.024399,0.036768,-0.387489
919795070,-0.972165,0.086778,-0.386939
919815126,-0.972442,0.087449,-0.338112
919835182,-1.076542,0.038821,-0.291142
919855239,-1.127761,0.090923,-0.244381
919875296,-1.181475,-0.007796,-0.097692
919895354,-1.184153,-0.262743,-0.191556
919915411,-1.392722,-0.411391,-0.145686
919935469,-1.392814,-0.463453,-0.242581
919955526,-1.392906,-0.515516,-0.339477
919975583,-1.343629,-0.562924,-0.044451
919995640,-1.292042,-0.406778,0.296371
920015697,-1.340583,-0.099728,0.436997
920035755,-1.076267,0.195008,-0.000455
920055812,-1.281510,0.195169,-0.200991
920075869,-1.434887,0.193950,-0.449047
920095926,-1.590851,-0.010155,-0.694072
920115983,-1.439691,-0.160428,-0.394916
920136040,-1.334205,0.041705,-0.346506
920156095,-1.281324,0.142437,-0.346714
920176151,-1.178148,0.141014,-0.344099
920196206,-0.920299,0.085397,-0.434459
920216262,-0.767106,-0.017508,-0.380194
