Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917420010,-1.305049,-0.012466,-0.346175,-0.961711,0.027911,-0.259158
917440070,-1.441576,0.040955,-0.283840,-0.963878,0.031583,-0.258875
917460130,-0.365817,-0.012491,-0.196423,-0.968917,0.029556,-0.256956
917480190,-0.999775,-0.126498,-0.295884,-0.961998,0.020810,-0.248754
917500250,-0.601777,-0.073090,-0.147953,-0.965291,0.024782,-0.242756
917520310,0.355634,0.444318,0.213696,-0.975282,0.024259,-0.249983
917540370,-0.955622,0.490469,0.212717,-0.968321,0.013788,-0.250840
917560430,-0.327168,0.086408,-0.158989,-0.967292,0.015651,-0.253232
917580491,1.206160,0.291167,-0.100107,-0.965234,0.023289,-0.254000
917600551,1.726115,0.192540,0.069735,-0.965445,0.030441,-0.257135
917620610,0.501848,0.262217,0.380225,-0.959299,0.028781,-0.265252
917640670,0.588266,0.353993,0.622935,-0.958387,0.029890,-0.264176
917660734,1.160363,0.057475,0.701246,-0.963416,0.035846,-0.255315
917680791,0.660613,1.046373,0.887147,-0.967413,0.040388,-0.253150
917700851,2.108234,0.604813,0.864764,-0.969600,0.036581,-0.257363
917720911,2.243179,0.315441,0.681098,-0.962124,0.030566,-0.263664
917740971,0.694728,0.809814,0.521537,-0.965274,0.030755,-0.254958
917761031,1.173489,0.436893,0.425769,-0.971338,0.035773,-0.257358
917781091,0.773965,0.231135,0.148674,-0.970834,0.036262,-0.265001
917801151,-0.013928,-0.384689,-0.016426,-0.960985,0.029128,-0.257267
917821210,-0.564514,0.200243,-0.278618,-0.965379,0.029964,-0.253398
917841270,-0.228129,-0.096023,-0.136750,-0.965077,0.027165,-0.261253
917861331,-0.960316,-0.232570,-0.143619,-0.961513,0.023200,-0.266796
917881391,-1.278220,0.102475,0.034317,-0.961299,0.025075,-0.254557
917901451,0.070610,-0.430152,0.058976,-0.967457,0.029169,-0.257577
917921511,2.205757,-0.339742,0.088683,-0.966665,0.033240,-0.263921
917941571,2.460420,0.139633,0.320947,-0.960509,0.028127,-0.261701
917961631,0.658786,-0.247746,0.143524,-0.967760,0.026569,-0.255257
917981691,-0.479578,-0.263059,-0.095463,-0.962815,0.027299,-0.258152
918001751,-0.143227,-0.437753,0.023233,-0.964521,0.029182,-0.260561
918021811,1.168269,-0.331868,0.023826,-0.965786,0.029151,-0.262658
918041871,1.054821,-0.384790,0.124283,-0.964883,0.029267,-0.261019
918061930,1.695011,-0.050759,0.047825,-0.966811,0.029324,-0.258758
918081989,0.419505,-0.210372,-0.158807,-0.961017,0.033032,-0.263159
918102049,-0.073335,-0.103119,0.097837,-0.965174,0.033868,-0.268743
918122110,1.141147,-0.255042,0.351655,-0.963063,0.031503,-0.257960
918142170,1.158340,-0.170985,0.534171,-0.962307,0.028454,-0.250080
918162230,1.340255,0.079442,0.386735,-0.970690,0.028401,-0.251217
918182290,0.852241,-0.148341,0.415526,-0.968178,0.027936,-0.260285
918202350,-0.223179,-0.072016,0.358534,-0.968573,0.023384,-0.259838
918222410,0.826781,-0.209756,0.164450,-0.964364,0.031592,-0.253787
918242470,0.636685,0.238779,0.142538,-0.965303,0.036697,-0.259251
918262530,-0.422296,0.209005,0.222821,-0.960640,0.027422,-0.255688
918282590,-0.245760,-0.223913,0.412516,-0.968869,0.025323,-0.253967
918302650,1.592866,-0.117983,0.521650,-0.965505,0.033596,-0.259194
918322710,1.795649,0.916494,0.814055,-0.966911,0.030007,-0.256498
918342770,1.004810,0.109978,0.382715,-0.971091,0.022910,-0.266480
918362830,0.250969,-0.590443,-0.178864,-0.962856,0.024057,-0.270183
918382890,-0.925571,0.024950,-0.525726,-0.958451,0.029548,-0.253443
918402950,-1.257849,0.481797,-0.279346,-0.965943,0.039501,-0.256034
918423010,-0.826312,-0.066241,-0.496098,-0.967458,0.036789,-0.264810
918443070,-0.976643,0.230703,-0.327526,-0.962655,0.031075,-0.265858
918463130,-0.549872,0.200089,-0.339750,-0.959729,0.024159,-0.258895
918483190,-0.000745,-0.256020,-0.245542,-0.965653,0.021514,-0.246697
918503250,1.437735,-0.796733,-0.404762,-0.969611,0.031122,-0.261261
918523310,2.545198,-0.226790,-0.296401,-0.966510,0.028327,-0.248738
918543370,2.680426,-0.576884,-0.441810,-0.974769,0.018992,-0.234064
918603550,6.229505,0.347806,-0.963223,-0.965213,0.009735,-0.256383
918623611,4.288613,-0.235715,-0.544145,-0.957307,0.006250,-0.239911
918643671,6.759667,1.019160,0.111525,-0.962399,0.031903,-0.246327
918663731,6.791272,-0.338910,1.212106,-0.967825,0.045579,-0.239612
918683791,5.095061,-0.555745,2.412592,-0.956784,0.028915,-0.242968
918703851,5.188093,1.330977,3.031775,-0.971526,0.025039,-0.236431
918723911,5.037412,1.931790,3.115748,-0.966050,0.038092,-0.239099
918743971,6.005614,2.212537,3.066314,-0.970301,0.037540,-0.245658
918764031,4.442537,0.714301,2.523244,-0.971233,0.018822,-0.246404
918784091,3.996537,0.759146,2.131703,-0.968919,0.023068,-0.247835
918804151,5.721977,0.835015,2.364099,-0.960713,0.034629,-0.251096
918824211,5.106374,1.588030,2.437544,-0.953485,0.050255,-0.285620
918844271,2.530321,2.136420,2.433925,-0.954364,0.049006,-0.308329
918864331,-0.993516,3.148142,2.111806,-0.949438,0.038113,-0.289008
918884391,-3.146902,2.652400,1.077281,-0.958461,0.046831,-0.280402
918904451,-4.671947,3.061439,0.216499,-0.956528,0.053652,-0.276155
918924511,-6.472252,3.563451,0.029195,-0.956559,0.041737,-0.283569
918964631,-6.981831,3.586759,0.149047,-0.956944,0.022920,-0.284493
918984691,-5.810368,3.775602,-0.146274,-0.967702,0.014078,-0.278387
919004753,-4.416009,1.728864,-0.667042,-0.974893,-0.001739,-0.234768
919024813,-4.111163,0.966958,-1.323913,-0.974607,-0.019737,-0.240339
919044872,-0.566641,0.682316,-2.108978,-0.985728,-0.026910,-0.232994
919064933,4.218829,0.183962,-3.036678,-0.993105,-0.025952,-0.233416
919084993,6.266649,0.233700,-4.118654,-0.992307,-0.026298,-0.198678
919105053,3.629181,-2.103556,-6.004456,-0.992276,-0.003762,-0.180008
919125113,7.783450,-3.165442,-7.449696,-0.994212,0.021867,-0.196043
919145173,11.321670,-4.718767,-7.896142,-0.989686,0.020080,-0.192348
919165233,8.020599,-6.256080,-9.174583,-0.974099,0.022073,-0.220663
919185293,4.530147,-4.848524,-9.269421,-0.949648,0.031790,-0.228345
919205353,3.961612,-2.733141,-8.513994,-0.957127,0.025076,-0.219534
919225413,3.510891,-1.293259,-7.300862,-0.962292,0.006957,-0.228679
919245473,10.135100,0.096211,-6.858754,-0.972143,-0.019247,-0.208971
919265533,14.167755,-0.836354,-8.287745,-0.969705,-0.020464,-0.190572
919285593,13.084043,-1.559936,-9.051429,-0.949570,-0.004701,-0.217846
919305653,15.881063,0.205338,-7.897601,-0.946289,0.008949,-0.218719
919325713,18.344763,2.822344,-6.666053,-0.980493,-0.007297,-0.202968
919345773,15.453676,-1.103464,-8.499332,-0.985201,0.016213,-0.230615
