Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917437051,0.886563,-0.220026,0.535053
917486903,0.877201,-0.220088,0.524735
917536753,0.877154,-0.219687,0.545585
917586594,0.877189,-0.219889,0.535212
917636435,0.886551,-0.219827,0.545529
917686282,0.886564,-0.219632,0.556110
917736126,0.886600,-0.219834,0.545736
917785973,0.896016,-0.210677,0.545265
917835827,0.877189,-0.219889,0.535212
917885680,0.886576,-0.219831,0.545633
917935540,0.886576,-0.219831,0.545633
917985404,0.886508,-0.229515,0.524784
918035258,0.877142,-0.219488,0.556061
918085111,0.877243,-0.210794,0.524427
918134964,0.886510,-0.229121,0.545840
918184819,0.867780,-0.219550,0.545746
918234679,0.886551,-0.219827,0.545529
918284534,0.896040,-0.210680,0.545369
918334388,0.877202,-0.219694,0.545793
918384251,0.886642,-0.210540,0.545426
918434115,0.886623,-0.220232,0.524779
918483971,0.896118,-0.201588,0.534685
918533837,0.877280,-0.210602,0.535108
918633551,0.886667,-0.210543,0.545529
918683416,0.877292,-0.210801,0.524629
918733274,0.867804,-0.219554,0.545850
918783134,0.877288,-0.200711,0.566230
918832988,0.886722,-0.201054,0.555801
918882851,0.877335,-0.201112,0.545379
918932716,0.877202,-0.219694,0.545793
918982579,0.867937,-0.200972,0.545436
919032443,0.877270,-0.210009,0.566650
919082306,0.867829,-0.219163,0.567020
919132166,0.877233,-0.210201,0.555959
919182026,0.886739,-0.191757,0.555384
919231881,0.886854,-0.182472,0.555387
919281743,0.886934,-0.172985,0.565765
919331608,0.877577,-0.163551,0.565508
919381477,0.896440,-0.154541,0.565188
919431339,0.887186,-0.136018,0.554352
919481207,0.886957,-0.173383,0.544805
919531070,0.886781,-0.201653,0.524466
919580941,0.877335,-0.201112,0.545379
919630804,0.867914,-0.200574,0.566393
919680667,0.858328,-0.228505,0.556592
919730527,0.820536,-0.255423,0.578505
919780386,0.801507,-0.282812,0.589610
919830244,0.782477,-0.310200,0.600712
919880108,0.763526,-0.328103,0.622194
919929964,0.753918,-0.365728,0.591756
919979824,0.772761,-0.366804,0.549728
920029680,0.829672,-0.303604,0.495547
920079546,0.896026,-0.241340,0.399394
920129407,0.934407,-0.140696,0.344497
920179266,0.972942,-0.021869,0.268230
920229122,0.982874,0.041834,0.203853
920278982,0.983272,0.097578,0.202611
920328839,0.955288,0.125672,0.191681
920378697,0.945787,0.116718,0.202365
920428560,0.955052,0.097997,0.202722
920478427,0.936412,0.127345,0.265145
920528293,0.908336,0.157030,0.338044
920578158,0.898959,0.156371,0.296115
920628019,0.880020,0.138670,0.328149
920677886,0.860908,0.112266,0.391587
920727747,0.851180,0.066753,0.434761
920777613,0.822585,0.021514,0.477785
920827472,0.784638,-0.023981,0.500001
920877327,0.784361,-0.060945,0.511306
920927179,0.774674,-0.097569,0.533145
920977038,0.746591,-0.087860,0.533313
921026903,0.736971,-0.115591,0.533888
921076764,0.755913,-0.097885,0.501827
921126627,0.793564,-0.109528,0.407598
921176488,0.850124,-0.102472,0.333777
921226346,0.869318,-0.047403,0.311389
921276208,0.888336,-0.020209,0.289697
921326075,0.897778,-0.010661,0.310391
921375940,0.897711,-0.019952,0.310598
921425807,0.879002,-0.000294,0.352211
921475673,0.860082,-0.008310,0.404925
921525533,0.841197,-0.016525,0.447250
921575397,0.812924,-0.025197,0.458108
921625259,0.803358,-0.043042,0.490018
921675123,0.803280,-0.052134,0.500705
921724985,0.794003,-0.033213,0.510828
921774839,0.803523,-0.014970,0.499779
921824699,0.794191,-0.005539,0.499629
921874558,0.803578,-0.005481,0.510051
921924422,0.803667,0.003412,0.488886
921974275,0.803768,0.012505,0.478296
922024134,0.813288,0.031146,0.488306
922074021,0.813253,0.031343,0.498687
922123854,0.803878,0.031086,0.477787
922173718,0.803835,0.021397,0.457037
922223581,0.822853,0.048991,0.456395
922273448,0.841860,0.075985,0.424132
922323311,0.860956,0.112271,0.391755
922373176,0.870479,0.120828,0.360136
922423043,0.879877,0.120688,0.360079
922472901,0.879764,0.111792,0.381163
922522760,0.879800,0.111595,0.370766
922572621,0.879722,0.102503,0.381453
922622484,0.870246,0.093551,0.392197
922672346,0.851426,0.094230,0.413270
922722208,0.841884,0.076387,0.445272
922772064,0.841818,0.067096,0.445479
922821927,0.832240,0.049050,0.466818
922871796,0.813198,0.021854,0.488416
922921643,0.803425,-0.033751,0.489811
922971490,0.793804,-0.061086,0.511449
923021341,0.784106,-0.097909,0.522712
923071195,0.746314,-0.124825,0.544621
923121052,0.746424,-0.106242,0.544103
923170912,0.765100,-0.125302,0.533925
923220776,0.764979,-0.144478,0.502805
923270636,0.774367,-0.154113,0.492672
923320495,0.793330,-0.136012,0.481760
923370367,0.821759,-0.109948,0.407428
923420215,0.878759,-0.037855,0.332082
923470075,0.935906,0.042137,0.183179
923519938,0.964879,0.132636,0.076153
923569799,0.965984,0.260126,-0.062942
923619663,0.910416,0.350689,-0.232353
923669521,0.845222,0.403631,-0.432265
923719379,0.760933,0.420690,-0.578850
923769239,0.695105,0.401903,-0.640956
923819100,0.685565,0.383258,-0.650908
923868954,0.695047,0.402898,-0.588563
923918811,0.732825,0.440892,-0.516267
923968665,0.789220,0.460820,-0.401757
924018524,0.845364,0.432901,-0.359562
924068382,0.882545,0.387279,-0.285404
924118237,0.919581,0.323273,-0.200353
924168095,0.947167,0.250320,-0.104542
924217947,0.965144,0.158914,-0.008327
924267804,0.964447,0.077487,0.108831
924317657,0.954371,-0.004597,0.184100
924367511,0.925808,-0.039550,0.279406
924417369,0.887694,-0.102635,0.354510
924467232,0.830837,-0.156741,0.397928
924517099,0.811908,-0.175042,0.398455
924566958,0.821130,-0.203058,0.399103
924616821,0.830560,-0.193311,0.430280
924666678,0.811807,-0.183342,0.451146
924716541,0.802242,-0.201581,0.462004
924766405,0.783445,-0.201301,0.462118
924816264,0.773958,-0.210054,0.483338
924866123,0.783279,-0.219680,0.472916
924915972,0.802210,-0.211469,0.430775
924965821,0.830715,-0.175522,0.387863
925015676,0.868951,-0.093261,0.343859
925065535,0.916885,0.025427,0.267535
925115395,0.926982,0.117598,0.233973
925165255,0.927380,0.173342,0.232731
925215110,0.927430,0.192914,0.284640
925264971,0.908681,0.203687,0.347566
925314818,0.880805,0.250358,0.336144
925364663,0.871758,0.306634,0.355837
925414507,0.843675,0.326438,0.397587
925464362,0.824789,0.317826,0.418864
925514212,0.806071,0.327603,0.429339
925564067,0.824910,0.336606,0.428929
925613922,0.815512,0.336746,0.428986
925663786,0.824988,0.345698,0.418243
925713645,0.815680,0.355136,0.418181
925763498,0.815578,0.345632,0.407735
925813355,0.815780,0.363425,0.365493
925863211,0.816037,0.390304,0.312479
925913082,0.835058,0.407014,0.228123
925962947,0.826317,0.479293,0.111260
926012812,0.817219,0.516000,0.079053
926062684,0.789237,0.534018,0.026452
926112552,0.808059,0.522856,-0.057294
926162410,0.807675,0.456021,-0.150177
926212266,0.835473,0.389372,-0.211770
926262127,0.844661,0.361558,-0.200727
926311986,0.844673,0.361763,-0.190242
926361845,0.853837,0.333943,-0.179206
926411709,0.863025,0.306129,-0.168163
926461571,0.881664,0.287262,-0.167872
926511435,0.890840,0.259648,-0.146354
926561297,0.918640,0.204286,-0.103337
926611157,0.909017,0.176550,-0.102677
926661012,0.908921,0.157772,-0.112725
926710871,0.909107,0.185443,-0.123842
926760733,0.909022,0.186034,-0.092445
926810594,0.909127,0.195530,-0.082134
926860461,0.918489,0.195585,-0.071735
926910321,0.918422,0.186294,-0.071528
926960178,0.908970,0.176945,-0.081741
927010037,0.909180,0.204618,-0.092839
927059894,0.899981,0.232630,-0.093403
927109755,0.890771,0.260841,-0.083490
927159616,0.890729,0.251555,-0.083263
927209478,0.881252,0.242201,-0.093497
927259335,0.881174,0.233109,-0.082813
927309195,0.899681,0.196064,-0.061144
927359051,0.899448,0.168789,-0.029092
927408909,0.899239,0.141516,0.002993
927458762,0.898914,0.104948,0.035220
927508612,0.898825,0.096055,0.056382
927558465,0.908216,0.086029,0.025135
927608320,0.889572,0.103694,-0.038090
927658179,0.890137,0.177421,-0.071173
927708032,0.881396,0.260583,-0.104388
927757887,0.862969,0.296237,-0.199397
927807739,0.844265,0.294927,-0.283101
927857600,0.825757,0.331972,-0.304770
927907460,0.835265,0.350811,-0.284286
927957313,0.844686,0.350273,-0.305297
928007165,0.863204,0.312626,-0.315050
928057015,0.862887,0.255893,-0.366204
928106855,0.872129,0.237570,-0.344893
928156712,0.881815,0.285080,-0.283127
928206567,0.900707,0.303575,-0.273171
928256423,0.910247,0.332301,-0.221463
928306272,0.928945,0.323729,-0.168974
928356112,0.938331,0.323788,-0.158552
928405956,0.966246,0.296887,-0.084751
928455806,0.975318,0.260176,-0.052569
928505659,0.993892,0.232421,-0.031107
928555513,0.993592,0.195855,0.001152
928605366,0.993370,0.168381,0.022727
928655219,1.002639,0.150060,0.044077
928705066,1.002773,0.178125,0.053856
928754905,1.002994,0.196116,0.022085
928804736,1.012914,0.260017,-0.031814
928854576,0.994706,0.333630,-0.085749
928904430,0.976400,0.408023,-0.097809
928954264,0.976642,0.425625,-0.150577
929004102,0.967183,0.415465,-0.202717
929053940,0.976619,0.415134,-0.213245
929103786,0.985814,0.386717,-0.233637
929153624,0.985494,0.340066,-0.243078
929203470,1.004243,0.340581,-0.201288
929253311,1.013533,0.332349,-0.138269
929303153,1.022787,0.313826,-0.127435
929352999,1.032029,0.295503,-0.106123
929402846,1.031850,0.277717,-0.063800
929452698,1.050608,0.268151,-0.063683
929502543,1.059928,0.258918,-0.053054
929552384,1.050209,0.221888,-0.052220
929602233,1.068837,0.203623,-0.020492
929652071,1.059296,0.175898,-0.019756
929701917,1.059112,0.157711,0.001583
929751760,1.068721,0.185244,-0.009572
929801607,1.078191,0.194796,0.011153
929851460,1.049897,0.185521,-0.009489
929901310,1.068681,0.185440,0.000873
929951155,1.068627,0.175950,-0.009395
930001018,1.068560,0.166660,-0.009188
930050866,1.059190,0.166803,-0.009101
930100710,1.087367,0.166181,-0.019778
930150558,1.068627,0.175950,-0.009395
930200396,1.068756,0.184648,-0.041003
930250234,1.059202,0.166604,-0.019578
930300073,1.068439,0.147880,-0.019250
930349917,1.059135,0.157314,-0.019371
930399766,1.068500,0.156771,-0.040435
930449615,1.059442,0.193280,-0.083083
930499470,1.050516,0.248372,-0.126156
930549332,1.041360,0.286072,-0.105973
930599187,1.032267,0.332659,-0.106969
930649059,1.023085,0.370352,-0.086809
930698922,1.014032,0.427633,-0.014643
930748785,0.995246,0.449087,0.121290
930798643,0.985609,0.432029,0.195042
930848494,0.975877,0.396201,0.258782
930898344,0.985557,0.422946,0.205785
930948196,0.976142,0.433362,0.257954
930998048,0.947788,0.425677,0.321110
931047905,0.928828,0.408379,0.374092
931097756,0.938267,0.417521,0.373746
931147611,0.928791,0.408569,0.384484
931197470,0.919405,0.408511,0.374066
931247330,0.928750,0.399287,0.384774
931297192,0.928571,0.381502,0.427091
931347054,0.928372,0.353630,0.427712
931396916,0.928210,0.325567,0.417946
931446774,0.937253,0.279372,0.439878
931496635,0.946493,0.260645,0.440144
931546485,0.936644,0.195955,0.452218
931596340,0.954973,0.130240,0.432509
931646193,0.973217,0.045550,0.392356
931696046,0.982332,-0.001439,0.372463
931745901,0.991207,-0.076500,0.342554
931795755,0.972071,-0.122077,0.375211
931845612,0.943607,-0.148730,0.417824
931895474,0.943621,-0.148534,0.428388
931945326,0.915223,-0.165897,0.470786
931995179,0.896338,-0.174509,0.492058
932045033,0.886855,-0.193350,0.471671
932094890,0.896320,-0.184200,0.471408
932144743,0.896295,-0.184197,0.471314
932194595,0.886922,-0.184060,0.471464
932244462,0.877357,-0.201904,0.503367
932294298,0.867627,-0.248217,0.504458
932344153,0.858127,-0.257165,0.515099
932394006,0.858271,-0.238783,0.504210
932443859,0.858381,-0.219804,0.524747
932493703,0.867869,-0.210657,0.524585
932543548,0.867835,-0.210061,0.556016
932593390,0.858515,-0.200829,0.545389
932643235,0.858335,-0.219009,0.566650
932693093,0.839562,-0.219126,0.545812
932742945,0.848973,-0.219071,0.556337
932792797,0.839508,-0.228221,0.556600
932842647,0.839473,-0.228413,0.545915
