Timestamp (us),W,X,Y,Z
917420010,0.582167,-0.210395,0.764383,0.181045
917440070,0.582112,-0.210565,0.764344,0.181190
917460130,0.582097,-0.210690,0.764306,0.181253
917480190,0.582111,-0.210908,0.764207,0.181370
917500250,0.582139,-0.211087,0.764107,0.181497
917520310,0.582102,-0.211153,0.764112,0.181515
917540370,0.582021,-0.211356,0.764088,0.181639
917560430,0.582040,-0.211433,0.764064,0.181590
917580491,0.582071,-0.211332,0.764122,0.181364
917600551,0.582099,-0.211184,0.764192,0.181152
917620610,0.582024,-0.211150,0.764264,0.181131
917640670,0.581937,-0.211063,0.764358,0.181115
917660734,0.581949,-0.210837,0.764427,0.181048
917680791,0.581811,-0.210654,0.764581,0.181050
917700851,0.581790,-0.210283,0.764754,0.180819
917720911,0.581798,-0.209926,0.764916,0.180522
917740971,0.581719,-0.209775,0.765041,0.180423
917761031,0.581693,-0.209608,0.765132,0.180316
917781091,0.581659,-0.209520,0.765201,0.180237
917801151,0.581725,-0.209468,0.765173,0.180202
917821210,0.581721,-0.209511,0.765166,0.180194
917841270,0.581726,-0.209552,0.765153,0.180183
917861331,0.581687,-0.209756,0.765098,0.180309
917881391,0.581628,-0.209962,0.765040,0.180504
917901451,0.581690,-0.209955,0.764992,0.180518
917921511,0.581790,-0.209717,0.765044,0.180250
917941571,0.581833,-0.209456,0.765155,0.179941
917961631,0.581900,-0.209391,0.765137,0.179875
917981691,0.581918,-0.209475,0.765087,0.179936
918001751,0.581915,-0.209684,0.764989,0.180116
918021811,0.581933,-0.209790,0.764943,0.180134
918041871,0.581980,-0.209782,0.764917,0.180099
918061930,0.582060,-0.209552,0.764983,0.179829
918081989,0.582094,-0.209471,0.765004,0.179725
918102049,0.582050,-0.209497,0.765019,0.179773
918122110,0.582100,-0.209372,0.765032,0.179703
918142170,0.582160,-0.209248,0.765031,0.179658
918162230,0.582193,-0.209167,0.765042,0.179591
918182290,0.582203,-0.209135,0.765044,0.179589
918202350,0.582195,-0.209140,0.765039,0.179633
918222410,0.582262,-0.209017,0.765042,0.179548
918242470,0.582233,-0.208934,0.765099,0.179493
918262530,0.582184,-0.208986,0.765105,0.179568
918282590,0.582211,-0.208984,0.765066,0.179648
918302650,0.582272,-0.208689,0.765145,0.179457
918322710,0.582208,-0.208379,0.765333,0.179224
918342770,0.582206,-0.208243,0.765407,0.179070
918362830,0.582257,-0.208269,0.765376,0.179008
918382890,0.582244,-0.208452,0.765318,0.179086
918402950,0.582153,-0.208549,0.765334,0.179198
918423010,0.582132,-0.208628,0.765321,0.179229
918443070,0.582033,-0.208834,0.765313,0.179344
918463130,0.581960,-0.209118,0.765263,0.179464
918483190,0.582020,-0.209315,0.765146,0.179541
918503250,0.582201,-0.209125,0.765122,0.179278
918523310,0.582386,-0.208829,0.765158,0.178865
918543370,0.582690,-0.208579,0.765094,0.178443
918603550,0.583681,-0.207480,0.765171,0.176138
918623611,0.583984,-0.207057,0.765229,0.175378
918643671,0.584122,-0.206333,0.765529,0.174460
918663731,0.584412,-0.205420,0.765703,0.173801
918683791,0.584624,-0.204585,0.765847,0.173442
918703851,0.584586,-0.203821,0.766148,0.173136
918723911,0.584432,-0.203047,0.766528,0.172884
918743971,0.584266,-0.202168,0.766984,0.172453
918764031,0.584286,-0.201518,0.767209,0.172145
918784091,0.584292,-0.200926,0.767427,0.171844
918804151,0.584360,-0.199868,0.767796,0.171196
918824211,0.584151,-0.198875,0.768337,0.170638
918844271,0.583692,-0.198231,0.768903,0.170413
918864331,0.583060,-0.198068,0.769385,0.170591
918884391,0.582488,-0.198220,0.769684,0.171015
918904451,0.581836,-0.198668,0.769931,0.171598
918924511,0.581053,-0.199376,0.770178,0.172327
918964631,0.579370,-0.201295,0.770549,0.174091
918984691,0.578634,-0.202173,0.770734,0.174702
919004753,0.578465,-0.202760,0.770638,0.175005
919024813,0.578430,-0.203435,0.770453,0.175153
919044872,0.578628,-0.203854,0.770288,0.174736
919064933,0.579090,-0.203897,0.770183,0.173616
919084993,0.579764,-0.203894,0.769998,0.172185
919105053,0.580735,-0.204330,0.769376,0.171170
919125113,0.581940,-0.204454,0.768782,0.169591
919145173,0.583486,-0.204248,0.768108,0.167570
919165233,0.585015,-0.204538,0.767225,0.165923
919185293,0.586158,-0.205193,0.766439,0.164709
919205353,0.587032,-0.205778,0.765873,0.163497
919225413,0.587638,-0.206362,0.765491,0.162367
919245473,0.588395,-0.206262,0.765383,0.160249
919265533,0.589516,-0.205915,0.765180,0.157523
919285593,0.590563,-0.205738,0.764947,0.154942
919305653,0.591422,-0.205056,0.765043,0.152065
919325713,0.592071,-0.204096,0.765419,0.148907
919345773,0.593061,-0.203499,0.765343,0.146151
919365833,0.593675,-0.203453,0.765271,0.144086
919385893,0.593778,-0.204604,0.765195,0.142427
919405953,0.593391,-0.209693,0.763840,0.143902
919426013,0.592598,-0.217858,0.761189,0.149001
919446073,0.590792,-0.226308,0.758539,0.156879
919466133,0.588273,-0.234759,0.755739,0.167109
919486193,0.585736,-0.242283,0.752878,0.177849
919506253,0.584325,-0.245257,0.751703,0.183299
919526314,0.583841,-0.243939,0.752404,0.183723
919546374,0.583346,-0.240129,0.754627,0.181182
919566434,0.581795,-0.235826,0.758087,0.177337
919586494,0.579498,-0.232184,0.761506,0.174999
919606554,0.575621,-0.231453,0.764347,0.176371
919626614,0.571178,-0.232412,0.766438,0.180435
919646674,0.565970,-0.234529,0.768197,0.186524
919666732,0.560505,-0.236722,0.769984,0.192783
919686792,0.554813,-0.238497,0.772033,0.198771
919706852,0.549355,-0.238800,0.774631,0.203405
919726913,0.543867,-0.237811,0.777874,0.206907
919746973,0.538078,-0.236281,0.781483,0.210171
919767032,0.531781,-0.235634,0.785148,0.213240
919787092,0.525511,-0.235724,0.788233,0.217267
919807153,0.519768,-0.236237,0.790330,0.222835
919827213,0.514376,-0.236293,0.792307,0.228201
919847273,0.509043,-0.236157,0.794401,0.232973
919867333,0.504479,-0.236980,0.795360,0.238719
919887393,0.500673,-0.238725,0.795470,0.244556
919907453,0.497472,-0.242174,0.794232,0.251620
919927512,0.495384,-0.247523,0.791136,0.260143
919947573,0.497803,-0.253783,0.785012,0.267929
919967633,0.505812,-0.260022,0.776307,0.272273
919987693,0.517600,-0.264213,0.767656,0.270610
920007753,0.533469,-0.266148,0.759174,0.261674
920027813,0.552735,-0.273392,0.744559,0.256159
920047873,0.569972,-0.291617,0.721482,0.264195
920067933,0.580665,-0.311616,0.703181,0.267403
920087993,0.592332,-0.328363,0.687036,0.263717
920108053,0.610190,-0.333363,0.674124,0.249677
920128113,0.630459,-0.330346,0.662910,0.232781
920148173,0.650976,-0.322778,0.652779,0.214867
920168233,0.669151,-0.317470,0.641628,0.200014
920188293,0.684231,-0.316884,0.629094,0.189465
920208353,0.696048,-0.320975,0.615844,0.182954
920228413,0.705443,-0.326700,0.603845,0.176727
920248473,0.712245,-0.331334,0.595221,0.169941
920268533,0.717048,-0.333030,0.590454,0.162910
920288593,0.720068,-0.331006,0.589875,0.155655
920308654,0.722758,-0.323329,0.593030,0.147097
920328714,0.724875,-0.310737,0.599351,0.137912
920348774,0.726133,-0.295888,0.606930,0.130613
920368834,0.726852,-0.280519,0.614411,0.125449
920388894,0.729713,-0.257781,0.622767,0.116074
920408954,0.733913,-0.226399,0.632203,0.103337
920429014,0.733259,-0.213027,0.638754,0.095847
920449074,0.730454,-0.204678,0.646640,0.081506
920469134,0.730144,-0.191898,0.652826,0.064237
920489193,0.722599,-0.194101,0.661363,0.054939
920509254,0.709102,-0.214580,0.669432,0.056869
920529313,0.697920,-0.254758,0.664615,0.080851
920549374,0.706975,-0.259437,0.652361,0.086880
920569434,0.712810,-0.239717,0.655359,0.072013
920589494,0.700019,-0.259149,0.660180,0.084973
920609554,0.695217,-0.263531,0.663043,0.088550
920629630,0.686283,-0.260552,0.673122,0.090987
920649676,0.679180,-0.257642,0.680881,0.094756
920669736,0.673062,-0.251702,0.688743,0.097516
920689795,0.666184,-0.243744,0.697944,0.099525
920709855,0.657426,-0.240410,0.706437,0.105756
920729916,0.647165,-0.240902,0.714383,0.114211
920749976,0.636995,-0.239896,0.722643,0.121312
920770036,0.627586,-0.237764,0.730471,0.127511
920790095,0.619968,-0.237797,0.735467,0.135736
920810156,0.611961,-0.242327,0.738423,0.147501
920830215,0.603880,-0.247984,0.740731,0.159352
920850276,0.597737,-0.252502,0.742085,0.168838
920870336,0.592203,-0.257506,0.742894,0.177026
920890397,0.587560,-0.260413,0.744491,0.181476
920910456,0.583144,-0.262086,0.746842,0.183642
920930516,0.578499,-0.263861,0.749528,0.184847
920950576,0.573994,-0.265972,0.751961,0.185976
920970636,0.569522,-0.271787,0.752011,0.191048
920990695,0.566939,-0.278596,0.750082,0.196430
921010756,0.567910,-0.284376,0.746265,0.199847
921030816,0.571913,-0.287741,0.742321,0.198301
921050876,0.576866,-0.294912,0.735726,0.197998
921070936,0.583535,-0.307981,0.723155,0.204755
921090996,0.591108,-0.325924,0.704094,0.221045
921111056,0.600010,-0.345498,0.680373,0.240739
921131116,0.609015,-0.361645,0.657890,0.256393
921151176,0.616338,-0.375435,0.639437,0.265594
921171236,0.622823,-0.386671,0.625408,0.267743
921191296,0.631625,-0.391628,0.615568,0.262673
921211356,0.642566,-0.389100,0.608980,0.255141
921231416,0.653529,-0.382029,0.605375,0.246411
921251476,0.663108,-0.372540,0.604932,0.236224
921271536,0.669935,-0.364191,0.605792,0.227623
921291596,0.673052,-0.359156,0.607288,0.222380
921311655,0.673259,-0.356713,0.609069,0.220808
921331715,0.672088,-0.353476,0.612610,0.219781
921351775,0.673186,-0.343658,0.618661,0.214994
921371835,0.675555,-0.326241,0.629086,0.204173
921391895,0.678778,-0.302905,0.642296,0.187641
921411955,0.681197,-0.280417,0.655213,0.168157
921432015,0.673318,-0.278697,0.665655,0.161608
921452075,0.659610,-0.292612,0.671149,0.170572
921472135,0.648327,-0.299729,0.676114,0.181513
921492196,0.647168,-0.284971,0.684720,0.177109
921512255,0.652999,-0.259730,0.695053,0.152570
921532315,0.650404,-0.255695,0.700919,0.143355
921552375,0.645539,-0.262802,0.701171,0.151053
921572435,0.639458,-0.266243,0.703282,0.160767
