Timestamp (us),Percentage (%),Voltage (V),Charging Status
918288723,100.000000,4.005319,0.000000
919289255,100.000000,4.005400,0.000000
920289786,100.000000,4.005239,0.000000
921290317,100.000000,4.005319,0.000000
922290848,100.000000,4.005198,0.000000
923291380,100.000000,4.005178,0.000000
924291913,100.000000,4.005118,0.000000
925292449,100.000000,4.005038,0.000000
926292989,100.000000,4.005038,0.000000
927293521,100.000000,4.004896,0.000000
928294053,100.000000,4.004816,0.000000
929294584,100.000000,4.004836,0.000000
930295115,100.000000,4.004776,0.000000
931295647,100.000000,4.004735,0.000000
932296178,100.000000,4.004735,0.000000
934297241,100.000000,4.004594,0.000000
935297771,100.000000,4.004554,0.000000
