Timestamp (us),X (g),Y (g),Z (g)
917425677,0.914469,-0.013723,0.385018
917446277,0.967218,-0.015000,0.339296
917466879,0.914907,-0.014268,0.337792
917487480,0.915725,0.035008,0.337168
917508080,0.861339,-0.062268,0.384138
917528679,0.915725,0.035008,0.337168
917549282,0.914907,-0.014268,0.337792
917569884,0.915725,0.035008,0.337168
917590484,0.968855,0.083553,0.338048
917611084,0.914907,-0.014268,0.337792
917631684,0.915725,0.035008,0.337168
917652283,0.913651,-0.062999,0.385642
917672885,0.861776,-0.062813,0.336912
917693488,0.863851,0.035195,0.288438
917714088,0.966781,-0.014455,0.386522
917734688,0.915287,0.035553,0.384394
917755289,0.914088,-0.063544,0.338416
917775891,0.914469,-0.013723,0.385018
917796490,0.862157,-0.012991,0.383514
917817091,0.913594,-0.012633,0.479471
917837691,0.862157,-0.012991,0.383514
917858292,0.914469,-0.013723,0.385018
917878895,0.914088,-0.063544,0.338416
917899496,0.861339,-0.062268,0.384138
917920096,0.966781,-0.014455,0.386522
917940698,0.914907,-0.014268,0.337792
917961299,0.914469,-0.013723,0.385018
917981900,0.914032,-0.013178,0.432245
918002502,0.914469,-0.013723,0.385018
918023102,0.966781,-0.014455,0.386522
918043700,0.966400,-0.064276,0.339919
918064299,0.914469,-0.013723,0.385018
918084898,1.019093,-0.015186,0.388026
918105496,0.967218,-0.015000,0.339296
918126096,0.861720,-0.012446,0.430741
918146696,0.862157,-0.012991,0.383514
918167297,0.862157,-0.012991,0.383514
918187897,0.863032,-0.014081,0.289061
918208495,0.862157,-0.012991,0.383514
918229093,0.914032,-0.013178,0.432245
918249691,0.967218,-0.015000,0.339296
918270289,0.914088,-0.063544,0.338416
918290891,0.862595,-0.013536,0.336288
918311486,0.914469,-0.013723,0.385018
918332085,0.966781,-0.014455,0.386522
918352682,0.914469,-0.013723,0.385018
918373280,0.968037,0.034277,0.338672
918393878,0.914907,-0.014268,0.337792
918414475,0.916163,0.034463,0.289941
918435073,0.915287,0.035553,0.384394
918455671,0.914469,-0.013723,0.385018
918476267,0.915287,0.035553,0.384394
918496866,0.914469,-0.013723,0.385018
918517466,0.915725,0.035008,0.337168
918538067,0.913594,-0.012633,0.479471
918558668,0.968037,0.034277,0.338672
918579270,0.914907,-0.014268,0.337792
918599872,0.968037,0.034277,0.338672
918641072,0.915287,0.035553,0.384394
918661672,1.020349,0.033545,0.340175
918682274,0.914469,-0.013723,0.385018
918702875,0.915725,0.035008,0.337168
918723475,0.914907,-0.014268,0.337792
918744076,0.861776,-0.062813,0.336912
918764678,0.914469,-0.013723,0.385018
918785279,0.914469,-0.013723,0.385018
918805881,0.967218,-0.015000,0.339296
918826482,0.914088,-0.063544,0.338416
918847081,0.861339,-0.062268,0.384138
918867683,0.914526,-0.064089,0.291189
918888286,0.914088,-0.063544,0.338416
918908887,0.965525,-0.063186,0.434372
918950089,0.965962,-0.063731,0.387146
918970691,0.914469,-0.013723,0.385018
918991292,0.914850,0.036098,0.431621
919011894,0.915287,0.035553,0.384394
919032493,0.915287,0.035553,0.384394
919053092,0.969236,0.133374,0.384650
919073693,0.863356,0.086106,0.429493
919094294,0.915287,0.035553,0.384394
919114894,0.915725,0.035008,0.337168
919135495,0.916543,0.084285,0.336544
919156096,0.968037,0.034277,0.338672
919176696,0.967599,0.034822,0.385898
919217898,0.916543,0.084285,0.336544
919238500,0.968474,0.033732,0.291445
919259101,0.968474,0.033732,0.291445
919279701,0.968474,0.033732,0.291445
919300302,0.967218,-0.015000,0.339296
919320902,0.968418,0.084098,0.385274
919341501,0.916543,0.084285,0.336544
919362099,0.916543,0.084285,0.336544
919382699,0.967599,0.034822,0.385898
919403298,0.914907,-0.014268,0.337792
919423898,0.967218,-0.015000,0.339296
919444497,0.914469,-0.013723,0.385018
919465096,0.808589,-0.060991,0.429861
919485695,0.808152,-0.060446,0.477088
919506294,1.019530,-0.015731,0.340799
919526894,1.020405,-0.016821,0.246346
919547493,1.071461,-0.066284,0.295701
919568092,1.071080,-0.116105,0.249098
919588692,1.018388,-0.165195,0.200992
919609294,0.913327,-0.163187,0.245210
919629897,0.913764,-0.163732,0.197984
919671096,0.860253,-0.262097,0.150501
919691697,0.914202,-0.164277,0.150757
919712299,0.913764,-0.163732,0.197984
919732901,0.914145,-0.113910,0.244587
919753501,0.913764,-0.163732,0.197984
919774101,0.914583,-0.114455,0.197360
919794701,0.915020,-0.115000,0.150134
919815301,0.912508,-0.212463,0.245834
919835899,0.912127,-0.262284,0.199232
919856497,0.966133,-0.214829,0.105659
919877095,1.069063,-0.264479,0.203743
919897694,1.433382,-0.166688,0.590834
919918294,1.281470,0.030432,0.394921
919938893,0.912832,-0.112275,0.386266
919959491,1.014563,-0.261022,0.438372
919980090,0.961814,-0.259746,0.484095
920000691,0.963451,-0.161193,0.482847
920021291,1.018218,-0.014096,0.482479
920041891,0.808589,-0.060991,0.429861
920062492,0.916106,0.084829,0.383770
920083092,0.967543,0.085188,0.479727
920103693,0.968037,0.034277,0.338672
920124293,1.071080,-0.116105,0.249098
920144893,0.965201,-0.163373,0.293941
920165493,0.862214,-0.063358,0.289685
920186093,0.864288,0.034650,0.241211
920206693,0.812414,0.034837,0.192481
920227290,0.865050,0.134292,0.334416
