Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917418209,1.013036,0.755306,0.729441,0.903545,-0.036132,0.439224
917438268,1.173203,0.763147,0.820780,0.903754,-0.034866,0.439027
917458328,1.005686,0.831555,0.927866,0.902336,-0.030804,0.435483
917478388,1.203268,0.580382,0.591635,0.898681,-0.029424,0.437750
917498449,1.142096,0.458549,0.538109,0.902354,-0.029797,0.441370
917518509,0.615724,0.244863,0.355327,0.898411,-0.025431,0.442312
917538569,0.134874,0.000620,-0.018219,0.892202,-0.029099,0.444519
917558630,-0.117045,-0.151968,-0.231724,0.896210,-0.033158,0.445661
917578692,-0.688875,-0.266638,-0.238874,0.897460,-0.029727,0.445541
917598752,-0.956113,-0.586502,-0.323010,0.896641,-0.028597,0.446869
917618812,-1.374768,0.029221,-0.466326,0.910853,-0.025165,0.439557
917638873,-1.946146,0.393754,-0.587026,0.898863,-0.026271,0.441517
917658932,-2.136296,0.675151,-0.494790,0.899906,-0.027072,0.443821
917678992,-1.831414,0.713420,-0.563720,0.898798,-0.031391,0.445412
917699052,-1.824298,0.484957,-0.823423,0.896381,-0.033521,0.445943
917719113,-1.832454,0.020868,-0.816605,0.894369,-0.032176,0.447971
917739173,-1.244896,0.447596,-0.679277,0.895717,-0.034407,0.446580
917759234,-0.650703,-0.137353,-0.337832,0.892629,-0.035752,0.444270
917779294,-0.307941,-0.426051,-0.247233,0.895271,-0.034225,0.446114
917799356,-0.087179,-0.730100,-0.179395,0.897275,-0.034262,0.446154
917819417,-0.262584,-0.798746,-0.186934,0.898811,-0.031313,0.444684
917839477,-0.514050,-0.768512,-0.140825,0.898836,-0.030969,0.443499
917859538,-0.346144,-0.448972,-0.315864,0.897006,-0.035096,0.444891
917879596,-0.506430,-0.479724,-0.506384,0.896504,-0.031980,0.445739
917899657,-0.895267,-0.434580,-0.658368,0.901802,-0.032744,0.444040
917919717,-0.925692,-0.457346,-0.559231,0.900061,-0.033258,0.444014
917939777,-0.994362,-0.594267,-0.460250,0.898301,-0.033750,0.445258
917959838,-1.002139,-0.708415,-0.483321,0.895725,-0.033860,0.446662
917979898,-1.238501,-0.799895,-0.437445,0.894661,-0.034057,0.444555
917999958,-1.284210,-0.837911,-0.361195,0.899381,-0.034034,0.445829
918020020,-1.329738,-0.738963,-0.261826,0.900582,-0.030925,0.442624
918040080,-1.337385,-0.693396,-0.345625,0.900206,-0.033598,0.440117
918060141,-1.352736,-0.754308,-0.383845,0.901019,-0.036018,0.437719
918080201,-1.291508,-0.541226,-0.383542,0.902974,-0.033131,0.438529
918100260,-1.299116,-0.480423,-0.444436,0.902181,-0.030824,0.439567
918120321,-1.603711,-0.290432,-0.352225,0.905378,-0.027187,0.437574
918140381,-1.344173,0.204140,-0.572821,0.902359,-0.031381,0.439125
918160442,-0.985477,0.501280,-0.473582,0.898442,-0.037149,0.437959
918180502,-1.023620,0.280827,-0.229886,0.900264,-0.035976,0.439429
918200563,-1.054227,0.235090,-0.298566,0.904953,-0.033426,0.433942
918220623,-1.100653,-0.054396,-0.680333,0.900803,-0.029772,0.435618
918240684,-1.191934,-0.122698,-0.390549,0.902886,-0.029983,0.436207
918260745,-1.306394,-0.160921,-0.474369,0.900320,-0.031495,0.435363
918280805,-1.138716,-0.145579,-0.512672,0.898641,-0.036428,0.437770
918300866,-0.773227,-0.578781,-0.391849,0.897882,-0.041851,0.439022
918320947,-0.308477,-0.897734,-0.232811,0.902257,-0.039250,0.436252
918340985,-0.071873,-0.798423,-0.027009,0.905690,-0.035762,0.436536
918361045,0.195116,-0.729583,0.102442,0.904391,-0.032841,0.435647
918381106,0.484861,-0.622830,0.064156,0.904791,-0.033623,0.438301
918401166,0.508165,-0.303211,0.133328,0.903760,-0.035522,0.437856
918421227,0.493271,0.016291,0.111030,0.899125,-0.033126,0.439906
918441287,0.493112,0.061737,-0.117677,0.903392,-0.029855,0.439030
918461349,0.348253,0.259158,-0.399327,0.903507,-0.027098,0.440805
918481409,0.241549,0.160274,-0.262103,0.896831,-0.025095,0.438825
918501470,-0.094136,-0.007515,-0.368768,0.900601,-0.024833,0.436988
918521530,-0.544180,0.006957,-0.726642,0.905653,-0.021909,0.437949
918541591,-1.314459,-0.054956,-1.084271,0.906228,-0.019724,0.438743
918561650,-2.473687,-0.337815,-1.380818,0.902053,-0.014562,0.438034
918581710,-3.251971,-0.491294,-2.036022,0.907080,-0.014774,0.430962
918601770,-4.197183,-0.180628,-2.446170,0.904876,-0.017313,0.428961
918641891,-5.974034,-0.259076,-3.214451,0.907126,-0.013631,0.417595
918661952,-6.865469,0.120437,-3.258483,0.913953,-0.014403,0.417197
918682012,-7.909562,0.309619,-3.287416,0.907774,-0.011148,0.419929
918702073,-9.136473,0.810326,-3.574876,0.908177,-0.014713,0.424898
918722134,-9.205244,1.114082,-4.138599,0.906866,-0.021140,0.425338
918742194,-8.801377,1.053548,-4.200194,0.902495,-0.032552,0.428975
918762255,-8.511189,1.426710,-4.093113,0.905333,-0.034656,0.431517
918782314,-8.532816,2.271420,-3.817054,0.906686,-0.031053,0.430850
918802374,-7.920008,4.486334,-3.356303,0.913944,-0.037568,0.419292
918822434,-6.836092,5.461552,-2.944052,0.910865,-0.049678,0.415156
918842495,-5.121315,5.158921,-2.877982,0.908823,-0.052470,0.420064
918862555,-1.903955,4.661028,-1.548084,0.909467,-0.049240,0.423567
918902676,1.216455,4.856643,1.224509,0.908394,-0.055256,0.432632
918922738,3.960725,4.038650,2.424758,0.896020,-0.055963,0.436304
918942798,6.436983,2.801261,2.831457,0.890710,-0.054906,0.439179
918962859,7.343355,1.897101,3.202474,0.894029,-0.043136,0.444960
918982919,7.435369,1.745715,3.979973,0.896878,-0.027820,0.450130
919002978,7.130347,1.502124,4.155309,0.900012,-0.012615,0.454400
919023039,5.681201,1.188341,3.615011,0.899396,-0.003907,0.457609
919043099,3.933723,0.698483,2.159610,0.894575,0.006751,0.463973
919063159,2.026315,0.634184,0.323836,0.893728,0.021258,0.465541
919083219,-0.338153,0.843311,-1.541418,0.894357,0.024127,0.463692
919103280,-2.351818,0.832545,-2.949903,0.891587,0.021428,0.456869
919123340,-4.411429,0.494752,-4.175879,0.891961,0.024741,0.448560
919143402,-7.103171,0.795235,-5.621141,0.898542,0.024388,0.429261
919163463,-9.238962,0.472613,-6.816496,0.910350,0.023171,0.418616
919203583,-12.461727,2.454526,-7.617562,0.918648,0.023743,0.413140
919223642,-12.720177,3.002131,-7.532402,0.920813,0.019461,0.415249
919243703,-12.672342,4.136510,-6.691573,0.917529,0.014237,0.409183
919263763,-12.235335,5.712435,-5.949569,0.922147,0.016581,0.402153
919283824,-11.111162,8.308437,-5.259964,0.924285,0.016395,0.393389
919303884,-9.612253,11.567130,-4.073930,0.924697,0.020507,0.389427
919323944,-7.345584,13.122238,-3.029083,0.909158,0.010378,0.391915
919344005,-4.547456,12.958335,-2.109915,0.900488,0.011951,0.394625
919364067,-1.583455,10.763771,-0.607304,0.896014,0.028278,0.403085
919384127,2.282249,3.921616,0.931801,0.895036,0.005008,0.408704
919404188,2.856120,-3.963759,4.966746,0.890156,-0.035173,0.410520
919424248,-4.981386,-2.627896,9.843925,0.905785,-0.054190,0.461079
919444308,-17.680162,3.880458,10.274644,0.903684,-0.040765,0.489249
919464367,-27.138929,8.241973,5.649172,0.850237,-0.031092,0.474236
919484427,-36.239388,10.240752,-4.181977,0.811445,-0.048372,0.469023
919504488,-42.260902,12.538303,-14.992407,0.896490,-0.065722,0.435379
919524548,-45.573654,12.014034,-19.267717,1.007778,-0.053254,0.402686
919544609,-43.921738,5.819900,-13.827844,1.020695,-0.047877,0.351999
919564669,-40.250278,2.583158,-4.343247,1.017808,-0.091092,0.315761
919584731,-35.671188,-0.067026,5.004034,0.996526,-0.145362,0.288689
919604791,-29.712336,-0.131976,11.189352,0.956951,-0.197798,0.285747
919624852,-21.943390,-1.468202,14.586713,0.917783,-0.212000,0.279116
919644912,-14.587198,-2.433531,16.284563,0.891466,-0.207446,0.271531
919664973,-6.357620,-4.427017,15.821346,0.843494,-0.217348,0.261843
919705092,5.902966,-6.995489,14.665978,0.872196,-0.202595,0.262356
919725152,9.385076,-8.125835,14.591221,0.904094,-0.187520,0.280454
919745213,11.731984,-9.127539,14.952733,0.907661,-0.174799,0.289039
919765273,13.666104,-10.176347,14.109705,0.909040,-0.154634,0.283205
919785334,13.413519,-10.093984,12.882327,0.914027,-0.146447,0.288804
919805394,14.516376,-11.341558,11.849279,0.891450,-0.161722,0.274707
919825456,18.744127,-12.692886,10.575931,0.906751,-0.189184,0.259918
919845516,23.748972,-14.507428,9.453369,0.943281,-0.218632,0.237224
919865577,30.018356,-17.073895,8.404246,0.957786,-0.254108,0.193577
919885637,36.159771,-19.030973,8.340132,1.012755,-0.280425,0.249025
919905696,21.704460,-12.003793,20.952932,1.400637,-0.186864,0.636790
919925756,-6.762087,-5.257223,41.032677,1.281926,0.024928,0.501751
919945817,-1.556511,-21.370153,27.713202,0.881386,-0.106021,0.473412
919965877,8.048266,-14.482723,11.256562,0.988384,-0.288401,0.464900
919985937,30.046516,-31.217834,-1.016236,0.966742,-0.308537,0.537354
920005998,46.312767,-41.309326,-5.026575,0.935479,-0.226564,0.512999
920026058,51.528664,-31.970808,1.946452,0.994379,-0.069657,0.512205
920046120,54.218441,-23.245914,14.610558,0.821198,0.004099,0.555561
920066181,49.854088,-9.538286,25.690300,0.807465,0.025611,0.514989
920086241,42.856991,2.469645,27.466173,0.917039,0.077294,0.469649
920106301,36.313522,2.688573,15.356239,0.942039,0.031057,0.447359
