Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917413712,-0.734377,0.063969,-0.805664
917462646,-0.734895,0.073806,-0.785341
917511580,-0.716740,0.064570,-0.784794
917560515,-0.734665,0.064301,-0.795812
917609443,-0.735171,0.074148,-0.775089
917658365,-0.734683,0.055162,-0.795129
917707300,-0.743991,0.073847,-0.785572
917756232,-0.743439,0.073161,-0.806078
917805167,-0.734592,0.082610,-0.795974
917854098,-0.716710,0.073719,-0.785076
917903033,-0.726078,0.074105,-0.774957
917951970,-0.734626,0.073458,-0.795793
918000903,-0.734346,0.073118,-0.805945
918049840,-0.734929,0.064654,-0.785158
918098776,-0.734622,0.073460,-0.795692
918147709,-0.734346,0.073118,-0.805945
918196642,-0.725839,0.064608,-0.785124
918245575,-0.734895,0.073806,-0.785341
918294507,-0.743685,0.082653,-0.796106
918343438,-0.734592,0.082610,-0.795974
918392363,-0.734868,0.082952,-0.785721
918441291,-0.735171,0.074148,-0.775089
918490224,-0.734626,0.073458,-0.795793
918539153,-0.735144,0.083295,-0.775468
918588081,-0.725809,0.073757,-0.785406
918637001,-0.753333,0.083380,-0.775830
918685928,-0.734898,0.073803,-0.785439
918783797,-0.735144,0.083295,-0.775468
918832736,-0.725472,0.091713,-0.796223
918979536,-0.725190,0.091375,-0.806274
919028473,-0.716072,0.100476,-0.806627
919077412,-0.734589,0.082612,-0.795874
919126346,-0.725226,0.082221,-0.806196
919175285,-0.725745,0.092058,-0.785870
919224224,-0.716403,0.082525,-0.795609
919273165,-0.707280,0.091630,-0.795758
919322094,-0.716310,0.109973,-0.796353
919371030,-0.697577,0.109198,-0.816795
919419955,-0.706701,0.100092,-0.816646
919468884,-0.697547,0.118347,-0.817076
919517815,-0.688365,0.145749,-0.817892
919566751,-0.688272,0.173197,-0.818633
919615680,-0.679920,0.201630,-0.788785
919664615,-0.688976,0.210821,-0.788902
919713542,-0.688953,0.219972,-0.789480
919762470,-0.689196,0.229463,-0.779409
919811400,-0.689776,0.220999,-0.758524
919860341,-0.689287,0.202016,-0.778564
919909268,-0.708056,0.193639,-0.758039
919958199,-0.708577,0.203474,-0.737811
920007123,-0.745532,0.195184,-0.717551
920056052,-0.754992,0.168122,-0.706584
920104986,-0.745408,0.149095,-0.726397
920153918,-0.755087,0.140674,-0.705827
920202849,-0.754864,0.122034,-0.715342
920251791,-0.736187,0.102964,-0.735020
920300713,-0.717510,0.083894,-0.754697
920349643,-0.699294,0.092956,-0.754714
920398572,-0.717692,0.111685,-0.745196
920496428,-0.737503,0.122977,-0.684234
920545352,-0.746966,0.095915,-0.673353
920594286,-0.756059,0.095958,-0.673485
920643227,-0.756611,0.096643,-0.652979
920692163,-0.747794,0.096943,-0.642594
920741092,-0.748009,0.115584,-0.632904
920790025,-0.757045,0.133925,-0.633677
920838943,-0.738031,0.132809,-0.664176
920887872,-0.766716,0.125505,-0.612945
920936798,-0.776487,0.089636,-0.591517
920985731,-0.795532,0.081602,-0.560737
921034655,-0.795613,0.054158,-0.559758
921083582,-0.776885,0.053382,-0.580136
921132509,-0.767416,0.080447,-0.590960
921181438,-0.757806,0.070567,-0.611123
921230365,-0.757262,0.069878,-0.631784
921279300,-0.739408,0.051837,-0.620624
921328242,-0.739439,0.042688,-0.620342
921377169,-0.739439,0.042688,-0.620342
921426110,-0.748441,0.070179,-0.621319
921475042,-0.748315,0.106777,-0.622370
921523981,-0.757045,0.133925,-0.633677
921572914,-0.748780,0.134909,-0.602782
921621845,-0.747646,0.142688,-0.644081
921670786,-0.720676,0.133750,-0.633225
921719721,-0.710967,0.151320,-0.654087
921768655,-0.720367,0.142557,-0.643684
921817589,-0.710967,0.151320,-0.654087
921866522,-0.701841,0.160426,-0.654156
921915462,-0.710873,0.178768,-0.654851
921964398,-0.702581,0.188902,-0.624318
922013326,-0.692903,0.197322,-0.644897
922062263,-0.683691,0.233876,-0.645970
922111186,-0.683843,0.270813,-0.636764
922160111,-0.674659,0.298217,-0.637477
922209038,-0.684985,0.345727,-0.587893
922257967,-0.703629,0.373943,-0.568424
922306899,-0.732193,0.403230,-0.518334
922355836,-0.732689,0.422219,-0.498449
922404763,-0.724121,0.432017,-0.478144
922453685,-0.741717,0.440555,-0.499087
922502606,-0.732965,0.422562,-0.488194
922551543,-0.732175,0.412395,-0.518797
922600464,-0.723963,0.395071,-0.487217
922649398,-0.741653,0.376169,-0.507368
922698326,-0.741106,0.375488,-0.527936
922747253,-0.740921,0.347698,-0.537346
922796179,-0.740252,0.300929,-0.566836
922845105,-0.749674,0.283011,-0.556016
922894023,-0.749455,0.264367,-0.565639
922942952,-0.767797,0.218710,-0.564564
922991878,-0.796081,0.164973,-0.532445
923040800,-0.786287,0.127305,-0.562013
923089730,-0.776300,0.144532,-0.593135
923138650,-0.785740,0.126619,-0.582592
923187579,-0.776396,0.117084,-0.592362
923236515,-0.776396,0.117084,-0.592362
923285447,-0.758512,0.108192,-0.581491
923334375,-0.775966,0.079802,-0.611744
923383303,-0.766903,0.070609,-0.611330
923432230,-0.748222,0.051540,-0.630933
923481158,-0.729794,0.041959,-0.640719
923530083,-0.711201,-0.004553,-0.659391
923579008,-0.701711,-0.051030,-0.678438
923627938,-0.702382,-0.086936,-0.656725
923676863,-0.711535,-0.105190,-0.656294
923725801,-0.758409,-0.112408,-0.605417
923774729,-0.767265,-0.121868,-0.615671
923823659,-0.749105,-0.131098,-0.615049
923872591,-0.748829,-0.131441,-0.625302
923921525,-0.730337,-0.122721,-0.635571
923970465,-0.702782,-0.123194,-0.645427
924019392,-0.702506,-0.123537,-0.655680
924068311,-0.702200,-0.114731,-0.666214
924117244,-0.711572,-0.114350,-0.656175
924166171,-0.730242,-0.095269,-0.636337
924215092,-0.739285,-0.076942,-0.637269
924264020,-0.729845,-0.059016,-0.647715
924312942,-0.739156,-0.040336,-0.638238
924361872,-0.756941,-0.003993,-0.649802
924410803,-0.748895,0.015629,-0.609301
924508673,-0.758203,0.034314,-0.599744
924655475,-0.730009,0.060600,-0.631027
924704405,-0.738512,0.069111,-0.651790
924753348,-0.739011,0.088092,-0.632005
924802280,-0.729948,0.078899,-0.631591
924851212,-0.739075,0.069791,-0.631519
924900148,-0.747881,0.069497,-0.641671
924949075,-0.748368,0.088482,-0.621655
924998011,-0.748005,0.115584,-0.632827
925046941,-0.730069,0.124988,-0.622668
925144800,-0.721100,0.171033,-0.613691
925193732,-0.738949,0.189075,-0.624772
925242674,-0.720672,0.216435,-0.625352
925291613,-0.730498,0.244952,-0.595498
925340548,-0.740577,0.282965,-0.555817
925389482,-0.741012,0.320250,-0.536501
925438418,-0.768927,0.376294,-0.507707
925487359,-0.770246,0.396305,-0.457013
925536294,-0.771023,0.415643,-0.426916
925585227,-0.808715,0.435829,-0.376738
925634159,-0.838777,0.430231,-0.274284
925683097,-0.866990,0.403955,-0.243121
925780953,-0.905482,0.342466,-0.169854
925829886,-0.924902,0.307333,-0.127993
925878828,-0.953150,0.262742,-0.096222
925927767,-0.953752,0.254287,-0.075435
925976701,-0.953476,0.253944,-0.085689
926025635,-0.963232,0.218073,-0.064189
926074576,-0.971538,0.207942,-0.094800
926123511,-0.971353,0.180152,-0.104210
926172439,-0.972507,0.163222,-0.062632
926221367,-0.972374,0.126286,-0.071756
926270305,-0.981763,0.117521,-0.061354
926319237,-0.991234,0.090461,-0.050383
926368172,-1.001194,0.073232,-0.019202
926417103,-0.991416,0.035564,-0.048693
926466036,-0.991640,0.045056,-0.038730
926514974,-1.000854,0.008504,-0.037736
926563911,-0.992098,-0.009495,-0.026788
926612848,-0.991607,-0.028479,-0.046731
926661780,-0.991576,-0.019330,-0.047012
926710719,-1.000945,-0.018943,-0.036892
926759649,-0.992374,-0.009152,-0.016535
926808588,-0.991863,-0.018988,-0.036754
926857520,-0.991852,-0.018987,-0.036759
926906458,-0.991576,-0.019330,-0.047012
926955391,-0.982208,-0.019716,-0.057133
927004330,-0.990994,-0.010866,-0.067800
927053268,-1.000087,-0.010823,-0.067932
927102205,-0.990759,-0.020359,-0.077771
927151137,-0.981492,-0.048195,-0.087050
927200071,-0.990594,-0.057297,-0.086897
927249009,-0.971765,-0.030622,-0.107983
927297940,-0.981380,-0.020744,-0.087891
927346878,-0.990412,-0.002402,-0.088587
927395810,-0.981319,-0.002446,-0.088455
927444739,-0.981534,0.016195,-0.078765
927493675,-0.972778,0.007343,-0.068094
927542611,-0.983058,0.054847,-0.018382
927591547,-0.973393,0.063268,-0.039029
927640486,-0.973628,0.072759,-0.029064
927689417,-0.965374,0.073744,0.001834
927738350,-0.964852,0.063910,-0.018390
927787277,-0.983099,0.045698,-0.018092
927836204,-0.974905,0.028385,0.013375
927885130,-0.973862,0.008715,-0.027079
927934058,-0.965095,-0.009283,-0.016138
927982991,-0.983333,-0.018347,-0.016104
928031923,-0.965391,-0.018088,-0.005613
928080851,-0.974575,-0.045491,-0.004901
928129780,-0.974873,-0.036007,0.005126
928178714,-0.984280,-0.063060,0.016033
928227653,-0.984371,-0.090507,0.016878
928276584,-0.984934,-0.089824,0.037396
928325515,-0.984413,-0.099658,0.017172
928374454,-0.975104,-0.118342,0.007615
928423386,-0.984473,-0.117956,0.017735
928472318,-0.993505,-0.099615,0.017040
928521252,-1.002231,-0.072467,0.005810
928570187,-1.020632,-0.053739,0.015234
928619127,-1.021699,-0.034073,0.055720
928668059,-1.004371,-0.042280,0.087034
928716989,-1.013452,-0.042236,0.086878
928765921,-1.003807,-0.042965,0.066502
