Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917410498,0.813922,-0.295767,-0.762739
917460362,0.795746,-0.295095,-0.732721
917560111,0.795686,-0.286900,-0.773443
917609975,0.804872,-0.286105,-0.733164
917659842,0.795706,-0.295932,-0.773186
917709705,0.804707,-0.277645,-0.762789
917759572,0.795653,-0.295262,-0.742129
917809443,0.795733,-0.304325,-0.742393
917859315,0.795648,-0.286238,-0.742511
917909182,0.795665,-0.295483,-0.752434
917959055,0.804906,-0.304597,-0.753028
918008926,0.786521,-0.285990,-0.732269
918058793,0.786583,-0.295258,-0.742581
918108661,0.786483,-0.277163,-0.742570
918158536,0.795585,-0.286421,-0.752166
918208405,0.795620,-0.286010,-0.732078
918258278,0.795701,-0.304522,-0.752311
918308145,0.804810,-0.286075,-0.732653
918358023,0.804762,-0.286266,-0.742446
918407890,0.804793,-0.286281,-0.742704
918457767,0.795680,-0.286040,-0.732589
918507641,0.804828,-0.295320,-0.742581
918557516,0.804740,-0.277447,-0.752876
918607386,0.804813,-0.295313,-0.742452
918657254,0.804826,-0.286082,-0.732781
918707125,0.804823,-0.286296,-0.742962
918756989,0.804797,-0.295305,-0.742323
918806861,0.804734,-0.286038,-0.732015
918856733,0.795751,-0.304120,-0.732342
918906596,0.804729,-0.277013,-0.732393
918956469,0.795706,-0.286481,-0.753210
919006344,0.804747,-0.286258,-0.742317
919056216,0.813925,-0.286103,-0.732590
919106083,0.813950,-0.294709,-0.711984
919155949,0.823093,-0.294964,-0.722352
919205815,0.823165,-0.312831,-0.711926
919255687,0.823126,-0.294766,-0.712423
919305552,0.814033,-0.313009,-0.722041
919355415,0.823191,-0.330672,-0.701131
919405280,0.823191,-0.330672,-0.701131
919455148,0.814153,-0.348298,-0.680592
919505016,0.841479,-0.338921,-0.660321
919554880,0.905176,-0.266457,-0.641872
919604748,0.886860,-0.248527,-0.652285
919654622,0.832085,-0.267867,-0.722534
919704488,0.704401,-0.305670,-0.823039
919754357,0.576608,-0.314422,-0.832049
919854099,0.458010,-0.323055,-0.831940
919903971,0.476144,-0.304562,-0.810973
919953842,0.603694,-0.213640,-0.763159
920003713,0.649188,-0.187099,-0.783681
920053590,0.630900,-0.178421,-0.804171
920103463,0.621775,-0.177959,-0.783746
920153339,0.631046,-0.214154,-0.783317
920203220,0.640357,-0.249942,-0.762923
920253092,0.640397,-0.267575,-0.741920
920302965,0.631224,-0.250120,-0.773044
920352835,0.631116,-0.223212,-0.783598
920402707,0.621855,-0.205280,-0.793284
920452583,0.630975,-0.196074,-0.783563
920502452,0.667510,-0.203745,-0.712062
920552326,0.786291,-0.218653,-0.539561
920602198,0.959678,-0.166672,-0.185345
920652067,0.995755,-0.026962,0.016020
920701940,0.931523,0.041978,-0.157555
920751809,0.803481,0.075429,-0.309623
920801682,0.593502,0.083151,-0.410422
920851552,0.392479,0.119231,-0.450137
920901432,0.291772,0.193633,-0.368743
920951306,0.401500,0.157489,-0.348966
921001172,0.474717,0.103600,-0.317849
921051048,0.501803,0.205504,-0.197620
921100922,0.510789,0.242900,-0.136992
921150799,0.501471,0.287916,-0.147679
921200680,0.501483,0.288134,-0.137544
921250554,0.510587,0.297145,-0.137776
921300432,0.501455,0.288118,-0.137412
921350302,0.510608,0.278825,-0.147483
921400176,0.501495,0.278658,-0.157687
921450040,0.510585,0.288083,-0.137476
921499914,0.501469,0.287703,-0.157857
921549786,0.510662,0.269796,-0.147451
921599654,0.501474,0.288129,-0.137500
921649519,0.510580,0.287656,-0.157828
921699392,0.492375,0.287760,-0.157981
921749268,0.501440,0.296535,-0.168208
921799143,0.492341,0.287951,-0.147614
921849014,0.501502,0.288145,-0.137632
921898891,0.501514,0.279515,-0.117019
921948765,0.528913,0.290593,-0.015602
921998634,0.556330,0.282502,0.035276
922048511,0.638604,0.244951,-0.015650
922098387,0.702430,0.261931,-0.057051
922148260,0.766390,0.243388,-0.067397
922198137,0.821481,0.188542,-0.087652
922248011,0.867157,0.178259,-0.138773
922297885,0.876361,0.149820,-0.199521
922347766,0.885474,0.140525,-0.209483
922397643,0.885521,0.149364,-0.220063
922447529,0.876202,0.167460,-0.219856
922497409,0.876222,0.176935,-0.199786
922547283,0.885336,0.176896,-0.199798
922597165,0.867041,0.195266,-0.189839
922647040,0.839601,0.213882,-0.169578
922696919,0.830315,0.240812,-0.179917
922746794,0.784675,0.250041,-0.179868
922796669,0.738957,0.259034,-0.189750
922846543,0.684174,0.250192,-0.189086
922896412,0.638620,0.232297,-0.188620
922946285,0.592900,0.251401,-0.147784
922996165,0.556272,0.280140,-0.076584
923046032,0.547256,0.261483,-0.106996
923095901,0.547209,0.270305,-0.117259
923145777,0.538071,0.261067,-0.127081
923195647,0.547181,0.270503,-0.106959
923245512,0.547279,0.252225,-0.117012
923345243,0.556376,0.261443,-0.107020
923395114,0.556326,0.270052,-0.127461
923444982,0.547271,0.252434,-0.106792
923494844,0.556381,0.252389,-0.106777
