Timestamp (us),X (g),Y (g),Z (g)
917419982,-0.999505,-0.213282,0.049700
917440496,-0.999505,-0.213282,0.049700
917461009,-0.999202,-0.161951,0.094711
917481521,-0.999070,-0.162432,0.048725
917502032,-0.999070,-0.162432,0.048725
917522544,-0.999070,-0.162432,0.048725
917543055,-0.998503,-0.112064,0.001764
917563565,-0.998938,-0.162913,0.002739
917584075,-0.999505,-0.213282,0.049700
917604586,-0.949225,-0.162420,0.095062
917625096,-0.999070,-0.162432,0.048725
917645609,-0.949528,-0.213750,0.050051
917666123,-0.949528,-0.213750,0.050051
917686636,-0.999202,-0.161951,0.094711
917707148,-0.898681,-0.112520,0.048451
917727664,-0.948790,-0.111570,0.094087
917748174,-0.949528,-0.213750,0.050051
917768686,-1.049614,-0.212332,0.095336
917789199,-0.999940,-0.264131,0.050675
917809710,-0.999202,-0.161951,0.094711
917830227,-1.049482,-0.212813,0.049350
917850735,-1.049614,-0.212332,0.095336
917871248,-0.949225,-0.162420,0.095062
917891762,-0.999070,-0.162432,0.048725
917912273,-0.999505,-0.213282,0.049700
917932782,-0.998938,-0.162913,0.002739
917953291,-0.999637,-0.212801,0.095686
917973801,-0.948526,-0.112532,0.002114
917994310,-0.999070,-0.162432,0.048725
918014818,-0.999070,-0.162432,0.048725
918035325,-0.948658,-0.112051,0.048100
918055833,-0.999202,-0.161951,0.094711
918076342,-0.998938,-0.162913,0.002739
918096851,-0.998767,-0.111102,0.093736
918117360,-1.049614,-0.212332,0.095336
918137873,-0.949660,-0.213269,0.096037
918158385,-0.899551,-0.214219,0.050401
918178895,-0.999505,-0.213282,0.049700
918199406,-0.999202,-0.161951,0.094711
918219917,-0.999637,-0.212801,0.095686
918240428,-0.998635,-0.111583,0.047750
918260939,-0.999070,-0.162432,0.048725
918281451,-0.998938,-0.162913,0.002739
918301964,-0.999070,-0.162432,0.048725
918322476,-0.999070,-0.162432,0.048725
918342989,-0.949528,-0.213750,0.050051
918363502,-1.049785,-0.264144,0.004339
918384012,-0.999070,-0.162432,0.048725
918404526,-0.999070,-0.162432,0.048725
918425039,-0.999769,-0.212320,0.141673
918445550,-0.999202,-0.161951,0.094711
918466063,-0.999202,-0.161951,0.094711
918486573,-0.999202,-0.161951,0.094711
918507085,-0.999070,-0.162432,0.048725
918527597,-0.999070,-0.162432,0.048725
918548109,-0.949225,-0.162420,0.095062
918568621,-0.949660,-0.213269,0.096037
918589132,-0.999505,-0.213282,0.049700
918609646,-1.049614,-0.212332,0.095336
918630157,-0.999505,-0.213282,0.049700
918650668,-0.949396,-0.214231,0.004064
918671180,-0.999505,-0.213282,0.049700
918691693,-0.999202,-0.161951,0.094711
918712205,-1.049350,-0.213294,0.003363
918732718,-0.999202,-0.161951,0.094711
918753231,-0.999637,-0.212801,0.095686
918773743,-0.999202,-0.161951,0.094711
918794258,-0.999505,-0.213282,0.049700
918814771,-0.949792,-0.212788,0.142023
918835284,-0.949660,-0.213269,0.096037
918855797,-1.049482,-0.212813,0.049350
918876308,-0.999202,-0.161951,0.094711
918896821,-1.048611,-0.111115,0.047399
918917333,-0.899248,-0.162888,0.095412
918937845,-0.999070,-0.162432,0.048725
918958356,-0.999070,-0.162432,0.048725
918978867,-0.899248,-0.162888,0.095412
918999376,-0.999070,-0.162432,0.048725
919019886,-0.999070,-0.162432,0.048725
919040397,-0.949093,-0.162901,0.049075
919060908,-0.999070,-0.162432,0.048725
919081418,-0.999070,-0.162432,0.048725
919101929,-0.998938,-0.162913,0.002739
919122442,-0.998938,-0.162913,0.002739
919142952,-1.049350,-0.213294,0.003363
919163462,-0.999676,-0.265093,-0.041297
919183974,-0.999373,-0.213763,0.003714
919204486,-0.999373,-0.213763,0.003714
919224998,-0.949528,-0.213750,0.050051
919245515,-0.999637,-0.212801,0.095686
919266020,-0.999373,-0.213763,0.003714
919286528,-1.050049,-0.263182,0.096311
919307036,-0.999202,-0.161951,0.094711
919327543,-0.998767,-0.111102,0.093736
919348051,-1.049179,-0.161483,0.094361
919368561,-0.948487,-0.060240,0.139098
919389070,-0.997857,0.042889,0.228770
919409580,-0.947235,0.197374,0.456126
919430092,-0.996302,0.351834,0.590809
919450603,-0.945758,0.401734,0.544198
919471113,-0.996473,0.300023,0.499812
919491625,-1.299248,-0.053594,0.458548
919512137,-1.453002,-0.562607,0.283303
919532648,-1.304153,-0.769815,0.058323
919553159,-1.052567,-0.621052,-0.080808
919573670,-1.000982,-0.417641,-0.038372
919594183,-0.899723,-0.266030,-0.040596
919614694,-0.849878,-0.266017,0.005740
919635206,-0.850880,-0.367235,0.053677
919655718,-0.850142,-0.265055,0.097713
919676232,-0.849403,-0.162875,0.141749
919696748,-0.899077,-0.111077,0.186409
919717261,-0.899644,-0.161445,0.233371
919737773,-0.849100,-0.111545,0.186760
919758284,-0.798952,-0.060202,0.278108
919778797,-0.747670,0.091878,0.275533
919799312,-0.796512,0.193083,0.181260
919819824,-0.796947,0.142234,0.182235
919840336,-0.747880,-0.012226,0.047552
