Timestamp (us),X (g),Y (g),Z (g)
917431431,-0.999959,0.078238,-0.116706
917451795,-0.999959,0.078238,-0.116706
917472160,-1.000176,0.026026,-0.167750
917492526,-0.948446,0.076575,-0.166363
917512889,-0.999442,0.077530,-0.168162
917533252,-0.999959,0.078238,-0.116706
917553610,-0.948963,0.077282,-0.114907
917573968,-0.896932,0.074912,-0.216019
917594332,-1.000176,0.026026,-0.167750
917614697,-1.000176,0.026026,-0.167750
917655426,-0.999442,0.077530,-0.168162
917675788,-0.948446,0.076575,-0.166363
917696151,-0.948446,0.076575,-0.166363
917716514,-0.999959,0.078238,-0.116706
917736877,-1.050438,0.078485,-0.169961
917757241,-0.948963,0.077282,-0.114907
917797969,-0.999442,0.077530,-0.168162
917818333,-0.948963,0.077282,-0.114907
917838695,-0.999442,0.077530,-0.168162
917859057,-0.999959,0.078238,-0.116706
917879418,-0.999442,0.077530,-0.168162
917899780,-0.999442,0.077530,-0.168162
917920145,-0.999442,0.077530,-0.168162
917940510,-0.948446,0.076575,-0.166363
917960876,-0.948446,0.076575,-0.166363
917981240,-0.947928,0.075867,-0.217819
918001605,-0.999959,0.078238,-0.116706
918021970,-1.000693,0.026733,-0.116294
918042336,-0.948446,0.076575,-0.166363
918062701,-0.897967,0.076327,-0.113107
918083065,-0.998708,0.129034,-0.168575
918103428,-0.999442,0.077530,-0.168162
918123792,-0.947712,0.128079,-0.166775
918144154,-0.998708,0.129034,-0.168575
918164516,-0.999959,0.078238,-0.116706
918184877,-0.948963,0.077282,-0.114907
918205241,-0.999442,0.077530,-0.168162
918225606,-0.948963,0.077282,-0.114907
918245971,-0.948446,0.076575,-0.166363
918266334,-0.948963,0.077282,-0.114907
918286696,-1.050956,0.079193,-0.118505
918307060,-0.948963,0.077282,-0.114907
918327423,-0.999442,0.077530,-0.168162
918347786,-0.948446,0.076575,-0.166363
918368152,-0.999442,0.077530,-0.168162
918388514,-0.947712,0.128079,-0.166775
918408877,-0.999959,0.078238,-0.116706
918429240,-0.999959,0.078238,-0.116706
918449602,-0.999442,0.077530,-0.168162
918469962,-0.948963,0.077282,-0.114907
918490327,-0.999442,0.077530,-0.168162
918510691,-0.999959,0.078238,-0.116706
918531054,-0.999959,0.078238,-0.116706
918551415,-1.050956,0.079193,-0.118505
918571782,-0.948229,0.128787,-0.115319
918592147,-0.948229,0.128787,-0.115319
918612510,-1.050438,0.078485,-0.169961
918632873,-0.999442,0.077530,-0.168162
