Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917418306,0.108773,0.137853,-0.424863,-0.970804,0.086488,-0.215631
917438347,-0.056986,1.268087,-0.628229,-0.971979,0.086216,-0.211369
917458389,0.671299,0.420172,-0.242178,-0.976372,0.079109,-0.214084
917478431,-1.853234,0.221833,-0.476926,-0.966924,0.075460,-0.218297
917518515,0.268889,0.756260,-0.378294,-0.978497,0.089776,-0.208369
917538557,1.080711,-1.488481,-0.367232,-0.973006,0.084430,-0.217194
917558600,0.046148,-1.244350,-0.221795,-0.967081,0.085753,-0.216272
917578642,-0.759307,0.862525,0.154750,-0.974682,0.078839,-0.217325
917598684,0.913091,1.411817,0.603458,-0.975710,0.075629,-0.215019
917618726,2.470611,-0.267943,0.660694,-0.973739,0.070329,-0.220273
917638766,3.375545,-0.977801,0.491739,-0.973555,0.068750,-0.222432
917658808,1.878098,-0.656953,0.295335,-0.972359,0.071578,-0.219535
917678850,-0.303611,-0.595547,-0.060837,-0.968145,0.079630,-0.220756
917698892,2.047524,0.923829,0.039307,-0.969877,0.097797,-0.216879
917718934,2.055279,0.969683,0.001355,-0.975587,0.090668,-0.217161
917738976,0.351611,-0.182919,-0.334266,-0.972186,0.091924,-0.212554
917759018,-0.448358,-0.595645,0.022890,-0.972075,0.090887,-0.214996
917779062,0.478504,-0.908945,0.280443,-0.973457,0.076331,-0.212979
917799103,1.903324,-0.075940,-0.365323,-0.972784,0.082689,-0.211696
917819146,0.861107,-0.221095,-0.319388,-0.975826,0.085519,-0.215720
917839187,-0.129320,-0.084397,0.312548,-0.972824,0.078854,-0.219474
917859228,0.540018,-0.435459,0.189940,-0.972227,0.075151,-0.217127
917879269,1.521317,0.083667,0.281541,-0.967462,0.085406,-0.215819
917899311,1.117769,0.961237,0.701465,-0.976612,0.075256,-0.210932
917919353,1.185279,-0.848068,0.485500,-0.979169,0.064852,-0.218843
917939395,0.836801,-0.778855,0.029516,-0.974565,0.075631,-0.212991
917959437,0.935105,-0.878296,0.196603,-0.974976,0.089359,-0.212481
917979479,1.003203,0.655740,0.777066,-0.969535,0.085628,-0.216503
917999522,0.873106,0.487507,1.004996,-0.974247,0.075846,-0.210163
918019564,2.149940,-1.428599,0.742590,-0.979871,0.079546,-0.221088
918039606,1.807765,-1.596501,0.666444,-0.970246,0.084595,-0.213768
918059648,0.113057,0.106042,0.715785,-0.968869,0.081404,-0.218611
918079688,0.857993,0.166972,0.875193,-0.974054,0.075924,-0.210707
918099730,0.386492,-0.344417,0.707290,-0.976333,0.079817,-0.215279
918119772,1.596172,-0.802184,0.432127,-0.970193,0.088067,-0.212180
918139814,0.539016,-0.733520,0.448005,-0.973372,0.089827,-0.215098
918159856,-1.217586,-0.252612,0.495353,-0.973080,0.086454,-0.215496
918179898,-0.844942,0.174820,0.632750,-0.974963,0.079019,-0.211684
918199939,0.364038,-0.458768,0.547414,-0.976862,0.083352,-0.216619
918219983,1.420711,-0.886355,0.591778,-0.970046,0.079281,-0.216689
918240025,3.118151,0.106492,0.402415,-0.973092,0.084020,-0.208078
918260067,1.734544,-0.290222,0.075483,-0.974295,0.085456,-0.205027
918280109,-0.654224,-0.710341,0.167297,-0.977006,0.092043,-0.212382
918300171,0.547150,-0.527233,0.326668,-0.971745,0.094423,-0.208574
918320191,-0.143728,0.595220,0.237635,-0.969874,0.088670,-0.213914
918340233,-0.614987,1.183031,0.314904,-0.974636,0.080911,-0.212162
918380317,-0.942095,-1.709793,-0.526234,-0.974491,0.080289,-0.210965
918400359,-1.306462,-0.511205,-0.409986,-0.972355,0.084365,-0.208159
918420401,-0.684616,-0.572942,0.197960,-0.971956,0.087862,-0.210482
918440444,1.017272,-1.390258,0.560736,-0.970412,0.082384,-0.222485
918460486,1.255554,-0.564953,-0.061605,-0.971942,0.082741,-0.212955
918500569,-2.783901,-1.466096,-0.015349,-0.974151,0.082355,-0.211992
918520611,-1.202815,-3.321118,-0.270209,-0.971172,0.086223,-0.215726
918540652,-1.804581,-4.733542,-0.371094,-0.967588,0.102670,-0.221372
918560694,-3.365698,-3.177292,0.780613,-0.976447,0.106771,-0.203941
918580736,-1.407471,-4.056527,1.903620,-0.979148,0.097431,-0.207589
918600778,2.499756,-3.988481,2.624125,-0.969217,0.088989,-0.209623
918620820,4.643490,-3.195007,3.217479,-0.971310,0.089875,-0.208404
918640862,6.862549,-3.661204,3.687032,-0.979212,0.068516,-0.216714
918660905,5.862096,-1.988340,2.983094,-0.974098,0.059599,-0.209546
918680947,6.238687,0.043476,2.233400,-0.976664,0.074930,-0.208468
918700989,7.381008,-0.039872,1.692729,-0.982662,0.080925,-0.205859
918721031,6.861956,-2.452539,1.620561,-0.977472,0.083863,-0.207437
918741073,5.887181,-4.460454,1.458047,-0.968646,0.091842,-0.212297
918761113,5.700170,-3.451741,0.676534,-0.968410,0.096104,-0.199784
918781155,7.606360,-1.312675,-0.347554,-0.969896,0.115065,-0.203386
918801197,4.907199,0.908656,0.037780,-0.978389,0.117192,-0.183639
918821239,2.112275,-1.031561,0.735663,-0.974462,0.089168,-0.181123
918841281,2.286896,-2.001023,0.551452,-0.967696,0.079272,-0.200968
918861323,7.390002,1.612254,-0.928154,-0.974875,0.085627,-0.188002
