Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917413892,0.962477,0.110644,0.492090
917463486,0.962330,0.110814,0.502588
917513071,0.953814,0.119429,0.470971
917562657,0.953127,0.101903,0.492145
917612246,0.953523,0.101596,0.471313
917661841,0.943922,0.102078,0.492027
917711440,0.953485,0.119758,0.491911
917761030,0.953292,0.101739,0.481677
917810625,0.944068,0.110994,0.491854
917860218,0.962656,0.119571,0.491972
917909805,0.944103,0.101919,0.481584
917959391,0.962694,0.101411,0.471383
918008980,0.953487,0.110671,0.481585
918058560,0.943905,0.102072,0.491999
918108146,0.953308,0.101744,0.481704
918157731,0.972041,0.119237,0.481652
918207319,0.962347,0.110819,0.502617
918256902,0.962873,0.110338,0.471263
918306484,0.962675,0.110491,0.481678
918405639,0.962184,0.101898,0.502763
918455218,0.962564,0.101586,0.481904
918504791,0.953292,0.101739,0.481677
918554364,0.953652,0.110507,0.471117
918603938,0.953292,0.101739,0.481677
918653519,0.971588,0.101570,0.492466
918703108,0.953654,0.101422,0.460797
918752689,0.971952,0.092167,0.461259
918802272,0.981118,0.110152,0.481970
918851851,0.972276,0.110010,0.460968
918901430,0.971950,0.101252,0.471580
918951007,0.972438,0.118931,0.460822
919000582,0.972621,0.109687,0.440064
919050162,0.972095,0.110168,0.471409
919099745,0.963037,0.110174,0.460798
919149325,0.953685,0.110518,0.471168
919198903,0.972457,0.109851,0.450526
919248481,0.963543,0.127858,0.450067
919298061,0.963739,0.136791,0.449966
919347634,0.982346,0.136288,0.439795
919397207,0.954645,0.145870,0.449630
919446789,0.963865,0.154787,0.460094
919496367,0.983272,0.126414,0.377291
919545947,1.000675,0.027307,0.337424
919595523,1.009487,-0.035950,0.296817
919645104,1.018442,-0.081204,0.266362
919694680,1.018100,-0.108129,0.256367
919744254,1.017271,-0.143656,0.267389
919843410,0.988469,-0.187439,0.288555
919892983,0.988107,-0.187122,0.309441
919942555,0.951529,-0.177680,0.298267
919992131,0.951185,-0.186442,0.308853
