Timestamp (us),W,X,Y,Z
917418306,-0.604037,-0.267422,-0.733059,0.162768
917438347,-0.603882,-0.267377,-0.733202,0.162773
917458389,-0.603799,-0.267415,-0.733229,0.162896
917478431,-0.603837,-0.267102,-0.733356,0.162693
917518515,-0.603726,-0.266919,-0.733536,0.162598
917538557,-0.603815,-0.267146,-0.733288,0.163010
917558600,-0.603926,-0.267288,-0.733092,0.163247
917578642,-0.603866,-0.267173,-0.733225,0.163059
917598684,-0.603685,-0.267262,-0.733355,0.163001
917618726,-0.603612,-0.267516,-0.733263,0.163270
917638766,-0.603555,-0.267896,-0.733059,0.163770
917658808,-0.603536,-0.268101,-0.732933,0.164069
917678850,-0.603631,-0.267927,-0.732938,0.163980
917698892,-0.603464,-0.268089,-0.733005,0.164033
917718934,-0.603270,-0.268292,-0.733058,0.164175
917738976,-0.603287,-0.268349,-0.733000,0.164276
917759018,-0.603395,-0.268354,-0.732915,0.164257
917779062,-0.603519,-0.268338,-0.732804,0.164320
917799103,-0.603463,-0.268428,-0.732762,0.164568
917819146,-0.603466,-0.268417,-0.732740,0.164667
917839187,-0.603494,-0.268374,-0.732752,0.164586
917859228,-0.603535,-0.268362,-0.732711,0.164637
917879269,-0.603454,-0.268623,-0.732639,0.164830
917899311,-0.603305,-0.268881,-0.732643,0.164935
917919353,-0.603356,-0.268974,-0.732522,0.165132
917939395,-0.603446,-0.268933,-0.732440,0.165235
917959437,-0.603563,-0.268969,-0.732317,0.165293
917979479,-0.603453,-0.269217,-0.732313,0.165308
917999522,-0.603394,-0.269440,-0.732273,0.165339
918019564,-0.603481,-0.269724,-0.732032,0.165627
918039606,-0.603628,-0.269963,-0.731769,0.165865
918059648,-0.603620,-0.270052,-0.731760,0.165788
918079688,-0.603631,-0.270076,-0.731760,0.165705
918099730,-0.603715,-0.270031,-0.731735,0.165588
918119772,-0.603795,-0.270137,-0.731607,0.165685
918139814,-0.603903,-0.270171,-0.731511,0.165659
918159856,-0.604022,-0.270056,-0.731511,0.165414
918179898,-0.604039,-0.270158,-0.731471,0.165360
918199939,-0.604066,-0.270376,-0.731342,0.165481
918219983,-0.604126,-0.270520,-0.731207,0.165624
918240025,-0.604025,-0.270793,-0.731126,0.165901
918260067,-0.604035,-0.270911,-0.731031,0.166089
918280109,-0.604163,-0.270945,-0.730918,0.166070
918300171,-0.604227,-0.271135,-0.730771,0.166169
918320191,-0.604162,-0.271213,-0.730810,0.166110
918340233,-0.604051,-0.271227,-0.730926,0.165978
918380317,-0.604547,-0.270688,-0.730739,0.165873
918400359,-0.604697,-0.270410,-0.730752,0.165727
918420401,-0.604858,-0.270197,-0.730747,0.165509
918440444,-0.605007,-0.270155,-0.730643,0.165492
918460486,-0.605047,-0.270115,-0.730605,0.165576
918500569,-0.605501,-0.269395,-0.730640,0.164938
918520611,-0.605976,-0.269067,-0.730375,0.164896
918540652,-0.606649,-0.268670,-0.729990,0.164776
918560694,-0.607287,-0.268341,-0.729685,0.164313
918580736,-0.607928,-0.268404,-0.729169,0.164131
918600778,-0.608368,-0.268954,-0.728540,0.164390
918620820,-0.608655,-0.269697,-0.727953,0.164713
918640862,-0.608863,-0.270640,-0.727286,0.165346
918660905,-0.608897,-0.271383,-0.726860,0.165869
918680947,-0.608661,-0.272150,-0.726661,0.166352
918700989,-0.608386,-0.272974,-0.726429,0.167020
918721031,-0.608400,-0.273820,-0.725907,0.167852
918741073,-0.608694,-0.274501,-0.725225,0.168620
918761113,-0.608901,-0.275054,-0.724669,0.169362
918781155,-0.608729,-0.275765,-0.724336,0.170244
918801197,-0.608500,-0.276274,-0.724240,0.170644
918821239,-0.608638,-0.276480,-0.723997,0.170853
918841281,-0.608794,-0.276643,-0.723731,0.171158
918861323,-0.608249,-0.277319,-0.723701,0.172123
918881365,-0.607734,-0.277601,-0.723883,0.172726
918901408,-0.607301,-0.277532,-0.724240,0.172861
918921450,-0.607309,-0.276784,-0.724637,0.172371
918941492,-0.607354,-0.275988,-0.724975,0.172065
918961533,-0.607101,-0.275097,-0.725590,0.171793
918981574,-0.607125,-0.273770,-0.726189,0.171294
