Timestamp (us),X (g),Y (g),Z (g)
917430055,-0.410231,-0.352805,0.681108
917451310,-0.462150,-0.351496,0.679662
917472566,-0.461377,-0.351845,0.631022
917493822,-0.463120,-0.401015,0.680082
917515077,-0.463120,-0.401015,0.680082
917536334,-0.461377,-0.351845,0.631022
917557593,-0.463893,-0.400665,0.728722
917578850,-0.516009,-0.449224,0.679056
917600108,-0.462150,-0.351496,0.679662
917621365,-0.410231,-0.352805,0.681108
917642622,-0.412170,-0.451842,0.681947
917663879,-0.463120,-0.401015,0.680082
917685135,-0.462150,-0.351496,0.679662
917706392,-0.411201,-0.402324,0.681528
917727648,-0.410231,-0.352805,0.681108
917748903,-0.463120,-0.401015,0.680082
917770160,-0.411201,-0.402324,0.681528
917791417,-0.411201,-0.402324,0.681528
917812673,-0.464090,-0.450533,0.680501
917833929,-0.462924,-0.351147,0.728303
917855184,-0.463120,-0.401015,0.680082
917876439,-0.410231,-0.352805,0.681108
917897694,-0.410231,-0.352805,0.681108
917918949,-0.412170,-0.451842,0.681947
917940205,-0.463120,-0.401015,0.680082
917961461,-0.514070,-0.350187,0.678217
917982723,-0.410231,-0.352805,0.681108
918003975,-0.410231,-0.352805,0.681108
918025232,-0.410231,-0.352805,0.681108
918046489,-0.462150,-0.351496,0.679662
918067745,-0.462150,-0.351496,0.679662
918089001,-0.410231,-0.352805,0.681108
918110257,-0.462150,-0.351496,0.679662
918131513,-0.463893,-0.400665,0.728722
918152768,-0.462150,-0.351496,0.679662
918174022,-0.411201,-0.402324,0.681528
918195276,-0.515039,-0.399705,0.678636
918216532,-0.411974,-0.401975,0.730168
918237787,-0.410231,-0.352805,0.681108
918259042,-0.411201,-0.402324,0.681528
918280298,-0.463120,-0.401015,0.680082
918301554,-0.514070,-0.350187,0.678217
918322808,-0.410231,-0.352805,0.681108
918344062,-0.410231,-0.352805,0.681108
918365316,-0.410427,-0.402673,0.632887
918386572,-0.409458,-0.353155,0.632468
918407828,-0.464090,-0.450533,0.680501
918429084,-0.463120,-0.401015,0.680082
918450340,-0.515039,-0.399705,0.678636
918471597,-0.410231,-0.352805,0.681108
918492853,-0.463120,-0.401015,0.680082
918514109,-0.462150,-0.351496,0.679662
918535364,-0.462150,-0.351496,0.679662
918556616,-0.410231,-0.352805,0.681108
918577871,-0.410231,-0.352805,0.681108
918599123,-0.462150,-0.351496,0.679662
918620377,-0.514070,-0.350187,0.678217
918641632,-0.358312,-0.354115,0.682554
918662886,-0.410231,-0.352805,0.681108
918684140,-0.462150,-0.351496,0.679662
918705394,-0.410231,-0.352805,0.681108
918726648,-0.356569,-0.304945,0.633494
918747902,-0.463120,-0.401015,0.680082
918769157,-0.464090,-0.450533,0.680501
918790413,-0.464090,-0.450533,0.680501
918811667,-0.462150,-0.351496,0.679662
918832922,-0.462150,-0.351496,0.679662
918854177,-0.515235,-0.449573,0.630415
918875431,-0.462150,-0.351496,0.679662
918896686,-0.411201,-0.402324,0.681528
918917941,-0.412170,-0.451842,0.681947
918939198,-0.411201,-0.402324,0.681528
918960455,-0.461377,-0.351845,0.631022
918981711,-0.461181,-0.301978,0.679243
919002965,-0.410231,-0.352805,0.681108
919024219,-0.463120,-0.401015,0.680082
919045474,-0.410231,-0.352805,0.681108
919066729,-0.410231,-0.352805,0.681108
919087983,-0.462150,-0.351496,0.679662
919109238,-0.411201,-0.402324,0.681528
919130491,-0.515039,-0.399705,0.678636
919151745,-0.410231,-0.352805,0.681108
919172999,-0.463120,-0.401015,0.680082
919194253,-0.409262,-0.303287,0.680689
919215507,-0.515039,-0.399705,0.678636
919236761,-0.515039,-0.399705,0.678636
919279271,-0.515039,-0.399705,0.678636
919300526,-0.515039,-0.399705,0.678636
919321780,-0.514070,-0.350187,0.678217
919343034,-0.463120,-0.401015,0.680082
919364287,-0.462150,-0.351496,0.679662
919385540,-0.460211,-0.252459,0.678823
919406794,-0.408292,-0.253769,0.680269
919428048,-0.461181,-0.301978,0.679243
919449302,-0.463120,-0.401015,0.680082
919470558,-0.464090,-0.450533,0.680501
919491813,-0.412170,-0.451842,0.681947
919513067,-0.358508,-0.403982,0.634333
919534321,-0.465059,-0.500051,0.680921
919555576,-0.464286,-0.500400,0.632281
919576831,-0.410427,-0.402673,0.632887
919598087,-0.463120,-0.401015,0.680082
919619342,-0.462347,-0.401364,0.631442
919640597,-0.463120,-0.401015,0.680082
919661851,-0.462347,-0.401364,0.631442
919683106,-0.463120,-0.401015,0.680082
919704360,-0.514266,-0.400055,0.629996
919725614,-0.462347,-0.401364,0.631442
919746870,-0.411201,-0.402324,0.681528
919768124,-0.516009,-0.449224,0.679056
919789377,-0.462150,-0.351496,0.679662
919810630,-0.462150,-0.351496,0.679662
919831884,-0.463120,-0.401015,0.680082
919853138,-0.410231,-0.352805,0.681108
919874393,-0.515235,-0.449573,0.630415
919895649,-0.413913,-0.501011,0.731007
919916905,-0.415852,-0.600048,0.731846
919938159,-0.466802,-0.549220,0.729980
919959416,-0.571806,-0.645988,0.679288
919980670,-0.573941,-0.794892,0.631906
920023179,-0.996855,-1.130698,0.671916
920044434,-2.054826,-2.144749,0.603169
920065688,-1.473986,-1.064509,1.339447
920086943,-0.504569,-1.681159,1.712432
920108196,0.070213,-1.747174,1.436914
920129452,0.567900,-0.723610,0.808795
920150708,0.468517,-0.573135,0.707365
920171963,0.208921,-0.566589,0.700136
920193218,-0.051448,-0.559694,0.741547
920214473,-0.258352,-0.554806,0.687123
920235728,-0.361024,-0.452802,0.732033
920256982,-0.414883,-0.550530,0.731426
920299491,-0.737063,-1.087376,0.727366
920320747,-1.150478,-0.977866,0.714960
920342002,-2.356231,-1.142337,1.169787
920363257,-3.540296,-0.717126,0.987257
920384513,-2.779342,0.248278,0.074945
920405768,-2.655351,1.035858,-0.220716
920427038,-3.263850,1.594524,-0.485881
920448280,-2.533887,1.574799,-0.660200
920469537,-2.452522,0.783030,-0.212836
920490793,1.627996,-1.536762,1.770032
920512050,-1.489881,0.019570,0.404609
920533307,-1.403657,-0.324788,1.091400
920554563,-0.825366,0.107174,1.200809
920575819,-1.101282,-1.277682,0.524362
920597076,-0.769199,0.004035,0.813972
920618333,-0.515039,-0.399705,0.678636
920639588,-0.564823,-0.249492,0.724572
920660843,-0.462150,-0.351496,0.679662
920682098,-0.460211,-0.252459,0.678823
920703353,-0.464286,-0.500400,0.632281
920724608,-0.514266,-0.400055,0.629996
920745863,-0.358508,-0.403982,0.634333
920767118,-0.463120,-0.401015,0.680082
920788374,-0.461377,-0.351845,0.631022
920809629,-0.411201,-0.402324,0.681528
920830884,-0.412170,-0.451842,0.681947
920852141,-0.463120,-0.401015,0.680082
920873395,-0.463120,-0.401015,0.680082
920894651,-0.462150,-0.351496,0.679662
920915903,-0.411201,-0.402324,0.681528
920937158,-0.462150,-0.351496,0.679662
920958414,-0.409262,-0.303287,0.680689
920979669,-0.410231,-0.352805,0.681108
921000924,-0.411201,-0.402324,0.681528
921022179,-0.363737,-0.551490,0.781512
921043433,-0.364510,-0.551140,0.830152
921064688,-0.311622,-0.502931,0.831179
921085943,-0.365676,-0.650526,0.782351
921107196,-0.731246,-0.790266,0.724849
921128452,-1.001507,-1.328422,0.722234
921149707,-1.441435,-1.656546,1.832329
921170964,0.874013,-0.529202,1.399474
921192219,0.149061,-0.811475,0.895348
921213474,0.148276,-1.010945,0.702465
921234730,-0.052429,-0.809032,0.500443
921255998,-0.093499,-0.412972,0.301081
921277241,-0.350382,-0.307739,0.244373
921298498,-0.710134,-0.150369,0.184354
921319754,-1.228357,-0.087758,0.169476
921341008,-1.744837,0.024021,0.105539
921362262,-2.052670,0.180082,0.046965
921383516,-2.211140,0.085322,0.092107
921404770,-1.371337,0.210137,-0.275140
921426027,-0.810498,-0.249231,-0.158181
921447283,-2.652234,-0.342188,1.154400
921468538,-2.393574,0.201206,1.886618
921489795,0.705998,-1.868555,0.530939
921511051,-0.663225,0.150321,0.864245
921532307,-0.772892,-0.343990,0.622347
921553564,-0.465059,-0.500051,0.680921
921574820,-0.515039,-0.399705,0.678636
921596078,-0.514266,-0.400055,0.629996
921617336,-0.463120,-0.401015,0.680082
921638595,-0.515039,-0.399705,0.678636
921659852,-0.410231,-0.352805,0.681108
921681110,-0.464090,-0.450533,0.680501
921702367,-0.516009,-0.449224,0.679056
921744883,-0.464090,-0.450533,0.680501
921766142,-0.463120,-0.401015,0.680082
921787401,-0.461377,-0.351845,0.631022
921808658,-0.515813,-0.399356,0.727276
921829917,-0.514843,-0.349838,0.726857
921851177,-0.462924,-0.351147,0.728303
921872435,-0.411201,-0.402324,0.681528
921893691,-0.463120,-0.401015,0.680082
921914946,-0.464090,-0.450533,0.680501
921936200,-0.464090,-0.450533,0.680501
921957456,-0.464090,-0.450533,0.680501
921978712,-0.462150,-0.351496,0.679662
921999969,-0.409458,-0.353155,0.632468
922021225,-0.463893,-0.400665,0.728722
922042483,-0.464863,-0.450184,0.729142
922063738,-0.462150,-0.351496,0.679662
922084994,-0.514070,-0.350187,0.678217
922106251,-0.462347,-0.401364,0.631442
922127513,-0.516009,-0.449224,0.679056
922148766,-0.516978,-0.498742,0.679475
922170023,-0.464090,-0.450533,0.680501
922191279,-0.462347,-0.401364,0.631442
922212534,-0.464090,-0.450533,0.680501
922233791,-0.463316,-0.450882,0.631861
922255047,-0.515235,-0.449573,0.630415
922276303,-0.514266,-0.400055,0.629996
922297560,-0.514266,-0.400055,0.629996
922318817,-0.515813,-0.399356,0.727276
922340073,-0.566958,-0.398396,0.677190
922361328,-0.514070,-0.350187,0.678217
922382584,-0.514070,-0.350187,0.678217
922403840,-0.461181,-0.301978,0.679243
922425096,-0.463120,-0.401015,0.680082
922446351,-0.462150,-0.351496,0.679662
922467607,-0.514070,-0.350187,0.678217
922488863,-0.462347,-0.401364,0.631442
922510119,-0.515039,-0.399705,0.678636
922531374,-0.515039,-0.399705,0.678636
922552629,-0.566958,-0.398396,0.677190
922573884,-0.515039,-0.399705,0.678636
922595140,-0.463316,-0.450882,0.631861
922616395,-0.514266,-0.400055,0.629996
922637652,-0.463316,-0.450882,0.631861
922658907,-0.411201,-0.402324,0.681528
922680165,-0.515235,-0.449573,0.630415
922701423,-0.514266,-0.400055,0.629996
922722682,-0.566958,-0.398396,0.677190
922743940,-0.515235,-0.449573,0.630415
