Timestamp (us),W,X,Y,Z
917419171,0.873539,-0.292937,0.141225,0.362515
917439206,0.873536,-0.292946,0.141237,0.362509
917459241,0.873506,-0.292981,0.141225,0.362557
917479277,0.873477,-0.293014,0.141234,0.362598
917499312,0.873462,-0.293016,0.141247,0.362628
917519347,0.873447,-0.293052,0.141242,0.362636
917539383,0.873433,-0.293079,0.141263,0.362639
917559418,0.873485,-0.293066,0.141292,0.362513
917579454,0.873556,-0.292991,0.141349,0.362382
917599488,0.873559,-0.292960,0.141343,0.362401
917619524,0.873534,-0.292941,0.141312,0.362488
917639560,0.873516,-0.292938,0.141280,0.362546
917659595,0.873530,-0.292928,0.141281,0.362522
917679630,0.873542,-0.292913,0.141277,0.362507
917699665,0.873551,-0.292918,0.141288,0.362475
917719701,0.873556,-0.292932,0.141274,0.362458
917739736,0.873557,-0.292946,0.141285,0.362440
917759772,0.873582,-0.292957,0.141283,0.362372
917779807,0.873614,-0.292945,0.141316,0.362292
917799842,0.873603,-0.293008,0.141338,0.362258
917819878,0.873597,-0.293004,0.141346,0.362271
917839913,0.873569,-0.293044,0.141344,0.362309
917859948,0.873484,-0.293058,0.141265,0.362533
917879984,0.873396,-0.293082,0.141205,0.362750
917900020,0.873325,-0.293105,0.141147,0.362924
917920055,0.873258,-0.293115,0.141098,0.363097
917940090,0.873223,-0.293097,0.141076,0.363204
917960126,0.873257,-0.293069,0.141094,0.363138
917980161,0.873302,-0.292992,0.141120,0.363081
918000196,0.873383,-0.292958,0.141185,0.362889
918020231,0.873472,-0.292914,0.141262,0.362680
918040267,0.873526,-0.292888,0.141341,0.362540
918060302,0.873503,-0.292895,0.141356,0.362584
918080338,0.873484,-0.292878,0.141366,0.362639
918100373,0.873470,-0.292866,0.141384,0.362675
918120408,0.873454,-0.292878,0.141416,0.362692
918140444,0.873421,-0.292899,0.141435,0.362746
918160479,0.873345,-0.292956,0.141361,0.362912
918180514,0.873263,-0.293008,0.141291,0.363095
918200550,0.873230,-0.293022,0.141275,0.363170
918220585,0.873212,-0.293037,0.141287,0.363195
918240621,0.873197,-0.293043,0.141295,0.363223
918260656,0.873205,-0.293054,0.141329,0.363183
918280692,0.873224,-0.293083,0.141346,0.363106
918300727,0.873250,-0.293139,0.141369,0.362990
918320762,0.873297,-0.293147,0.141388,0.362864
918340798,0.873337,-0.293121,0.141406,0.362782
918360833,0.873302,-0.293165,0.141378,0.362842
918380868,0.873295,-0.293097,0.141367,0.362917
918400904,0.873292,-0.293055,0.141356,0.362963
918420939,0.873281,-0.293044,0.141369,0.362993
918440974,0.873269,-0.293017,0.141376,0.363040
918461010,0.873222,-0.293071,0.141444,0.363083
918481045,0.873183,-0.293107,0.141564,0.363100
