Timestamp (us),Percentage (%),Power (dBm)
918071087,98.000000,-51.000000
919070353,100.000000,-49.000000
920069530,98.000000,-51.000000
921068798,100.000000,-50.000000
922070675,98.000000,-51.000000
923069964,98.000000,-51.000000
924069184,100.000000,-47.000000
925070957,88.000000,-56.000000
926070205,92.000000,-54.000000
927069463,94.000000,-53.000000
928068669,90.000000,-55.000000
929070501,96.000000,-52.000000
930069790,96.000000,-52.000000
931068951,100.000000,-39.000000
932070830,100.000000,-50.000000
933070103,98.000000,-51.000000
934069390,98.000000,-51.000000
935071159,98.000000,-51.000000
