Timestamp (us),W,X,Y,Z
917428272,0.638984,-0.251069,0.605224,0.403251
917448252,0.638928,-0.251207,0.605139,0.403380
917468232,0.638842,-0.251414,0.605003,0.403591
917488212,0.638785,-0.251546,0.604959,0.403666
917508192,0.638770,-0.251605,0.604940,0.403682
917528172,0.638712,-0.251627,0.604981,0.403698
917548151,0.638687,-0.251676,0.604990,0.403694
917568131,0.638643,-0.251665,0.605050,0.403681
917588112,0.638569,-0.251626,0.605143,0.403683
917608091,0.638484,-0.251634,0.605219,0.403697
917628071,0.638426,-0.251616,0.605314,0.403658
917648051,0.638487,-0.251385,0.605486,0.403448
917668031,0.638563,-0.251167,0.605634,0.403241
917688011,0.638661,-0.250980,0.605739,0.403043
917707991,0.638691,-0.250858,0.605861,0.402889
917727971,0.638702,-0.250795,0.605932,0.402805
917747951,0.638705,-0.250790,0.605977,0.402735
917767931,0.638738,-0.250756,0.606025,0.402632
917787910,0.638757,-0.250698,0.606122,0.402491
917807891,0.638805,-0.250589,0.606245,0.402298
917827870,0.638838,-0.250467,0.606377,0.402121
917847850,0.638764,-0.250531,0.606424,0.402130
917867830,0.638687,-0.250654,0.606434,0.402160
917887810,0.638695,-0.250632,0.606524,0.402025
917907790,0.638746,-0.250441,0.606681,0.401827
917927770,0.638756,-0.250353,0.606764,0.401739
917947750,0.638763,-0.250340,0.606809,0.401668
917967730,0.638801,-0.250242,0.606907,0.401521
917987710,0.638819,-0.250156,0.606991,0.401419
918007690,0.638811,-0.250066,0.607089,0.401338
918027670,0.638814,-0.249988,0.607188,0.401233
918047649,0.638781,-0.249971,0.607242,0.401215
918067630,0.638715,-0.249965,0.607302,0.401233
918087609,0.638696,-0.249920,0.607324,0.401258
918107589,0.638734,-0.249851,0.607360,0.401187
918127570,0.638797,-0.249739,0.607439,0.401035
918147549,0.638918,-0.249561,0.607514,0.400840
918167530,0.638969,-0.249462,0.607573,0.400732
918187509,0.639038,-0.249432,0.607591,0.400612
918207489,0.639112,-0.249348,0.607666,0.400433
918227469,0.639147,-0.249240,0.607752,0.400314
918247449,0.639174,-0.249208,0.607716,0.400344
918267429,0.639206,-0.249185,0.607701,0.400331
918287409,0.639281,-0.249084,0.607747,0.400205
918307389,0.639369,-0.248936,0.607831,0.400030
918327369,0.639386,-0.248877,0.607894,0.399943
918347349,0.639341,-0.248958,0.607871,0.399998
918367328,0.639278,-0.249083,0.607819,0.400101
918387308,0.639230,-0.249149,0.607771,0.400208
918407288,0.639188,-0.249171,0.607733,0.400320
918427268,0.639156,-0.249238,0.607672,0.400422
918447248,0.639215,-0.249168,0.607680,0.400360
918467228,0.639283,-0.249012,0.607731,0.400271
918487208,0.639339,-0.248888,0.607794,0.400163
918507188,0.639411,-0.248790,0.607872,0.399989
918527168,0.639495,-0.248659,0.608007,0.399732
918567126,0.639546,-0.248209,0.608577,0.399063
918587106,0.639455,-0.247954,0.609037,0.398665
918607086,0.639470,-0.247577,0.609523,0.398132
918627066,0.639416,-0.247158,0.610057,0.397659
918647046,0.639340,-0.246927,0.610469,0.397295
918667026,0.639288,-0.246600,0.610980,0.396794
918687006,0.639294,-0.246190,0.611558,0.396150
918706986,0.639380,-0.245735,0.612165,0.395353
918726966,0.639397,-0.245345,0.612801,0.394582
918746945,0.639324,-0.245137,0.613392,0.393912
918766925,0.639215,-0.244918,0.613978,0.393312
918786905,0.638927,-0.244882,0.614599,0.392832
918806885,0.638598,-0.244905,0.615126,0.392527
918826865,0.638181,-0.245131,0.615568,0.392372
918846845,0.637851,-0.245287,0.615966,0.392185
918866825,0.637438,-0.245438,0.616322,0.392203
918886805,0.636955,-0.245778,0.616490,0.392512
918906785,0.636382,-0.246555,0.616273,0.393294
918926765,0.636076,-0.247244,0.615971,0.393827
918946744,0.635775,-0.247628,0.615898,0.394188
918966725,0.635617,-0.247989,0.615685,0.394548
918986705,0.635364,-0.248476,0.615490,0.394953
919006685,0.635179,-0.248902,0.615412,0.395103
919026665,0.635125,-0.248976,0.615506,0.394997
919046644,0.635176,-0.248720,0.615777,0.394654
919066624,0.635244,-0.248218,0.616290,0.394059
919086604,0.635268,-0.247338,0.617260,0.393055
919106584,0.635164,-0.246181,0.618570,0.391887
919126564,0.634872,-0.244987,0.620143,0.390621
919146544,0.634418,-0.243559,0.622059,0.389203
919166524,0.633598,-0.242293,0.624231,0.387848
919186504,0.632540,-0.241197,0.626513,0.386577
919206484,0.631345,-0.240298,0.629005,0.385041
919226464,0.630202,-0.239428,0.631618,0.383172
919246444,0.629207,-0.238081,0.634434,0.380990
919266424,0.628182,-0.236493,0.637370,0.378763
919286404,0.626946,-0.234875,0.640410,0.376684
919306383,0.625589,-0.233502,0.643493,0.374533
919326364,0.624127,-0.232266,0.646720,0.372175
919346343,0.622697,-0.230813,0.650086,0.369602
919366323,0.621343,-0.229233,0.653690,0.366494
919386303,0.619565,-0.227778,0.657479,0.363623
919406283,0.617177,-0.227819,0.661079,0.361123
919426263,0.613555,-0.229866,0.664171,0.360322
919446243,0.608269,-0.234185,0.666223,0.362706
919466223,0.602524,-0.239094,0.667462,0.366793
919486203,0.597645,-0.243029,0.668733,0.369861
919506183,0.593875,-0.244646,0.670676,0.371347
919526163,0.591657,-0.243733,0.673157,0.370998
919546143,0.590303,-0.241533,0.676208,0.369039
919566123,0.588887,-0.239132,0.679522,0.366770
919586103,0.586602,-0.237613,0.682111,0.366615
919606082,0.583522,-0.237520,0.683551,0.368902
919626062,0.580239,-0.238337,0.684382,0.371997
919646042,0.576984,-0.239258,0.685191,0.374969
919666022,0.573483,-0.240174,0.686106,0.378069
919686002,0.569625,-0.241407,0.686822,0.381796
919705982,0.566042,-0.242535,0.687463,0.385240
919725962,0.562948,-0.243133,0.688289,0.387914
919745942,0.559878,-0.243042,0.689681,0.389937
919765922,0.556597,-0.242053,0.691615,0.391819
919785902,0.552939,-0.240814,0.693618,0.394213
919805882,0.548486,-0.239425,0.695549,0.397861
919825862,0.543239,-0.237911,0.697510,0.402509
919845842,0.536661,-0.235908,0.700398,0.407466
919865822,0.528568,-0.233800,0.703920,0.413149
919885802,0.518168,-0.232303,0.707680,0.420678
919905781,0.506067,-0.230092,0.712239,0.428851
919925762,0.491929,-0.226369,0.718458,0.436834
919945741,0.476166,-0.220287,0.727034,0.443175
919965721,0.456099,-0.214250,0.736791,0.451057
919985701,0.431274,-0.208933,0.747251,0.460662
920005681,0.404047,-0.202844,0.758155,0.470155
920025661,0.375472,-0.194884,0.768684,0.480010
920045641,0.349035,-0.181235,0.780825,0.485679
920065621,0.333953,-0.160597,0.800404,0.471466
920085601,0.324611,-0.143841,0.820643,0.448025
920105581,0.315539,-0.137011,0.833365,0.432908
920125560,0.310342,-0.137839,0.838825,0.425798
920145540,0.311563,-0.144777,0.835946,0.428259
920165520,0.320020,-0.154712,0.826774,0.436279
920185500,0.334698,-0.169130,0.812212,0.447133
920205480,0.355186,-0.186776,0.793502,0.457773
920225460,0.380046,-0.207118,0.770500,0.468232
920245440,0.408916,-0.228425,0.743922,0.476900
920265420,0.441074,-0.251871,0.712038,0.485036
920285399,0.477007,-0.276707,0.675302,0.490010
920305379,0.516816,-0.300014,0.637662,0.486337
920325359,0.559903,-0.318250,0.601179,0.473344
920345339,0.600096,-0.333174,0.564883,0.458292
920365320,0.641793,-0.336549,0.533245,0.436727
920385299,0.681012,-0.329300,0.508543,0.411597
920405279,0.712372,-0.316277,0.491926,0.388262
920425259,0.733987,-0.304817,0.483776,0.366816
920445239,0.740249,-0.300282,0.484019,0.357533
920465219,0.734668,-0.302084,0.490635,0.358509
920485199,0.721864,-0.303001,0.503407,0.365961
920505179,0.701785,-0.306344,0.523447,0.374028
920525159,0.700794,-0.303154,0.526901,0.373637
920545139,0.695350,-0.293052,0.544939,0.365915
920565119,0.690424,-0.280772,0.563169,0.357165
920585099,0.687377,-0.266773,0.578127,0.349797
920605079,0.679924,-0.260621,0.590506,0.348320
920625059,0.672665,-0.254759,0.602849,0.345595
920645039,0.668720,-0.251017,0.611536,0.340692
920665019,0.664014,-0.251349,0.617334,0.339193
920684998,0.657644,-0.257454,0.618040,0.345674
920704979,0.649208,-0.265470,0.617495,0.356369
920724958,0.643667,-0.266267,0.620442,0.360681
920744938,0.642986,-0.261492,0.626604,0.354685
920764918,0.642888,-0.257397,0.631711,0.348748
920784898,0.638417,-0.260278,0.633154,0.352191
920804878,0.631945,-0.264598,0.633450,0.360025
920824858,0.625342,-0.267618,0.634931,0.366652
920844838,0.619775,-0.268987,0.637869,0.369989
920864818,0.613696,-0.268927,0.642414,0.372295
920884798,0.606654,-0.268851,0.647392,0.375256
920904778,0.598056,-0.268902,0.652907,0.379443
920924758,0.588242,-0.268061,0.659306,0.384284
920944737,0.577973,-0.265869,0.666689,0.388625
920984698,0.555649,-0.257530,0.685316,0.394358
921004677,0.541780,-0.252324,0.696466,0.397474
921024657,0.524509,-0.248137,0.708033,0.402805
921044637,0.503752,-0.245687,0.719301,0.410757
921064617,0.479465,-0.245414,0.729713,0.421483
921084597,0.451827,-0.247375,0.739112,0.434299
921104577,0.421557,-0.249989,0.746608,0.450128
921124557,0.391108,-0.251924,0.751301,0.468359
921144537,0.367949,-0.247347,0.757508,0.479435
921164517,0.356145,-0.236739,0.766855,0.478845
921184497,0.348665,-0.231597,0.772626,0.477586
921204476,0.346846,-0.231785,0.774288,0.476126
