Timestamp (us),X (g),Y (g),Z (g)
917430400,-0.457958,0.338178,0.872439
917450468,-0.457958,0.338178,0.872439
917470536,-0.457958,0.338178,0.872439
917490605,-0.510418,0.288438,0.871691
917510674,-0.355339,0.286315,0.825942
917530743,-0.458083,0.287594,0.920234
917550812,-0.406711,0.286955,0.873088
917570880,-0.457477,0.338076,0.920283
917590949,-0.458689,0.237113,0.920186
917611021,-0.458689,0.237113,0.920186
917631088,-0.510418,0.288438,0.871691
917651154,-0.458564,0.287696,0.872390
917671222,-0.457477,0.338076,0.920283
917691290,-0.458083,0.287594,0.920234
917711358,-0.458564,0.287696,0.872390
917731426,-0.405624,0.337335,0.920982
917751494,-0.457477,0.338076,0.920283
917771563,-0.458083,0.287594,0.920234
917791631,-0.458564,0.287696,0.872390
917811700,-0.405624,0.337335,0.920982
917831768,-0.458689,0.237113,0.920186
917851837,-0.458083,0.287594,0.920234
917871906,-0.458564,0.287696,0.872390
917891974,-0.406836,0.236371,0.920884
917912042,-0.458083,0.287594,0.920234
917932110,-0.457958,0.338178,0.872439
917952178,-0.456995,0.337974,0.968128
917992316,-0.459171,0.237215,0.872341
918012386,-0.458564,0.287696,0.872390
918032454,-0.510899,0.288539,0.823846
918052523,-0.458564,0.287696,0.872390
918072593,-0.510543,0.237854,0.919487
918092662,-0.458564,0.287696,0.872390
918112730,-0.510418,0.288438,0.871691
918132799,-0.459171,0.237215,0.872341
918152868,-0.458564,0.287696,0.872390
918172937,-0.406711,0.286955,0.873088
918193005,-0.459171,0.237215,0.872341
918213073,-0.511024,0.237956,0.871642
918233141,-0.458564,0.287696,0.872390
918253210,-0.457958,0.338178,0.872439
918273278,-0.457477,0.338076,0.920283
918293347,-0.407924,0.185991,0.872991
918313416,-0.459296,0.186631,0.920137
918333484,-0.406711,0.286955,0.873088
918353553,-0.458564,0.287696,0.872390
918373621,-0.405624,0.337335,0.920982
918393690,-0.406711,0.286955,0.873088
918413759,-0.510418,0.288438,0.871691
918433827,-0.405624,0.337335,0.920982
918453896,-0.458564,0.287696,0.872390
918473974,-0.458083,0.287594,0.920234
918494032,-0.459046,0.287798,0.824545
918514099,-0.458083,0.287594,0.920234
918534165,-0.406105,0.337436,0.873137
918554233,-0.458083,0.287594,0.920234
918574301,-0.458208,0.237011,0.968030
918594369,-0.458564,0.287696,0.872390
918614436,-0.458564,0.287696,0.872390
918634505,-0.457352,0.388660,0.872487
918654574,-0.457958,0.338178,0.872439
918674642,-0.458440,0.338280,0.824594
918694710,-0.457958,0.338178,0.872439
918714778,-0.458564,0.287696,0.872390
918734847,-0.407674,0.287158,0.777399
918754914,-0.406711,0.286955,0.873088
918774980,-0.406836,0.236371,0.920884
918795049,-0.458689,0.237113,0.920186
918815116,-0.511024,0.237956,0.871642
918835185,-0.458083,0.287594,0.920234
918855255,-0.406711,0.286955,0.873088
918875325,-0.458564,0.287696,0.872390
918895394,-0.405017,0.387816,0.921031
918915462,-0.510899,0.288539,0.823846
918935529,-0.405624,0.337335,0.920982
918955598,-0.407193,0.287057,0.825244
918975665,-0.458083,0.287594,0.920234
918995733,-0.406711,0.286955,0.873088
919015802,-0.510418,0.288438,0.871691
919035871,-0.458564,0.287696,0.872390
919055940,-0.510293,0.339021,0.823895
919076010,-0.457958,0.338178,0.872439
919116147,-0.509811,0.338919,0.871740
919136216,-0.405624,0.337335,0.920982
919156284,-0.458564,0.287696,0.872390
919176352,-0.458921,0.338381,0.776749
919196420,-0.458564,0.287696,0.872390
919216488,-0.459171,0.237215,0.872341
919236557,-0.457958,0.338178,0.872439
919256627,-0.458440,0.338280,0.824594
919276695,-0.406105,0.337436,0.873137
919296764,-0.457958,0.338178,0.872439
919316830,-0.457958,0.338178,0.872439
919336898,-0.457958,0.338178,0.872439
919356965,-0.457958,0.338178,0.872439
919377033,-0.457958,0.338178,0.872439
919397100,-0.509330,0.338818,0.919585
919417167,-0.456995,0.337974,0.968128
919437236,-0.405017,0.387816,0.921031
919457304,-0.353164,0.387075,0.921730
919477374,-0.350382,0.538316,1.017566
919497443,-0.294910,0.638030,1.257587
919517510,0.124267,0.833618,1.454751
919537577,0.437811,1.031096,1.459140
919557645,0.899890,0.721736,1.369446
919577713,1.002259,0.568706,1.418541
919597780,0.845362,0.419384,1.464143
919617848,0.586221,0.473674,1.412853
919637916,0.326473,0.477483,1.361515
919657984,-0.346531,0.537502,1.400325
919678052,-0.506548,0.490059,1.015421
919698120,-0.612787,0.441467,0.822595
919718188,-0.716975,0.443052,0.773353
919738256,-1.135438,0.146094,0.767470
919778391,-1.556183,-0.099773,0.474566
919818528,-1.246740,-0.002647,0.191788
919838597,-1.195850,-0.003185,0.096797
919858665,-1.247578,0.048140,0.048302
919878733,-1.306671,-0.152028,-0.431040
919898801,0.018849,0.531803,1.644440
919918870,-2.214460,0.463231,1.375072
919938938,-0.560345,0.288772,1.062371
919959006,-1.027773,-0.008056,1.342858
919979073,-0.557064,0.642348,0.967024
919999142,-0.614124,0.289921,0.870293
920019209,-0.562877,0.238697,0.870943
920039277,-0.512236,0.136993,0.871544
920059344,-0.512236,0.136993,0.871544
920079411,-0.509330,0.338818,0.919585
920099479,-0.509687,0.389503,0.823944
920119546,-0.509687,0.389503,0.823944
920139615,-0.456746,0.439141,0.872536
920159683,-0.458440,0.338280,0.824594
920179751,-0.457833,0.388761,0.824643
920199818,-0.509687,0.389503,0.823944
920219886,-0.456746,0.439141,0.872536
920239954,-0.457227,0.439243,0.824692
920260021,-0.456746,0.439141,0.872536
920280089,-0.509080,0.439985,0.823993
920300156,-0.405374,0.438502,0.825390
920320221,-0.457352,0.388660,0.872487
920340287,-0.510418,0.288438,0.871691
920380421,-0.405980,0.388020,0.825341
920400490,-0.510418,0.288438,0.871691
920420558,-0.562271,0.289179,0.870992
920440627,-0.405624,0.337335,0.920982
920460696,-0.405267,0.286649,1.016623
920480764,-0.404661,0.337131,1.016672
920500834,-0.402610,0.387307,1.160255
920520903,-0.454214,0.489216,1.063965
920540972,-0.453732,0.489114,1.111809
920561041,-0.557795,0.541282,1.014771
920581110,-0.658470,0.795174,1.013618
920601178,-1.064007,1.052191,1.630255
920621246,-2.707494,1.629282,2.517484
920641316,-0.134715,-0.023103,2.503012
920661386,0.492660,0.877891,1.938140
920681455,0.124873,0.884099,1.454800
920701524,0.483388,0.829242,1.076885
920721593,0.167793,0.581587,0.928913
920741662,-0.041795,0.483793,0.830331
920761732,-0.249939,0.385694,0.875282
920781800,-0.508973,0.288132,1.015225
920801869,-0.868808,0.393879,1.201811
920821938,-0.918842,0.546065,1.201259
920842006,-1.127343,0.498651,1.150570
920862074,-1.333543,0.602580,1.147873
920882142,-1.851344,0.711060,1.093138
920902209,-2.526400,0.720903,0.988365
920922277,-2.953047,0.425674,0.169120
920942346,-3.082126,-0.680896,-1.029474
920982484,-2.775269,-1.241152,-0.786595
921002552,-2.085700,-0.444305,-0.202591
921022620,1.162651,0.767900,1.660057
921042687,-2.575078,1.227072,0.701086
921062756,-1.581202,1.211152,1.575569
921082823,-0.356213,-0.067769,1.160514
921102890,-1.083478,-0.006500,0.959401
921122957,-0.511024,0.237956,0.871642
921143022,-0.719774,0.089375,0.916545
921163091,-0.510667,0.187271,0.967283
921183158,-0.509811,0.338919,0.871740
921203225,-0.562146,0.339763,0.823196
921223293,-0.509687,0.389503,0.823944
921243360,-0.458440,0.338280,0.824594
921263428,-0.406711,0.286955,0.873088
921283496,-0.561665,0.339661,0.871041
921303565,-0.457833,0.388761,0.824643
921323633,-0.509936,0.288336,0.919536
921343701,-0.458083,0.287594,0.920234
921363770,-0.457958,0.338178,0.872439
921383837,-0.406105,0.337436,0.873137
921403906,-0.458564,0.287696,0.872390
921423974,-0.511505,0.238058,0.823797
921444042,-0.457958,0.338178,0.872439
921464110,-0.406586,0.337538,0.825293
921484177,-0.457833,0.388761,0.824643
921504244,-0.457352,0.388660,0.872487
921524311,-0.509330,0.338818,0.919585
921544377,-0.457352,0.388660,0.872487
921564445,-0.457958,0.338178,0.872439
921584513,-0.407193,0.287057,0.825244
921604580,-0.406105,0.337436,0.873137
921624647,-0.406105,0.337436,0.873137
921644713,-0.406105,0.337436,0.873137
921664780,-0.406711,0.286955,0.873088
921684846,-0.459171,0.237215,0.872341
921704914,-0.457958,0.338178,0.872439
921724982,-0.510899,0.288539,0.823846
921745049,-0.510418,0.288438,0.871691
921765117,-0.459046,0.287798,0.824545
921805251,-0.457958,0.338178,0.872439
921825318,-0.405624,0.337335,0.920982
921845385,-0.405142,0.337233,0.968827
921865453,-0.405624,0.337335,0.920982
921885521,-0.403092,0.387409,1.112410
921905594,-0.454945,0.388151,1.111711
921925657,-0.658239,0.693905,1.157055
921945724,-1.954659,1.066729,0.709325
921965792,-4.063238,1.903207,1.446975
921985859,-2.535493,-0.036323,0.987631
922005926,-1.492241,0.504248,0.954300
922025995,-2.427543,0.315566,0.989371
922046064,-0.869378,0.748268,0.723705
922066131,-1.078485,0.650373,0.672968
922086200,-0.820913,0.545804,0.628519
922106269,-0.719025,0.392876,0.629770
922126338,-0.668866,0.291273,0.582526
922146407,-0.566372,0.188826,0.583826
922166475,-0.414681,-0.015019,0.442192
922186544,-0.413719,-0.015223,0.537881
922206612,0.048753,0.029603,0.065771
922226679,-0.159623,0.032773,-0.032714
922246747,-0.107770,0.032031,-0.032015
922266813,-0.160586,0.032976,-0.128403
922286880,-0.110427,-0.068627,-0.175647
922306947,-0.060874,-0.220711,-0.222940
922327014,-0.008664,-0.272138,-0.126600
922347081,-0.058716,-0.322387,0.111876
922367149,-0.109838,-0.220581,0.063430
922387217,-0.316895,-0.268300,0.156276
922407286,-0.369105,-0.216873,0.059936
922427355,-0.469423,-0.013667,0.154424
922447423,-0.673092,0.140337,0.343155
922467491,-0.670916,0.241096,0.438942
922487559,-0.829258,0.092079,0.341010
922507627,-0.880148,0.092617,0.436001
922547762,-0.723857,0.191458,0.390350
922567830,-0.776192,0.192301,0.341806
922587898,-0.674661,0.090058,0.247417
922607965,-0.572167,-0.012388,0.248716
922628033,-0.416964,0.036073,0.155172
922648099,-0.362329,0.186573,0.251707
922668167,-0.361241,0.236953,0.299601
922688236,-0.311813,0.034285,0.300104
922708302,-0.313025,-0.066679,0.300006
922728370,-0.413594,0.035361,0.490085
922748439,-0.307819,0.286490,0.396038
922768510,-0.255003,0.285545,0.492426
922788576,-0.253559,0.285239,0.635961
922808643,-0.253327,0.183971,0.779397
922828711,-0.615586,0.087790,0.965787
922848779,-0.770433,-0.011356,1.154973
922868847,-0.866882,0.393472,1.393190
922888915,-0.918611,0.444797,1.344696
922908983,-1.384077,0.552433,1.338505
922929050,-1.592203,0.656769,1.144428
922949118,-1.446771,0.454247,0.380812
922969193,-1.862810,0.359215,0.375124
922989261,-4.477904,0.998127,2.540935
923009330,2.485800,3.223578,1.392853
923029397,-1.654969,-0.251160,1.142849
923049465,0.110965,0.127892,0.975619
923069533,-0.514661,-0.064934,0.871349
923089601,-0.562146,0.339763,0.823196
923109668,-0.510418,0.288438,0.871691
923129736,-0.562021,0.390346,0.775400
923149803,-0.562021,0.390346,0.775400
923169871,-0.457958,0.338178,0.872439
923189938,-0.510899,0.288539,0.823846
923210006,-0.353770,0.336593,0.921681
923230074,-0.457352,0.388660,0.872487
923250141,-0.457958,0.338178,0.872439
923270209,-0.561789,0.289077,0.918837
923290277,-0.509811,0.338919,0.871740
923310344,-0.509811,0.338919,0.871740
923350479,-0.458440,0.338280,0.824594
923370547,-0.458564,0.287696,0.872390
923390614,-0.510418,0.288438,0.871691
923410683,-0.459046,0.287798,0.824545
923430751,-0.457352,0.388660,0.872487
923450820,-0.405499,0.387918,0.873186
923470888,-0.457833,0.388761,0.824643
923490957,-0.561665,0.339661,0.871041
923511025,-0.511024,0.237956,0.871642
923531094,-0.457352,0.388660,0.872487
923551162,-0.510168,0.389605,0.776099
923571230,-0.456870,0.388558,0.920332
923591298,-0.509811,0.338919,0.871740
923611366,-0.509811,0.338919,0.871740
923631434,-0.562146,0.339763,0.823196
923651502,-0.457958,0.338178,0.872439
923671570,-0.457833,0.388761,0.824643
923691639,-0.406711,0.286955,0.873088
923711706,-0.458564,0.287696,0.872390
923731773,-0.459171,0.237215,0.872341
923751840,-0.511024,0.237956,0.871642
923771907,-0.458440,0.338280,0.824594
923791974,-0.509205,0.389401,0.871789
923812040,-0.509811,0.338919,0.871740
923852175,-0.510293,0.339021,0.823895
923872243,-0.561183,0.339559,0.918886
923892310,-0.509811,0.338919,0.871740
923912378,-0.458083,0.287594,0.920234
923932446,-0.458440,0.338280,0.824594
923952515,-0.457833,0.388761,0.824643
923972583,-0.509205,0.389401,0.871789
923992652,-0.509687,0.389503,0.823944
924012720,-0.406105,0.337436,0.873137
924032788,-0.457958,0.338178,0.872439
924052858,-0.457352,0.388660,0.872487
924072929,-0.457352,0.388660,0.872487
924092995,-0.457352,0.388660,0.872487
924113064,-0.510293,0.339021,0.823895
