Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917410905,0.042536,-0.125823,-0.067708,-0.461788,0.201853,0.868976
917430917,0.044167,-0.021327,0.078265,-0.462766,0.204242,0.865623
917450926,-0.186617,-0.014570,-0.015588,-0.463243,0.202704,0.864894
917470936,-0.085221,-0.143435,0.003132,-0.462870,0.203150,0.866166
917490946,-0.353920,-0.167018,-0.105472,-0.461915,0.206042,0.868170
917510956,0.063144,-0.120215,0.129611,-0.459377,0.205366,0.868797
917530985,0.028050,0.049475,0.011155,-0.462129,0.204416,0.864986
917550973,-0.127691,-0.167864,0.117393,-0.459918,0.206842,0.864077
917570983,-0.230160,-0.278582,-0.133002,-0.461835,0.205774,0.865897
917590993,-0.246116,-0.329970,-0.216674,-0.459007,0.206183,0.867253
917611002,-0.232341,-0.190828,-0.259804,-0.458891,0.201360,0.867240
917631011,-0.027711,-0.027737,-0.268502,-0.459154,0.202644,0.864791
917651021,0.043777,0.008286,-0.101860,-0.462583,0.203778,0.867803
917671031,0.134851,0.047516,-0.102860,-0.462122,0.204502,0.866894
917691040,0.068997,0.126819,0.105063,-0.458400,0.204266,0.866428
917711050,0.133804,0.039955,-0.133377,-0.461057,0.202299,0.868339
917731061,0.357240,-0.141438,-0.087565,-0.460996,0.207307,0.866080
917751071,0.090650,-0.273665,-0.098855,-0.459425,0.209287,0.865717
917771080,-0.189646,-0.142641,-0.310799,-0.460335,0.202569,0.865430
917791090,-0.240662,-0.053736,-0.170744,-0.462234,0.203233,0.865710
917811100,-0.295386,-0.037507,-0.260139,-0.462130,0.204325,0.865077
917831135,-0.279512,0.083900,-0.204600,-0.460576,0.204386,0.867526
917851118,-0.305801,0.072499,-0.021482,-0.459659,0.205378,0.865799
917871127,-0.481082,-0.004882,-0.087384,-0.462090,0.207051,0.866083
917891137,-0.439446,-0.323499,-0.153667,-0.459010,0.199361,0.866963
917911146,-0.083308,-0.126829,-0.218556,-0.461034,0.203844,0.868888
917931156,-0.079754,-0.068950,-0.019680,-0.460074,0.201654,0.865791
917951166,0.208033,0.019515,-0.085191,-0.462216,0.204506,0.865895
917991185,-0.082333,-0.044621,-0.102388,-0.460481,0.204933,0.866618
918011195,-0.074501,-0.044472,-0.102265,-0.458871,0.202723,0.867698
918031206,0.132975,0.002149,-0.014661,-0.462893,0.201238,0.867161
918051215,0.093422,0.108252,0.003132,-0.459511,0.203012,0.865338
918071225,0.065408,-0.098655,0.023254,-0.460233,0.203294,0.865704
918091235,0.147884,-0.005711,0.007592,-0.460316,0.204393,0.863708
918111244,-0.015203,0.221486,-0.000482,-0.460412,0.203386,0.866432
918131254,0.095972,0.293775,0.264092,-0.461442,0.201679,0.864068
918151262,0.277915,0.272977,0.221184,-0.464271,0.206715,0.867633
918171272,0.044346,0.009835,0.244276,-0.460771,0.203480,0.867251
918191282,-0.144944,0.103692,-0.009000,-0.457455,0.206522,0.868067
918211291,-0.169164,-0.023515,-0.177517,-0.459139,0.203459,0.866156
918231301,-0.305687,0.042682,-0.119873,-0.462252,0.201684,0.866615
918251311,0.159701,0.297657,-0.011670,-0.460123,0.204657,0.865889
918271320,0.141182,0.760107,0.094762,-0.461771,0.204047,0.864802
918291330,0.113734,0.535788,0.137155,-0.461022,0.204846,0.868164
918311340,-0.054314,0.245168,-0.000848,-0.459269,0.207006,0.867165
918331350,-0.158847,-0.037910,-0.056107,-0.460492,0.204575,0.864527
918351360,0.035807,-0.061574,0.121740,-0.461688,0.202949,0.866980
918371370,0.138775,-0.056245,0.324344,-0.461701,0.202132,0.866342
918391380,0.197831,-0.031286,0.254257,-0.461846,0.205139,0.865260
918411389,0.029100,-0.282041,0.093804,-0.458183,0.206810,0.866616
918431399,-0.079351,-0.228088,0.036079,-0.461013,0.206035,0.865895
918451407,-0.011624,-0.036835,0.083059,-0.459620,0.201188,0.867514
918471417,0.037015,0.353456,0.042305,-0.460225,0.203472,0.867431
918491426,0.134413,0.453558,0.011237,-0.459295,0.205924,0.863709
918511436,0.195448,3.290082,-1.989586,-0.458819,0.206911,0.866164
918531446,0.291184,4.768641,-1.367622,-0.468258,0.201504,0.865178
918551455,0.499014,5.156363,-0.278966,-0.459251,0.209107,0.863808
918571465,0.199577,8.465511,0.243072,-0.462153,0.202228,0.866889
918591475,0.933397,7.098253,0.730398,-0.473559,0.206684,0.862481
918611484,1.153583,3.859518,0.492423,-0.470494,0.204727,0.862922
918631495,0.637277,1.658250,-0.154378,-0.475111,0.206989,0.859125
918651505,0.728580,0.835161,-0.617744,-0.475466,0.200623,0.860473
918671515,0.854906,0.507557,-0.579982,-0.472634,0.201673,0.860285
918691524,1.255681,0.327139,-0.484982,-0.468887,0.203164,0.860369
918711534,1.005592,-0.455837,-0.415890,-0.475313,0.205446,0.859122
918731543,0.826551,-1.195350,-0.598492,-0.473350,0.209788,0.857582
918751552,0.176350,-2.108608,-0.758517,-0.473634,0.208973,0.857581
918771562,-0.283348,-2.096634,-0.436809,-0.471131,0.205658,0.858655
918791571,-0.156512,-2.446799,0.011073,-0.468327,0.210612,0.861658
918811580,-0.374848,-2.815126,-0.028034,-0.471131,0.211654,0.861578
918831590,-1.030769,-3.352616,-0.280860,-0.468192,0.207153,0.861649
918851600,-1.564288,-3.223950,-0.556265,-0.471422,0.202825,0.864919
918871610,-1.097763,-2.667264,-0.215460,-0.467716,0.201499,0.864268
918891620,-0.336591,-2.043888,-0.001549,-0.462588,0.204702,0.862535
918911629,-0.234844,-2.249226,0.015852,-0.461220,0.211135,0.864910
918931640,-0.832379,-1.989436,0.055543,-0.465539,0.207926,0.863915
918951650,-1.305960,-0.868830,-0.137169,-0.458654,0.206647,0.862074
918971659,-1.253492,1.467396,-0.504522,-0.461503,0.196579,0.866691
918991669,-1.216249,5.012967,-0.609323,-0.465335,0.195452,0.866881
919011679,-0.724410,7.019912,0.643081,-0.469403,0.204159,0.865189
919031688,0.823446,6.479605,0.236547,-0.476393,0.198997,0.861471
919051696,3.806950,10.346696,0.248469,-0.486090,0.188505,0.858202
919071706,9.172986,14.459119,0.007925,-0.487092,0.188338,0.858386
919111726,11.561891,6.604172,-0.348970,-0.480906,0.216367,0.854350
919131735,9.064254,3.773735,0.055443,-0.484618,0.231715,0.850675
919151745,6.644670,1.614004,-0.276249,-0.484472,0.229996,0.846490
919171754,5.870115,1.079515,-0.344048,-0.490092,0.217246,0.848837
919191764,6.132075,0.475829,-0.153892,-0.488873,0.219680,0.850111
919211774,5.678347,-0.258798,0.072356,-0.483005,0.216865,0.849724
919231785,6.353599,-0.352562,0.193238,-0.487784,0.211921,0.854177
919251794,9.512369,-0.434723,0.815980,-0.495857,0.214052,0.850300
919271804,9.745918,-0.670069,1.316588,-0.474335,0.232839,0.849648
919291814,8.332973,-0.867147,1.191753,-0.480747,0.237134,0.844044
919311824,6.684889,-0.992666,1.187105,-0.482889,0.240813,0.840970
919331833,6.171105,-1.216361,0.556075,-0.479751,0.236570,0.845221
919351861,6.865246,-1.161950,0.944933,-0.489329,0.240161,0.847984
919371851,7.776306,0.381451,1.907420,-0.501105,0.209311,0.849485
919391861,10.425221,1.418925,3.227599,-0.473675,0.268680,0.846648
919411870,13.322591,2.749818,4.524252,-0.497280,0.228339,0.856337
919431880,20.972755,6.725832,7.828156,-0.483500,0.235002,0.873759
919451890,21.770523,15.125575,6.635375,-0.401214,0.299967,0.890218
919471899,14.053543,29.259331,-8.522692,-0.370464,0.351332,0.936416
919491909,-7.015801,49.882206,-50.126335,-0.405663,0.503668,1.077746
919511919,-0.830733,59.832443,-103.716835,-0.319834,0.750076,1.260390
