Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917422573,-0.413327,-0.107072,-0.084679,-0.979279,-0.175353,0.117578
917442577,-0.658610,-0.123779,-0.125808,-0.981537,-0.172859,0.114516
917462582,-1.193543,0.042119,-0.040412,-0.978378,-0.179548,0.111921
917482587,-0.455013,0.044749,-0.304801,-0.975110,-0.181278,0.112599
917502593,-0.287281,0.282750,-0.285579,-0.981627,-0.171532,0.117497
917522597,-0.583714,0.274198,-0.143286,-0.982268,-0.172450,0.116695
917542602,-0.692657,0.204162,-0.300842,-0.973076,-0.175090,0.114298
917562610,-0.411275,0.113190,-0.450239,-0.980600,-0.168625,0.113246
917582611,-0.443840,0.449262,-0.511249,-0.979446,-0.174349,0.113090
917602616,0.366126,0.629155,-0.533993,-0.977310,-0.184081,0.112379
917622619,1.444454,0.381873,-0.621482,-0.981786,-0.186898,0.110699
917642623,1.500916,0.321832,-0.417048,-0.981591,-0.186162,0.106582
917662628,1.327426,0.061431,-0.299231,-0.977848,-0.184926,0.105923
917702637,1.187277,-0.381677,-0.021907,-0.978384,-0.179972,0.113480
917722642,0.939233,-0.154282,-0.208029,-0.979506,-0.167314,0.115773
917742646,0.409428,0.041469,-0.305304,-0.975842,-0.162284,0.119048
917762651,0.303401,-0.027632,-0.242382,-0.979626,-0.171995,0.117600
917782657,0.326339,0.003104,-0.235265,-0.978509,-0.185657,0.114963
917802662,0.551817,0.071879,-0.520892,-0.977556,-0.177963,0.114443
917822666,0.042054,0.031897,-0.321415,-0.978532,-0.172390,0.116242
917842671,-0.410554,0.021552,-0.419625,-0.977930,-0.180243,0.113668
917862676,0.171594,-0.120724,-0.399470,-0.979569,-0.181292,0.110496
917882679,0.202622,0.101587,-0.309285,-0.977027,-0.181990,0.112702
917902683,0.272741,-0.066085,-0.256946,-0.978872,-0.185861,0.113690
917922688,0.433655,-0.095810,-0.244596,-0.974970,-0.188504,0.114205
917942693,0.673901,-0.193142,-0.035814,-0.978835,-0.179912,0.111746
917962697,0.473172,0.057907,-0.108781,-0.977985,-0.173059,0.114616
917982702,0.297273,-0.088429,-0.143272,-0.975180,-0.175569,0.117041
918002707,0.595482,-0.041028,-0.141199,-0.980216,-0.182156,0.112519
918022711,0.519855,-0.025824,-0.071417,-0.978029,-0.182075,0.112702
918042717,0.267726,0.103149,-0.013893,-0.977006,-0.177807,0.113255
918062722,-0.007233,0.025338,-0.001111,-0.978927,-0.179245,0.113373
918082726,0.117469,-0.095798,0.141385,-0.978406,-0.184432,0.112659
918102731,0.614734,-0.223423,0.109818,-0.979673,-0.181930,0.115068
918122736,0.037279,-0.447123,0.348967,-0.978008,-0.175800,0.118318
918142748,-0.558738,-0.541796,0.375231,-0.978809,-0.173211,0.115894
918162744,-0.951441,-0.299605,0.244939,-0.977705,-0.173317,0.110701
918182748,-0.564995,-0.015550,0.039544,-0.979751,-0.180626,0.112032
918202753,0.918608,0.076023,0.027564,-0.978681,-0.184793,0.112666
918222757,1.784690,-0.225308,0.073337,-0.976396,-0.182125,0.115349
918242762,1.305672,-0.686160,0.174353,-0.981739,-0.174480,0.119837
918262767,0.390290,-1.111042,0.260408,-0.975092,-0.175633,0.118501
918282771,-0.117495,-0.678142,0.154588,-0.974439,-0.173684,0.116274
918302776,0.208742,-0.095502,0.101701,-0.975545,-0.175562,0.117314
918322782,0.300789,0.058160,0.160514,-0.979108,-0.177349,0.117619
918342786,0.165147,0.142336,0.337695,-0.978302,-0.181413,0.114056
918362791,-0.243524,0.345957,0.146944,-0.979051,-0.184549,0.115851
918382796,-0.694304,0.504626,0.230827,-0.981346,-0.170745,0.116023
918402800,-0.887245,0.686855,0.150270,-0.978533,-0.172664,0.116157
918422804,-0.648733,0.451162,0.192097,-0.974480,-0.181401,0.115884
918442808,0.012455,-0.340658,0.235107,-0.980165,-0.187587,0.117918
918462813,-0.166882,-0.684734,0.467290,-0.976458,-0.176397,0.116053
918482817,-1.450974,-0.706201,0.543924,-0.981441,-0.170235,0.118930
918502822,-2.135709,-5.358404,0.772292,-0.982636,-0.182329,0.136041
918522827,-2.381392,-4.188583,1.009840,-0.974041,-0.171338,0.106198
918542831,-2.598221,-2.432082,0.690390,-0.980137,-0.145941,0.123360
918562836,-3.885329,-3.120575,0.365553,-0.978731,-0.152705,0.130611
918582842,-2.374684,-1.399293,0.509068,-0.974524,-0.156313,0.113914
918602846,-2.384922,0.677398,-0.301562,-0.978407,-0.167561,0.112680
918622851,-1.454849,1.189202,-1.566797,-0.980841,-0.181502,0.108584
