Timestamp (us),Percentage (%),Power (dBm)
917825125,76.000000,-62.000000
918825619,90.000000,-55.000000
919826273,92.000000,-54.000000
920825502,100.000000,-48.000000
921824608,100.000000,-48.000000
922825184,100.000000,-47.000000
923825687,96.000000,-52.000000
924826273,96.000000,-52.000000
925826800,100.000000,-49.000000
926824716,94.000000,-53.000000
927825327,94.000000,-53.000000
928825812,100.000000,-38.000000
929826343,100.000000,-39.000000
930826865,100.000000,-39.000000
931824758,100.000000,-49.000000
932825413,100.000000,-49.000000
933824879,96.000000,-52.000000
934826402,98.000000,-51.000000
935826908,98.000000,-51.000000
