Timestamp (us),Percentage (%),Voltage (V),Charging Status
917537789,100.000000,4.063993,0.000000
918538318,100.000000,4.063993,0.000000
919538846,100.000000,4.063912,0.000000
920539377,100.000000,4.063872,0.000000
921539908,100.000000,4.063851,0.000000
922540441,100.000000,4.063851,0.000000
923540972,100.000000,4.063771,0.000000
924541503,100.000000,4.063750,0.000000
925542033,100.000000,4.063690,0.000000
926542565,100.000000,4.063651,0.000000
927543097,100.000000,4.063651,0.000000
928543629,100.000000,4.063550,0.000000
929544160,100.000000,4.063449,0.000000
930544704,100.000000,4.063388,0.000000
931545235,100.000000,4.063489,0.000000
932545766,100.000000,4.063328,0.000000
933546298,100.000000,4.063308,0.000000
934546830,100.000000,4.063187,0.000000
935547361,100.000000,4.063127,0.000000
