Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917437796,0.698598,0.173327,-0.789178
917487757,0.689225,0.173622,-0.778672
917537720,0.698107,0.173433,-0.768404
917587679,0.698367,0.164179,-0.789052
917637642,0.688761,0.164538,-0.768364
917687605,0.688753,0.164531,-0.768229
917737570,0.688975,0.173671,-0.768220
917787537,0.688761,0.164538,-0.768364
917837507,0.689012,0.155277,-0.788872
917887469,0.698625,0.164136,-0.799645
917937437,0.697859,0.164270,-0.768008
917987406,0.698321,0.182566,-0.768260
918037375,0.698589,0.173319,-0.789041
918087348,0.698126,0.164235,-0.778734
918137324,0.689260,0.164439,-0.789273
918187290,0.698117,0.164228,-0.778598
918237256,0.706726,0.154854,-0.767527
918287215,0.707464,0.173123,-0.778639
918337180,0.689011,0.164489,-0.778818
918387143,0.698598,0.173327,-0.789178
918437105,0.689002,0.164482,-0.778682
918487072,0.698340,0.173369,-0.778588
918537044,0.707464,0.173123,-0.778639
918587017,0.707455,0.173115,-0.778503
918636990,0.706993,0.154819,-0.778251
918686966,0.706735,0.154861,-0.767662
918736938,0.698348,0.173376,-0.778723
918786915,0.688984,0.173679,-0.768355
918836896,0.698099,0.173426,-0.768269
918886876,0.698321,0.182566,-0.768260
918936855,0.707918,0.182198,-0.788809
918986836,0.697832,0.173460,-0.757548
919036820,0.707464,0.173123,-0.778639
919086806,0.707205,0.173165,-0.768048
919136790,0.706957,0.164002,-0.767653
919186770,0.715564,0.163840,-0.746530
919236746,0.715583,0.154643,-0.756855
919286719,0.724892,0.172719,-0.746303
919336695,0.724208,0.154495,-0.735992
919386666,0.743373,0.172163,-0.756579
919436638,0.733527,0.163367,-0.735637
919486616,0.733508,0.172565,-0.725311
919536591,0.734210,0.190803,-0.735885
919586566,0.724614,0.191170,-0.715332
919636538,0.716238,0.200480,-0.736582
919686511,0.726083,0.209276,-0.757524
919736490,0.707419,0.182297,-0.767905
919786463,0.725640,0.181783,-0.767599
919836437,0.716294,0.172889,-0.767559
919886414,0.742836,0.190656,-0.715018
919936384,0.785374,0.189945,-0.588479
919986359,0.908641,0.177935,-0.418016
920036329,1.015839,0.038862,-0.089256
920086300,1.013452,-0.198162,0.144239
920136275,0.996780,-0.225529,0.050108
920186251,0.994267,-0.162222,-0.160004
920236227,0.948146,-0.042817,-0.393068
920286207,0.783001,0.135262,-0.546015
920336192,0.633529,0.331698,-0.573211
920386172,0.480164,0.482931,-0.484804
920436156,0.317138,0.542658,-0.468900
920486134,0.297447,0.534234,-0.416683
920536107,0.422551,0.475893,-0.371033
920586085,0.466429,0.428949,-0.348397
920636067,0.475810,0.419466,-0.369111
920686046,0.484950,0.400798,-0.389466
920736019,0.466737,0.401320,-0.389907
920785997,0.475844,0.401059,-0.389687
920835977,0.466737,0.401320,-0.389907
920885956,0.466750,0.392099,-0.400069
920935931,0.475647,0.373505,-0.410131
920985907,0.475863,0.391862,-0.400014
921035889,0.502225,0.372894,-0.378274
921085866,0.553385,0.362811,-0.240855
921135846,0.646699,0.296944,-0.018033
921185826,0.687427,0.204654,0.088860
921235806,0.707205,0.167039,-0.014695
921285786,0.673968,0.195031,-0.120471
921335766,0.631563,0.250867,-0.195436
921385742,0.605852,0.324901,-0.186762
921435717,0.596167,0.362039,-0.124723
921485694,0.613772,0.297306,-0.165309
921535671,0.632211,0.305921,-0.164943
921585645,0.613735,0.315701,-0.144652
921635627,0.613990,0.315662,-0.155155
921685600,0.614242,0.306383,-0.175785
921735577,0.613974,0.315630,-0.155008
921785555,0.623354,0.306133,-0.175616
921835531,0.613724,0.315679,-0.144556
921885503,0.613743,0.306482,-0.154882
921935472,0.614247,0.306394,-0.175837
921985443,0.605117,0.315841,-0.165680
922035413,0.613786,0.288098,-0.175585
922085387,0.622605,0.306281,-0.144257
922135359,0.613730,0.315690,-0.144604
922185329,0.622356,0.306331,-0.133804
922235295,0.631213,0.306119,-0.123131
922285266,0.622093,0.315588,-0.113067
922335235,0.622393,0.287936,-0.154458
922385206,0.631743,0.287615,-0.164640
922435178,0.621907,0.278827,-0.143832
922485151,0.622406,0.278729,-0.164735
922535117,0.631263,0.278517,-0.154063
922585083,0.631207,0.306109,-0.123086
922635056,0.631481,0.296872,-0.143911
922685024,0.631000,0.287774,-0.133332
922734991,0.622111,0.306391,-0.123396
922784951,0.622611,0.306292,-0.144305
922834911,0.621881,0.297242,-0.123270
922884873,0.613504,0.306553,-0.144526
922934833,0.612994,0.306630,-0.123527
922984800,0.614449,0.324717,-0.165534
923034763,0.632436,0.315059,-0.165018
923084731,0.613979,0.315641,-0.155057
923134696,0.613743,0.306482,-0.154882
923184660,0.613281,0.288187,-0.154630
923234621,0.614016,0.297246,-0.175711
923284581,0.613998,0.306443,-0.165384
923334529,0.631468,0.306080,-0.133630
923384490,0.638628,0.278612,-0.080720
923434454,0.681558,0.204264,-0.047216
923484416,0.698411,0.139666,-0.056380
923534387,0.724669,0.047157,-0.106725
923584350,0.759959,-0.008824,-0.115540
923634317,0.788536,-0.019055,-0.177417
923684280,0.798188,-0.037805,-0.218811
923734239,0.825332,-0.075328,-0.249004
923784200,0.827050,-0.066480,-0.311776
923834169,0.817473,-0.075314,-0.301490
923884137,0.817002,-0.093613,-0.301168
923934097,0.808829,-0.056758,-0.301963
923984066,0.781796,-0.074419,-0.333732
924034032,0.755207,-0.064587,-0.355425
924084000,0.746370,-0.082775,-0.386588
924133967,0.709510,-0.109222,-0.397627
924183927,0.701290,-0.053976,-0.377700
