Timestamp (us),X (g),Y (g),Z (g)
917417228,-0.997565,0.127666,0.085183
917437446,-0.895868,0.177304,0.086916
917457664,-0.947389,0.076754,0.086290
917477882,-0.996669,0.228640,0.084862
917498100,-0.946328,0.177793,0.137288
917518319,-0.997565,0.127666,0.085183
917538537,-0.946493,0.177728,0.085969
917558754,-0.997565,0.127666,0.085183
917578971,-0.946941,0.127241,0.086130
917599188,-0.946493,0.177728,0.085969
917619405,-0.997565,0.127666,0.085183
917639623,-0.946493,0.177728,0.085969
917659841,-0.997117,0.178153,0.085022
917680059,-0.998013,0.077179,0.085343
917700277,-0.997117,0.178153,0.085022
917720499,-0.997117,0.178153,0.085022
917740715,-0.998178,0.077115,0.034024
917781151,-1.048354,0.128026,0.032917
917801369,-0.997117,0.178153,0.085022
917821587,-0.997730,0.127602,0.033864
917841804,-0.946493,0.177728,0.085969
917862023,-0.946658,0.177664,0.034650
917882241,-0.998013,0.077179,0.085343
917902461,-1.048189,0.128090,0.084236
917922679,-0.997117,0.178153,0.085022
917942899,-0.896316,0.126817,0.087077
917963119,-0.998013,0.077179,0.085343
917983338,-0.997565,0.127666,0.085183
918003557,-0.997117,0.178153,0.085022
918023776,-0.997117,0.178153,0.085022
918043994,-0.946493,0.177728,0.085969
918064211,-0.997565,0.127666,0.085183
918084429,-0.997565,0.127666,0.085183
918104647,-1.048638,0.077603,0.084396
918124865,-0.997565,0.127666,0.085183
918145082,-0.946941,0.127241,0.086130
918165301,-0.997565,0.127666,0.085183
918185519,-0.946493,0.177728,0.085969
918205738,-0.946941,0.127241,0.086130
918225957,-0.997565,0.127666,0.085183
918246178,-0.997730,0.127602,0.033864
918266398,-0.998013,0.077179,0.085343
918286618,-0.946493,0.177728,0.085969
918306837,-0.997730,0.127602,0.033864
918327057,-0.998013,0.077179,0.085343
918347276,-0.997565,0.127666,0.085183
918367495,-0.997730,0.127602,0.033864
918387713,-0.946941,0.127241,0.086130
918407932,-0.997117,0.178153,0.085022
918428150,-0.998013,0.077179,0.085343
918448368,-0.997565,0.127666,0.085183
918468585,-0.946658,0.177664,0.034650
918488803,-1.048189,0.128090,0.084236
918509022,-0.946941,0.127241,0.086130
918569680,-0.997730,0.127602,0.033864
918589894,-0.998013,0.077179,0.085343
918610112,-0.996952,0.178217,0.136342
918630328,-0.946493,0.177728,0.085969
918650545,-0.946493,0.177728,0.085969
918670763,-0.997565,0.127666,0.085183
918690980,-0.997117,0.178153,0.085022
918711197,-0.997565,0.127666,0.085183
918731417,-0.997565,0.127666,0.085183
918751633,-0.998013,0.077179,0.085343
918771851,-0.946493,0.177728,0.085969
918792070,-1.048189,0.128090,0.084236
918812285,-0.997730,0.127602,0.033864
918832502,-0.997117,0.178153,0.085022
918852723,-0.997282,0.178089,0.033703
918872949,-0.947106,0.127177,0.034811
918893174,-0.996669,0.228640,0.084862
918913399,-0.946941,0.127241,0.086130
918933624,-1.048189,0.128090,0.084236
918953848,-0.946941,0.127241,0.086130
918974074,-1.048638,0.077603,0.084396
