Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
917428272,-0.521662,0.249247,-0.009101,-0.977279,0.168695,0.142709
917448252,-0.980531,0.065021,-0.097198,-0.976729,0.169423,0.144981
917468232,-1.490347,0.007481,0.069243,-0.975467,0.164386,0.145368
917488212,-0.628037,0.324470,0.054531,-0.975295,0.159555,0.146293
917508192,-0.499519,0.364565,-0.061172,-0.978922,0.165660,0.150610
917528172,-0.274040,0.620413,0.351864,-0.976719,0.161782,0.149183
917548151,-0.022943,0.469951,0.239352,-0.974521,0.153630,0.150131
917568131,0.359237,0.501689,0.272810,-0.975965,0.162671,0.147278
917588112,0.557980,0.532825,0.293476,-0.975245,0.170667,0.144168
917608091,0.740579,0.442828,0.213322,-0.977296,0.167596,0.141441
917628071,1.113765,0.399751,0.108356,-0.977770,0.166324,0.140080
917648051,1.563396,0.257776,-0.006727,-0.976773,0.175331,0.140602
917668031,1.082653,0.194340,0.021780,-0.976824,0.172595,0.139884
917688011,1.028651,0.026939,-0.056293,-0.976832,0.167858,0.140717
917707991,0.881988,0.180545,-0.174242,-0.976126,0.174473,0.134524
917727971,0.340772,0.291571,-0.058368,-0.977403,0.171337,0.141610
917747951,-0.025729,0.312838,-0.045448,-0.977159,0.165128,0.140360
917767931,0.263375,0.368627,-0.140193,-0.978723,0.165547,0.146344
917787910,0.324874,0.520961,-0.077713,-0.978601,0.166166,0.142165
917807891,0.073851,0.526450,0.017409,-0.976166,0.164465,0.139188
917827870,0.074092,0.579569,0.048727,-0.977444,0.168960,0.139983
917847850,-0.194829,0.679356,-0.083621,-0.976038,0.171866,0.143796
917867830,-0.337860,0.478228,0.075747,-0.978273,0.159126,0.138830
917887810,0.768822,0.392081,-0.009256,-0.979573,0.157505,0.137465
917907790,1.256616,0.311295,-0.116327,-0.976294,0.175949,0.137969
917927770,0.317851,0.398248,-0.041227,-0.976888,0.174614,0.142874
917947750,0.151772,0.281057,0.119679,-0.976100,0.158722,0.139389
917967730,0.921973,0.285510,0.010019,-0.977825,0.163496,0.139545
917987710,0.501884,0.238061,-0.000245,-0.977055,0.169765,0.137894
918007690,0.213200,0.326706,0.157693,-0.978282,0.171604,0.135883
918027670,0.312657,0.365058,0.179812,-0.978593,0.165321,0.136355
918047649,0.571796,0.168434,0.097062,-0.980626,0.168186,0.136061
918067630,0.495186,0.267511,0.091911,-0.973339,0.173056,0.135635
918087609,0.189247,0.060839,0.016683,-0.977526,0.178536,0.140405
918107589,0.058750,0.022894,-0.050827,-0.977393,0.170862,0.137162
918127570,0.676739,0.163401,-0.087707,-0.976119,0.166742,0.138908
918147549,1.156337,-0.076951,-0.273360,-0.974686,0.170644,0.141265
918167530,0.416404,0.086795,-0.161656,-0.979795,0.174017,0.139226
918187509,0.149313,-0.074684,-0.168025,-0.983311,0.161124,0.135070
918207489,0.645298,0.057483,-0.188099,-0.979180,0.162678,0.133727
918227469,0.508810,0.269369,-0.060973,-0.976470,0.172039,0.139434
918247449,-0.911355,-0.057187,-0.077012,-0.975984,0.178695,0.142139
918267429,-0.757237,0.048714,0.067532,-0.976194,0.167937,0.140811
918287409,0.341054,-0.029019,-0.085961,-0.977025,0.166664,0.137632
918307389,0.996893,-0.086260,-0.187332,-0.976775,0.169381,0.134628
918327369,0.258160,0.198195,0.055935,-0.978031,0.166131,0.136356
918347349,-0.061763,0.058689,0.111694,-0.981305,0.161730,0.136896
918367328,-0.473150,0.063495,0.208983,-0.979368,0.158594,0.137190
918387308,-0.633800,-0.013136,0.171863,-0.977631,0.168319,0.138349
918407288,-0.840039,-0.029204,0.166791,-0.977380,0.176430,0.138960
918427268,-0.969261,0.007723,0.230174,-0.977786,0.165595,0.140264
918447248,0.145705,-0.071469,0.206251,-0.977101,0.159113,0.141107
918467228,0.617751,-0.113675,0.061775,-0.977908,0.173258,0.140965
918487208,0.691630,0.095248,-0.134722,-0.972803,0.173891,0.141629
918507188,1.081132,0.318006,-0.098575,-0.974646,0.159901,0.145024
918527168,1.769368,0.884199,0.075985,-0.971748,0.148318,0.157339
918567126,2.391081,1.661226,0.491252,-0.977145,0.150317,0.152397
918587106,2.750067,2.364247,0.611187,-0.978925,0.159990,0.146179
918607086,3.632298,1.998258,0.204419,-0.979788,0.166379,0.143973
918627066,3.571684,2.058486,0.259575,-0.975204,0.184675,0.136766
918647046,3.346325,1.779630,-0.146162,-0.973389,0.179713,0.135976
918667026,4.504347,2.077300,-0.363713,-0.972843,0.184539,0.137235
918687006,5.104734,2.182143,-0.622329,-0.971344,0.186234,0.135150
918706986,5.859011,2.332129,-0.767829,-0.975894,0.173857,0.140884
918726966,5.754612,2.755991,-0.462409,-0.976175,0.164195,0.139915
918746945,5.378943,3.106800,-0.536190,-0.976755,0.158287,0.141475
918766925,5.206402,3.026429,-0.260114,-0.976229,0.161182,0.138563
918786905,3.831825,3.737429,-0.124173,-0.982714,0.166550,0.127427
918806885,2.601208,3.039502,-0.331477,-0.982487,0.188089,0.112192
918826865,0.896113,2.660953,-0.573498,-0.989431,0.195149,0.089151
918846845,0.953722,2.038975,-0.293179,-0.992575,0.182520,0.084451
918866825,0.142876,2.341363,0.348417,-0.977408,0.188846,0.098688
918886805,-2.801609,2.264364,0.669796,-0.980202,0.191756,0.105927
918906785,-7.471436,1.691439,0.976805,-0.993018,0.179902,0.110975
918926765,-6.033873,0.369281,0.204910,-0.983497,0.158257,0.102203
918946744,-3.207525,0.837904,0.326121,-0.980586,0.177828,0.108877
918966725,-3.148038,0.313727,0.088573,-0.979183,0.170312,0.127890
918986705,-3.255397,0.846861,0.846171,-0.973986,0.139030,0.127297
919006685,-1.285492,1.671522,0.930748,-0.980095,0.110413,0.144518
919026665,1.373088,1.849397,1.027083,-0.978407,0.116091,0.158859
919046644,2.867065,2.086833,1.498999,-0.978450,0.115297,0.165127
919066624,5.339258,2.815663,2.109903,-0.974809,0.102383,0.167734
919086604,9.604017,4.751546,2.714100,-0.966276,0.099902,0.181325
919106584,12.009174,6.050179,3.578593,-0.962899,0.109314,0.180496
919126564,12.667336,7.729101,3.983621,-0.968277,0.117433,0.178531
919146544,13.667626,8.724799,4.129670,-0.967294,0.156143,0.152618
919166524,12.901919,10.226079,4.200157,-0.974653,0.184851,0.115791
919186504,12.806930,11.609607,4.122368,-0.966905,0.198267,0.111797
919206484,13.962790,13.954050,3.339090,-0.963522,0.187387,0.120208
919226464,15.236816,14.952903,2.664384,-0.963251,0.169335,0.120996
919246444,17.307293,14.853148,3.421372,-0.968700,0.169063,0.117695
919266424,18.942160,14.805282,4.162118,-0.965433,0.175986,0.109700
919286404,18.110079,15.678396,4.346518,-0.959616,0.214674,0.101434
919306383,17.527039,16.388739,3.517167,-0.959402,0.215668,0.078093
919326364,18.176889,17.526924,3.769324,-0.984812,0.183737,0.062607
919346343,19.730423,17.736494,3.384757,-0.973917,0.203084,0.052710
919366323,23.455650,19.464111,1.373977,-0.952018,0.224346,0.073023
919386303,21.552296,22.242201,0.982178,-0.953461,0.295158,0.083225
919406283,13.777519,25.360977,0.109944,-0.925315,0.376989,0.097655
919426263,-2.008778,29.856024,0.909057,-0.901276,0.433803,0.083355
919446243,-26.601389,32.984833,4.999719,-0.943222,0.411310,0.023331
919466223,-37.814011,29.297943,8.564957,-0.990230,0.222451,-0.059062
