Timestamp (us),Percentage (%),Power (dBm)
917769383,100.000000,-40.000000
918767228,100.000000,-41.000000
919767746,100.000000,-42.000000
920768301,100.000000,-47.000000
921768804,100.000000,-47.000000
922769275,100.000000,-49.000000
923769817,100.000000,-48.000000
924767673,100.000000,-49.000000
925768293,94.000000,-53.000000
926768784,84.000000,-58.000000
927769242,92.000000,-54.000000
928769744,94.000000,-53.000000
929767639,92.000000,-54.000000
930768253,94.000000,-53.000000
931768733,100.000000,-43.000000
932769247,100.000000,-43.000000
933769778,100.000000,-42.000000
934767602,100.000000,-41.000000
935768209,100.000000,-41.000000
