Timestamp (us),Percentage (%),Voltage (V),Charging Status
918359159,100.000000,4.053881,0.000000
919359690,100.000000,4.053942,0.000000
921360753,100.000000,4.053801,0.000000
922361283,100.000000,4.053761,0.000000
923361823,100.000000,4.053962,0.000000
924362354,100.000000,4.053700,0.000000
925362886,100.000000,4.053619,0.000000
926363418,100.000000,4.053720,0.000000
927363949,100.000000,4.053639,0.000000
928364481,100.000000,4.053398,0.000000
929365012,100.000000,4.053659,0.000000
930365576,100.000000,4.053378,0.000000
931366107,100.000000,4.053216,0.000000
932366639,100.000000,4.053378,0.000000
933367170,100.000000,4.053216,0.000000
934367702,100.000000,4.053035,0.000000
935368233,100.000000,4.053136,0.000000
