Timestamp (us),W,X,Y,Z
917410905,-0.957874,-0.075430,-0.249470,-0.121636
917430917,-0.957872,-0.075435,-0.249477,-0.121638
917450926,-0.957874,-0.075391,-0.249484,-0.121632
917470936,-0.957874,-0.075354,-0.249472,-0.121681
917490946,-0.957877,-0.075272,-0.249446,-0.121761
917510956,-0.957871,-0.075270,-0.249422,-0.121858
917530985,-0.957861,-0.075258,-0.249444,-0.121899
917550973,-0.957860,-0.075244,-0.249419,-0.121965
917570983,-0.957880,-0.075214,-0.249375,-0.121922
917590993,-0.957911,-0.075192,-0.249306,-0.121827
917611002,-0.957940,-0.075146,-0.249259,-0.121724
917631011,-0.957956,-0.075136,-0.249252,-0.121622
917651021,-0.957963,-0.075144,-0.249258,-0.121546
917671031,-0.957958,-0.075153,-0.249279,-0.121540
917691040,-0.957944,-0.075149,-0.249297,-0.121617
917711050,-0.957942,-0.075143,-0.249309,-0.121613
917731061,-0.957968,-0.075264,-0.249284,-0.121384
917751071,-0.958003,-0.075353,-0.249226,-0.121168
917771080,-0.958022,-0.075305,-0.249203,-0.121099
917791090,-0.958018,-0.075226,-0.249208,-0.121165
917811100,-0.958013,-0.075137,-0.249219,-0.121234
917831135,-0.957993,-0.075024,-0.249245,-0.121416
917851118,-0.957968,-0.074923,-0.249266,-0.121629
917871127,-0.957965,-0.074835,-0.249271,-0.121695
917891137,-0.957996,-0.074745,-0.249200,-0.121655
917911146,-0.958009,-0.074723,-0.249178,-0.121611
917931156,-0.958003,-0.074677,-0.249173,-0.121693
917951166,-0.957988,-0.074687,-0.249199,-0.121754
917991185,-0.957949,-0.074619,-0.249241,-0.122017
918011195,-0.957938,-0.074560,-0.249237,-0.122143
918031206,-0.957934,-0.074562,-0.249250,-0.122145
918051215,-0.957927,-0.074568,-0.249272,-0.122156
918071225,-0.957920,-0.074558,-0.249265,-0.122236
918091235,-0.957900,-0.074555,-0.249284,-0.122351
918111244,-0.957883,-0.074528,-0.249326,-0.122414
918131254,-0.957877,-0.074569,-0.249375,-0.122339
918151262,-0.957867,-0.074657,-0.249429,-0.122252
918171272,-0.957869,-0.074685,-0.249423,-0.122232
918191282,-0.957874,-0.074679,-0.249419,-0.122203
918211291,-0.957887,-0.074649,-0.249407,-0.122147
918231301,-0.957894,-0.074584,-0.249414,-0.122118
918251311,-0.957881,-0.074611,-0.249466,-0.122096
918271320,-0.957824,-0.074585,-0.249614,-0.122257
918291330,-0.957772,-0.074549,-0.249716,-0.122476
918311340,-0.957746,-0.074514,-0.249758,-0.122615
918331350,-0.957757,-0.074503,-0.249746,-0.122558
918351360,-0.957764,-0.074523,-0.249732,-0.122521
918371370,-0.957766,-0.074566,-0.249719,-0.122505
918391380,-0.957766,-0.074631,-0.249716,-0.122475
918411389,-0.957785,-0.074675,-0.249652,-0.122426
918431399,-0.957803,-0.074692,-0.249609,-0.122369
918451407,-0.957814,-0.074696,-0.249588,-0.122317
918471417,-0.957804,-0.074700,-0.249639,-0.122293
918491426,-0.957784,-0.074729,-0.249716,-0.122274
918511436,-0.957681,-0.074618,-0.250286,-0.121978
918531446,-0.957486,-0.074473,-0.251135,-0.121854
918551455,-0.957252,-0.074444,-0.251998,-0.121927
918571465,-0.956893,-0.074328,-0.253380,-0.121958
918591475,-0.956566,-0.074416,-0.254583,-0.121961
918611484,-0.956384,-0.074575,-0.255233,-0.121932
918631495,-0.956290,-0.074626,-0.255551,-0.121969
918651505,-0.956247,-0.074658,-0.255734,-0.121906
918671515,-0.956229,-0.074748,-0.255845,-0.121762
918691524,-0.956218,-0.074929,-0.255914,-0.121591
918711534,-0.956236,-0.075094,-0.255877,-0.121427
918731543,-0.956292,-0.075262,-0.255711,-0.121227
918751552,-0.956401,-0.075328,-0.255385,-0.121017
918771562,-0.956501,-0.075293,-0.255043,-0.120967
918791571,-0.956603,-0.075323,-0.254628,-0.121018
918811580,-0.956724,-0.075333,-0.254161,-0.121037
918831590,-0.956896,-0.075236,-0.253579,-0.120953
918851600,-0.957075,-0.075011,-0.253021,-0.120846
918871610,-0.957193,-0.074813,-0.252568,-0.120984
918891620,-0.957261,-0.074744,-0.252225,-0.121203
918911629,-0.957353,-0.074764,-0.251833,-0.121282
918931640,-0.957466,-0.074723,-0.251476,-0.121157
918951650,-0.957544,-0.074573,-0.251277,-0.121042
918971659,-0.957518,-0.074284,-0.251481,-0.120999
918991669,-0.957333,-0.073910,-0.252294,-0.121007
919011679,-0.957017,-0.073672,-0.253450,-0.121236
919031688,-0.956710,-0.073663,-0.254577,-0.121301
919051696,-0.956188,-0.074014,-0.256444,-0.121266
919071706,-0.955423,-0.075164,-0.259090,-0.120970
919111726,-0.954333,-0.078779,-0.262490,-0.119936
919131735,-0.954022,-0.080293,-0.263318,-0.119593
919151745,-0.953853,-0.081424,-0.263739,-0.119245
919171754,-0.953733,-0.082374,-0.264061,-0.118837
919191764,-0.953638,-0.083399,-0.264272,-0.118420
