Timestamp (us),Percentage (%),Power (dBm)
917899315,100.000000,-49.000000
918899907,100.000000,-48.000000
919899593,100.000000,-44.000000
920900865,100.000000,-48.000000
921899067,100.000000,-49.000000
922899240,98.000000,-51.000000
923899824,94.000000,-53.000000
924900305,94.000000,-53.000000
925899953,98.000000,-51.000000
926898967,100.000000,-48.000000
927899158,94.000000,-53.000000
928899741,100.000000,-44.000000
929900126,100.000000,-45.000000
930900717,100.000000,-46.000000
931900657,100.000000,-44.000000
932899127,100.000000,-42.000000
933899613,100.000000,-43.000000
934900101,100.000000,-43.000000
935900670,100.000000,-43.000000
