Timestamp (us),Percentage (%),Voltage (V),Charging Status
917879416,100.000000,4.025662,0.000000
918879948,100.000000,4.025622,0.000000
919880479,100.000000,4.025582,0.000000
920881016,100.000000,4.025501,0.000000
921881549,100.000000,4.025481,0.000000
922882081,100.000000,4.025360,0.000000
923882612,100.000000,4.025300,0.000000
924883143,100.000000,4.025320,0.000000
925883675,100.000000,4.025280,0.000000
926884206,100.000000,4.025239,0.000000
927884738,100.000000,4.025219,0.000000
928885308,100.000000,4.025178,0.000000
929885836,100.000000,4.025139,0.000000
930886374,100.000000,4.025058,0.000000
931886905,100.000000,4.025098,0.000000
932887436,100.000000,4.025119,0.000000
933887968,100.000000,4.025018,0.000000
934888498,100.000000,4.024998,0.000000
935889029,100.000000,4.024897,0.000000
