Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
917419155,1.062755,0.373649,0.208232
917468029,1.062862,0.364504,0.208403
917516905,1.053347,0.364863,0.218719
917565785,1.053484,0.373708,0.208161
917614657,1.071849,0.373925,0.218796
917663535,1.053364,0.364871,0.218747
917712409,1.062561,0.373975,0.218700
917761277,1.044497,0.364287,0.197768
917810142,1.062755,0.373649,0.208232
917859008,1.053557,0.364546,0.208279
917907879,1.053587,0.382536,0.197550
917956743,1.062699,0.382820,0.208140
918005606,1.053467,0.373700,0.208134
918054467,1.062527,0.373959,0.218645
918103330,1.053330,0.364855,0.218692
918152190,1.062544,0.373967,0.218672
918201054,1.044042,0.364906,0.218595
918249920,1.052904,0.383464,0.228791
918298786,1.052994,0.374310,0.228933
918347658,1.062879,0.364512,0.208429
918396533,1.053433,0.373683,0.208082
918445413,1.062845,0.364496,0.208377
918494285,1.062914,0.364528,0.208481
918543154,1.043707,0.374361,0.228838
918592028,1.044845,0.372814,0.176769
918640903,1.062879,0.364512,0.208429
918689778,1.053677,0.373382,0.197696
918738651,1.053239,0.374009,0.218548
918787520,1.062544,0.373967,0.218672
918836399,1.044390,0.373433,0.197597
918885274,1.043844,0.383206,0.218281
918934145,1.044373,0.373425,0.197572
918983017,1.044407,0.373441,0.197622
919031887,1.053376,0.382854,0.207990
919080761,1.053115,0.383147,0.218350
919129634,1.043719,0.392343,0.218083
919178505,1.053342,0.382837,0.207937
919227376,1.043810,0.383189,0.218226
919276242,1.053007,0.392292,0.218179
919325118,1.044067,0.400870,0.197084
919373993,1.025122,0.410410,0.207079
919422873,1.043169,0.420090,0.227984
919471755,1.014613,0.457119,0.237373
919520645,0.946766,0.533035,0.318378
919569527,0.909493,0.578338,0.296280
919618416,0.919333,0.568507,0.275673
919667304,0.969448,0.491419,0.152709
919716190,1.019753,0.360075,0.051596
919765077,1.042049,0.255986,-0.060813
919813957,1.052794,0.173017,-0.079988
919862837,1.034064,0.164265,-0.069651
919911713,1.032604,0.193249,-0.018094
919960590,1.003013,0.240652,0.032749
