Timestamp (us),W,X,Y,Z
917422573,0.705130,0.102706,0.658077,-0.243764
917442577,0.705149,0.102642,0.658083,-0.243721
917462582,0.705147,0.102504,0.658143,-0.243624
917482587,0.705140,0.102366,0.658181,-0.243596
917502593,0.705136,0.102281,0.658222,-0.243532
917522597,0.705144,0.102166,0.658277,-0.243411
917542602,0.705150,0.101991,0.658339,-0.243298
917562610,0.705159,0.101859,0.658382,-0.243210
917582611,0.705086,0.101805,0.658458,-0.243241
917602616,0.704960,0.101832,0.658528,-0.243407
917622619,0.704845,0.101926,0.658537,-0.243673
917642623,0.704749,0.102013,0.658553,-0.243870
917662628,0.704692,0.102081,0.658544,-0.244033
917702637,0.704773,0.102133,0.658403,-0.244158
917722642,0.704802,0.102209,0.658337,-0.244218
917742646,0.704824,0.102249,0.658301,-0.244235
917762651,0.704840,0.102254,0.658272,-0.244266
917782657,0.704814,0.102255,0.658257,-0.244379
917802662,0.704773,0.102278,0.658244,-0.244525
917822666,0.704767,0.102275,0.658235,-0.244566
917842671,0.704751,0.102174,0.658261,-0.244585
917862676,0.704736,0.102127,0.658258,-0.244655
917882679,0.704720,0.102058,0.658279,-0.244675
917902683,0.704724,0.101983,0.658273,-0.244710
917922688,0.704678,0.102050,0.658235,-0.244917
917942693,0.704633,0.102243,0.658170,-0.245140
917962697,0.704586,0.102413,0.658134,-0.245301
917982702,0.704577,0.102499,0.658086,-0.245420
918002707,0.704535,0.102605,0.658055,-0.245581
918022711,0.704514,0.102663,0.658032,-0.245676
918042717,0.704494,0.102709,0.658032,-0.245714
918062722,0.704498,0.102688,0.658039,-0.245693
918082726,0.704522,0.102646,0.658034,-0.245657
918102731,0.704561,0.102665,0.657982,-0.245677
918122736,0.704681,0.102598,0.657915,-0.245538
918142748,0.704818,0.102470,0.657870,-0.245319
918162744,0.704899,0.102325,0.657888,-0.245099
918182748,0.704919,0.102212,0.657925,-0.244990
918202753,0.704901,0.102263,0.657910,-0.245060
918222757,0.704927,0.102389,0.657813,-0.245193
918242762,0.705039,0.102475,0.657660,-0.245244
918262767,0.705193,0.102492,0.657488,-0.245256
918282771,0.705289,0.102479,0.657398,-0.245228
918302776,0.705316,0.102502,0.657368,-0.245221
918322782,0.705342,0.102496,0.657361,-0.245167
918342786,0.705353,0.102485,0.657382,-0.245084
918362791,0.705346,0.102390,0.657445,-0.244975
918382796,0.705347,0.102307,0.657537,-0.244759
918402800,0.705314,0.102226,0.657654,-0.244575
918422804,0.705274,0.102191,0.657726,-0.244509
918442808,0.705314,0.102190,0.657671,-0.244545
918462813,0.705442,0.102141,0.657587,-0.244421
918482817,0.705616,0.101956,0.657544,-0.244112
918502822,0.706380,0.101463,0.656902,-0.243835
918522827,0.706941,0.101065,0.656515,-0.243415
918542831,0.707368,0.100769,0.656285,-0.242919
918562836,0.707881,0.100250,0.656005,-0.242393
918582842,0.708118,0.100003,0.655936,-0.241991
918602846,0.708017,0.099842,0.656131,-0.241824
918622851,0.707733,0.099704,0.656382,-0.242029
918642856,0.707415,0.099680,0.656577,-0.242441
918662860,0.707110,0.099671,0.656732,-0.242915
918682864,0.706778,0.099806,0.656853,-0.243496
918702868,0.706362,0.100059,0.657007,-0.244185
918722873,0.705937,0.100410,0.657120,-0.244963
918742877,0.705560,0.100720,0.657199,-0.245710
918762882,0.705256,0.100871,0.657322,-0.246190
918782887,0.705005,0.100926,0.657489,-0.246444
918802892,0.704766,0.100819,0.657727,-0.246532
918822896,0.704499,0.100676,0.658017,-0.246582
918842902,0.704294,0.100618,0.658067,-0.247056
918862907,0.704109,0.100850,0.657969,-0.247750
918882911,0.703984,0.101019,0.657928,-0.248143
918902916,0.703902,0.100922,0.657987,-0.248262
918922921,0.703818,0.100595,0.658164,-0.248161
918942925,0.703799,0.100059,0.658346,-0.247949
918962928,0.704012,0.099408,0.658314,-0.247690
918982933,0.704380,0.098475,0.658282,-0.247103
919002938,0.704700,0.097682,0.658267,-0.246544
919022942,0.704950,0.096855,0.658353,-0.245925
919042947,0.705281,0.095868,0.658378,-0.245297
919062952,0.705355,0.095442,0.658555,-0.244771
919082956,0.705256,0.094663,0.658978,-0.244221
919102961,0.705052,0.093540,0.659544,-0.243713
919122967,0.704776,0.092430,0.660110,-0.243405
919142985,0.704386,0.091408,0.660726,-0.243248
919162976,0.704018,0.090324,0.661302,-0.243154
919182980,0.703681,0.089320,0.661736,-0.243318
