Timestamp (us),Percentage (%),Power (dBm)
917418580,100.000000,-45.000000
918418595,100.000000,-46.000000
919418808,100.000000,-43.000000
920419042,90.000000,-55.000000
921416672,96.000000,-52.000000
922416903,90.000000,-55.000000
923417119,90.000000,-55.000000
924417484,84.000000,-58.000000
925417700,84.000000,-58.000000
926417834,100.000000,-49.000000
927418161,100.000000,-48.000000
928417821,100.000000,-48.000000
929418634,100.000000,-46.000000
930418875,100.000000,-46.000000
931419097,92.000000,-54.000000
932416741,100.000000,-42.000000
933416959,100.000000,-42.000000
934417188,100.000000,-42.000000
935417523,100.000000,-42.000000
