Timestamp (us),Percentage (%),Voltage (V),Charging Status
918177186,100.000000,4.031725,0.000000
919177718,100.000000,4.031644,0.000000
920178250,100.000000,4.031725,0.000000
921178782,100.000000,4.031625,0.000000
922179314,100.000000,4.031564,0.000000
923179845,100.000000,4.031484,0.000000
924180375,100.000000,4.031443,0.000000
925180907,100.000000,4.031443,0.000000
926181439,100.000000,4.031383,0.000000
927181972,100.000000,4.031343,0.000000
928182509,100.000000,4.031282,0.000000
929183040,100.000000,4.031302,0.000000
930183570,100.000000,4.031262,0.000000
931184101,100.000000,4.031141,0.000000
933185166,100.000000,4.031061,0.000000
934185698,100.000000,4.030960,0.000000
935186229,100.000000,4.030920,0.000000
