Timestamp (us),Percentage (%),Power (dBm)
917709599,100.000000,-41.000000
918709177,100.000000,-42.000000
919711377,100.000000,-43.000000
920710773,90.000000,-55.000000
921710571,98.000000,-51.000000
922710175,100.000000,-50.000000
923709631,84.000000,-58.000000
924709226,90.000000,-55.000000
925709078,90.000000,-55.000000
926711017,100.000000,-47.000000
927710610,100.000000,-48.000000
928710189,100.000000,-47.000000
929709692,100.000000,-47.000000
930709272,100.000000,-49.000000
931709163,92.000000,-54.000000
932711114,100.000000,-43.000000
933710666,100.000000,-43.000000
934710186,100.000000,-43.000000
935709744,100.000000,-43.000000
