Timestamp (us),W,X,Y,Z
917418209,0.850093,-0.040743,-0.524145,-0.034592
917438268,0.850149,-0.040586,-0.524089,-0.034260
917458328,0.850203,-0.040448,-0.524033,-0.033941
917478388,0.850237,-0.040316,-0.523998,-0.033772
917498449,0.850263,-0.040202,-0.523974,-0.033633
917518509,0.850272,-0.040109,-0.523972,-0.033542
917538569,0.850269,-0.040030,-0.523988,-0.033476
917558630,0.850246,-0.039988,-0.524029,-0.033453
917578692,0.850208,-0.040009,-0.524087,-0.033480
917598752,0.850143,-0.040058,-0.524185,-0.033545
917618812,0.850095,-0.040181,-0.524240,-0.033748
917638873,0.850091,-0.040420,-0.524206,-0.034087
917658932,0.850118,-0.040675,-0.524123,-0.034395
917678992,0.850163,-0.040767,-0.524038,-0.034465
917699052,0.850190,-0.040843,-0.523982,-0.034564
917719113,0.850175,-0.041001,-0.523978,-0.034799
917739173,0.850197,-0.041140,-0.523917,-0.035038
917759234,0.850169,-0.041227,-0.523947,-0.035153
917779294,0.850121,-0.041250,-0.524020,-0.035200
917799356,0.850045,-0.041248,-0.524142,-0.035215
917819417,0.849953,-0.041312,-0.524278,-0.035339
917839477,0.849860,-0.041434,-0.524408,-0.035506
917859538,0.849803,-0.041508,-0.524485,-0.035641
917879596,0.849747,-0.041540,-0.524564,-0.035771
917899657,0.849682,-0.041620,-0.524651,-0.035958
917919717,0.849616,-0.041726,-0.524736,-0.036145
917939777,0.849544,-0.041853,-0.524830,-0.036323
917959838,0.849469,-0.041969,-0.524931,-0.036485
917979898,0.849382,-0.042116,-0.525050,-0.036643
917999958,0.849290,-0.042273,-0.525176,-0.036791
918020020,0.849199,-0.042421,-0.525301,-0.036919
918040080,0.849108,-0.042573,-0.525427,-0.037051
918060141,0.849007,-0.042705,-0.525573,-0.037135
918080201,0.848928,-0.042795,-0.525689,-0.037195
918100260,0.848858,-0.042876,-0.525791,-0.037280
918120321,0.848792,-0.043039,-0.525871,-0.037464
918140381,0.848780,-0.043155,-0.525867,-0.037646
918160442,0.848801,-0.043242,-0.525818,-0.037755
918180502,0.848805,-0.043350,-0.525798,-0.037827
918200563,0.848786,-0.043434,-0.525817,-0.037898
918220623,0.848748,-0.043441,-0.525870,-0.037984
918240684,0.848705,-0.043491,-0.525932,-0.038033
918260745,0.848655,-0.043611,-0.525992,-0.038189
918280805,0.848615,-0.043729,-0.526037,-0.038334
918300866,0.848542,-0.043848,-0.526137,-0.038440
918320947,0.848430,-0.043935,-0.526302,-0.038535
918340985,0.848329,-0.043990,-0.526457,-0.038586
918361045,0.848238,-0.044002,-0.526603,-0.038598
918381106,0.848164,-0.043969,-0.526724,-0.038587
918401166,0.848122,-0.043952,-0.526795,-0.038572
918421227,0.848118,-0.043927,-0.526802,-0.038578
918441287,0.848110,-0.043869,-0.526816,-0.038629
918461349,0.848125,-0.043742,-0.526801,-0.038662
918481409,0.848133,-0.043640,-0.526794,-0.038691
918501470,0.848114,-0.043568,-0.526826,-0.038747
918521530,0.848088,-0.043512,-0.526862,-0.038894
918541591,0.848049,-0.043540,-0.526902,-0.039189
918561650,0.847969,-0.043767,-0.526967,-0.039764
918581710,0.847843,-0.044053,-0.527090,-0.040501
918601770,0.847738,-0.044393,-0.527169,-0.041285
918641891,0.847457,-0.045299,-0.527387,-0.043259
918661952,0.847310,-0.046001,-0.527459,-0.044496
918682012,0.847184,-0.046831,-0.527474,-0.045832
918702073,0.847109,-0.047747,-0.527392,-0.047193
918722134,0.847059,-0.048627,-0.527264,-0.048600
918742194,0.847018,-0.049499,-0.527122,-0.049964
918762255,0.847013,-0.050365,-0.526918,-0.051321
918782314,0.847082,-0.051228,-0.526593,-0.052641
918802374,0.847324,-0.052068,-0.525997,-0.053863
918822434,0.847660,-0.052821,-0.525275,-0.054887
918842495,0.847992,-0.053349,-0.524594,-0.055752
918862555,0.848322,-0.053525,-0.523999,-0.056151
918902676,0.849136,-0.053683,-0.522684,-0.055961
918922738,0.849528,-0.053453,-0.522136,-0.055333
918942798,0.849842,-0.052912,-0.521775,-0.054432
918962859,0.850089,-0.052239,-0.521543,-0.053438
918982919,0.850336,-0.051539,-0.521323,-0.052329
919002978,0.850567,-0.050768,-0.521139,-0.051148
919023039,0.850755,-0.050137,-0.520983,-0.050212
919043099,0.850884,-0.049639,-0.520865,-0.049755
919063159,0.850973,-0.049219,-0.520753,-0.049814
919083219,0.851042,-0.048939,-0.520618,-0.050320
919103280,0.851073,-0.048789,-0.520505,-0.051113
919123340,0.851022,-0.048834,-0.520467,-0.052285
919143402,0.850909,-0.049146,-0.520458,-0.053895
919163463,0.850697,-0.049684,-0.520547,-0.055861
919203583,0.850402,-0.051511,-0.520308,-0.060715
919223642,0.850340,-0.052575,-0.520005,-0.063218
919243703,0.850384,-0.053634,-0.519548,-0.065444
919263763,0.850556,-0.054663,-0.518893,-0.067522
919283824,0.850947,-0.055590,-0.517897,-0.069462
919303884,0.851638,-0.056362,-0.516445,-0.071153
919323944,0.852514,-0.056923,-0.514751,-0.072492
919344005,0.853399,-0.057251,-0.513084,-0.073623
919364067,0.854146,-0.057229,-0.511746,-0.074290
919384127,0.854354,-0.056929,-0.511445,-0.074203
919404188,0.853934,-0.057169,-0.512254,-0.073262
919424248,0.853726,-0.059021,-0.512537,-0.072230
919444308,0.854042,-0.062556,-0.511585,-0.072263
919464367,0.854603,-0.066918,-0.509871,-0.073832
